pair,tf_pair,conf,af_s,activate,with_TP,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
USD_JPY,H1+M30,AND,0.005,0.0,True,763,525,238,219.1,-29.2,1.83,-0.49,-450.3,71.8,False
USD_JPY,H1+M30,AND,0.005,0.0,False,356,266,90,643.2,329.3,5.36,5.49,-289.7,42.2,False
USD_JPY,H1+M30,AND,0.005,10.0,True,25,25,0,-1009.9,0.0,-8.42,0.0,0.0,0.0,False
USD_JPY,H1+M30,AND,0.005,10.0,False,61,51,10,1000.7,-261.4,8.34,-4.36,-726.0,60.0,True
USD_JPY,H1+M30,AND,0.005,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,H1+M30,AND,0.005,20.0,False,22,22,0,-1101.5,0.0,-9.18,0.0,0.0,0.0,False
USD_JPY,H1+M30,AND,0.01,0.0,True,1163,763,400,-860.6,-693.1,-7.17,-11.55,-966.1,57.0,False
USD_JPY,H1+M30,AND,0.01,0.0,False,764,513,251,-451.7,-158.9,-3.76,-2.65,-548.2,39.4,False
USD_JPY,H1+M30,AND,0.01,10.0,True,25,25,0,-1154.5,0.0,-9.62,0.0,0.0,0.0,False
USD_JPY,H1+M30,AND,0.01,10.0,False,35,35,0,-740.5,0.0,-6.17,0.0,0.0,0.0,False
USD_JPY,H1+M30,AND,0.01,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,H1+M30,AND,0.01,20.0,False,20,20,0,-1426.7,0.0,-11.89,0.0,0.0,0.0,False
USD_JPY,H1+M30,AND,0.02,0.0,True,1981,1291,690,-1323.8,-870.5,-11.03,-14.51,-1110.4,47.8,False
USD_JPY,H1+M30,AND,0.02,0.0,False,1581,1040,541,-847.6,-355.6,-7.06,-5.93,-676.4,38.6,False
USD_JPY,H1+M30,AND,0.02,10.0,True,26,26,0,-1086.1,0.0,-9.05,0.0,0.0,0.0,False
USD_JPY,H1+M30,AND,0.02,10.0,False,66,64,2,701.1,-652.1,5.84,-10.87,-665.5,50.0,True
USD_JPY,H1+M30,AND,0.02,20.0,True,55,49,6,918.3,-40.2,7.65,-0.67,-133.9,83.3,True
USD_JPY,H1+M30,AND,0.02,20.0,False,26,26,0,-988.5,0.0,-8.24,0.0,0.0,0.0,False
USD_JPY,H1+M30,OR,0.005,0.0,True,3164,2184,980,-2586.8,-1223.9,-21.56,-20.4,-1455.3,44.3,False
USD_JPY,H1+M30,OR,0.005,0.0,False,2788,1949,839,-2277.2,-702.3,-18.98,-11.71,-1031.0,37.7,False
USD_JPY,H1+M30,OR,0.005,10.0,True,37,37,0,-477.1,0.0,-3.98,0.0,0.0,0.0,False
USD_JPY,H1+M30,OR,0.005,10.0,False,21,21,0,-709.7,0.0,-5.91,0.0,0.0,0.0,False
