tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/M2/M10,USD_JPY,5/10/22,0,15.0,3,3,0,-48.0,0.0,-12.45,0.0,0.0,0.0,5.8
S5/M2/M10,USD_JPY,5/10/22,0,20.0,2,2,0,-38.7,0.0,-10.02,0.0,0.0,0.0,5.8
S5/M2/M10,USD_JPY,5/10/22,0,30.0,2,1,1,28.7,3.6,7.45,1.89,0.0,100.0,5.8
S5/M2/M10,USD_JPY,5/10/22,1,15.0,18,12,6,-45.8,1.0,-11.86,0.51,-6.1,33.3,5.8
S5/M2/M10,USD_JPY,5/10/22,1,20.0,18,12,6,-62.1,1.0,-16.09,0.51,-6.1,33.3,5.8
S5/M2/M10,USD_JPY,5/10/22,1,30.0,18,12,6,-62.1,1.0,-16.09,0.51,-6.1,33.3,5.8
S5/M2/M10,USD_JPY,5/15/35,0,15.0,3,3,0,-48.0,0.0,-12.45,0.0,0.0,0.0,5.8
S5/M2/M10,USD_JPY,5/15/35,0,20.0,2,2,0,-38.7,0.0,-10.02,0.0,0.0,0.0,5.8
S5/M2/M10,USD_JPY,5/15/35,0,30.0,2,1,1,28.7,8.8,7.45,4.58,0.0,100.0,5.8
S5/M2/M10,USD_JPY,5/15/35,1,15.0,16,10,6,-39.9,-0.9,-10.34,-0.44,-8.8,33.3,5.8
S5/M2/M10,USD_JPY,5/15/35,1,20.0,16,10,6,-51.2,-0.9,-13.27,-0.44,-8.8,33.3,5.8
S5/M2/M10,USD_JPY,5/15/35,1,30.0,16,10,6,-71.1,-0.9,-18.43,-0.44,-8.8,33.3,5.8
S5/M2/M10,USD_JPY,5/22/50,0,15.0,4,2,2,27.5,16.1,7.12,8.36,0.0,100.0,5.8
S5/M2/M10,USD_JPY,5/22/50,0,20.0,3,2,1,37.5,-28.0,9.71,-14.49,0.0,0.0,5.8
S5/M2/M10,USD_JPY,5/22/50,0,30.0,2,1,1,28.7,3.6,7.45,1.89,0.0,100.0,5.8
S5/M2/M10,USD_JPY,5/22/50,1,15.0,14,8,6,-20.0,-3.4,-5.18,-1.74,-8.5,33.3,5.8
S5/M2/M10,USD_JPY,5/22/50,1,20.0,14,8,6,-24.2,-3.4,-6.28,-1.74,-8.5,33.3,5.8
S5/M2/M10,USD_JPY,5/22/50,1,30.0,14,8,6,-37.5,-3.4,-9.71,-1.74,-8.5,33.3,5.8
S5/M2/M10,USD_JPY,7/15/35,0,15.0,3,2,1,27.5,9.4,7.12,4.89,0.0,100.0,5.8
S5/M2/M10,USD_JPY,7/15/35,0,20.0,3,2,1,37.5,18.7,9.71,9.71,0.0,100.0,5.8
S5/M2/M10,USD_JPY,7/15/35,0,30.0,2,1,1,28.7,9.4,7.45,4.89,0.0,100.0,5.8
S5/M2/M10,USD_JPY,7/15/35,1,15.0,19,13,6,-67.4,2.1,-17.47,1.08,-4.3,50.0,5.8
S5/M2/M10,USD_JPY,7/15/35,1,20.0,19,13,6,-69.7,2.1,-18.06,1.08,-4.3,50.0,5.8
S5/M2/M10,USD_JPY,7/15/35,1,30.0,19,13,6,-86.5,2.1,-22.42,1.08,-4.3,50.0,5.8
S5/M2/M10,USD_JPY,7/22/50,0,15.0,4,2,2,27.5,16.1,7.12,8.36,0.0,100.0,5.8
S5/M2/M10,USD_JPY,7/22/50,0,20.0,3,2,1,37.5,18.7,9.71,9.71,0.0,100.0,5.8
S5/M2/M10,USD_JPY,7/22/50,0,30.0,2,1,1,28.7,3.6,7.45,1.89,0.0,100.0,5.8
S5/M2/M10,USD_JPY,7/22/50,1,15.0,14,9,5,-31.8,-5.9,-8.25,-3.03,-6.1,40.0,5.8
S5/M2/M10,USD_JPY,7/22/50,1,20.0,14,9,5,-37.0,-5.9,-9.6,-3.03,-6.1,40.0,5.8
S5/M2/M10,USD_JPY,7/22/50,1,30.0,14,9,5,-50.3,-5.9,-13.03,-3.03,-6.1,40.0,5.8
S5/M2/M10,USD_JPY,10/22/50,0,15.0,3,2,1,27.5,13.7,7.12,7.12,0.0,100.0,5.8
S5/M2/M10,USD_JPY,10/22/50,0,20.0,3,2,1,37.5,18.7,9.71,9.71,0.0,100.0,5.8
S5/M2/M10,USD_JPY,10/22/50,0,30.0,1,1,0,28.7,0.0,7.45,0.0,0.0,0.0,5.8
S5/M2/M10,USD_JPY,10/22/50,1,15.0,13,9,4,-56.2,-12.3,-14.58,-6.4,-7.2,25.0,5.8
S5/M2/M10,USD_JPY,10/22/50,1,20.0,13,9,4,-66.1,-12.3,-17.13,-6.4,-7.2,25.0,5.8
S5/M2/M10,USD_JPY,10/22/50,1,30.0,13,9,4,-66.1,-12.3,-17.13,-6.4,-7.2,25.0,5.8
S5/M2/M10,EUR_JPY,5/10/22,0,15.0,5,4,1,54.0,13.5,14.0,7.0,0.0,100.0,5.8
S5/M2/M10,EUR_JPY,5/10/22,0,20.0,4,3,1,55.5,18.5,14.39,9.59,0.0,100.0,5.8
S5/M2/M10,EUR_JPY,5/10/22,0,30.0,2,2,0,-64.0,0.0,-16.6,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,5/10/22,1,15.0,23,16,7,-48.6,7.7,-12.6,3.99,-7.2,42.9,5.8
S5/M2/M10,EUR_JPY,5/10/22,1,20.0,22,15,7,-64.0,2.9,-16.59,1.5,-7.2,42.9,5.8
S5/M2/M10,EUR_JPY,5/10/22,1,30.0,21,15,6,-64.0,12.5,-16.59,6.45,-7.2,33.3,5.8
S5/M2/M10,EUR_JPY,5/15/35,0,15.0,2,2,0,-104.2,0.0,-27.01,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,5/15/35,0,20.0,1,1,0,-102.3,0.0,-26.53,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,5/15/35,0,30.0,1,1,0,-102.3,0.0,-26.53,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,5/15/35,1,15.0,16,10,6,-39.8,-10.6,-10.3,-5.52,-17.8,16.7,5.8
S5/M2/M10,EUR_JPY,5/15/35,1,20.0,14,9,5,-37.9,0.4,-9.82,0.21,-11.8,20.0,5.8
S5/M2/M10,EUR_JPY,5/15/35,1,30.0,14,9,5,-37.9,-7.2,-9.82,-3.73,-11.8,20.0,5.8
S5/M2/M10,EUR_JPY,5/22/50,0,15.0,1,1,0,-111.3,0.0,-28.86,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,5/22/50,0,20.0,1,1,0,-111.3,0.0,-28.86,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,5/22/50,0,30.0,1,1,0,-111.3,0.0,-28.86,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,5/22/50,1,15.0,10,7,3,-80.3,-14.6,-20.83,-7.54,-7.5,0.0,5.8
S5/M2/M10,EUR_JPY,5/22/50,1,20.0,10,7,3,-80.3,-14.6,-20.83,-7.54,-7.5,0.0,5.8
S5/M2/M10,EUR_JPY,5/22/50,1,30.0,10,7,3,-80.3,-14.6,-20.83,-7.54,-7.5,0.0,5.8
S5/M2/M10,EUR_JPY,7/15/35,0,15.0,2,2,0,-104.2,0.0,-27.01,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,7/15/35,0,20.0,1,1,0,-102.3,0.0,-26.53,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,7/15/35,0,30.0,1,1,0,-102.3,0.0,-26.53,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,7/15/35,1,15.0,15,9,6,-34.8,-6.8,-9.02,-3.55,-14.0,33.3,5.8
S5/M2/M10,EUR_JPY,7/15/35,1,20.0,13,8,5,-33.0,4.2,-8.54,2.18,-8.0,40.0,5.8
S5/M2/M10,EUR_JPY,7/15/35,1,30.0,13,8,5,-33.0,-3.4,-8.54,-1.76,-8.0,40.0,5.8
S5/M2/M10,EUR_JPY,7/22/50,0,15.0,1,1,0,-111.3,0.0,-28.86,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,7/22/50,0,20.0,1,1,0,-111.3,0.0,-28.86,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,7/22/50,0,30.0,1,1,0,-111.3,0.0,-28.86,0.0,0.0,0.0,5.8
S5/M2/M10,EUR_JPY,7/22/50,1,15.0,11,8,3,-92.1,-11.9,-23.89,-6.19,-4.4,0.0,5.8
