tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/S30/M1,USD_JPY,5/10/22,0,15.0,5,5,0,-12.4,0.0,-3.2,0.0,0.0,0.0,5.8
S5/S30/M1,USD_JPY,5/10/22,0,20.0,3,2,1,37.5,-18.4,9.71,-9.54,0.0,0.0,5.8
S5/S30/M1,USD_JPY,5/10/22,0,30.0,2,2,0,-43.3,0.0,-11.23,0.0,0.0,0.0,5.8
S5/S30/M1,USD_JPY,5/10/22,1,15.0,142,102,40,-213.7,-58.7,-55.4,-30.4,-56.6,20.0,5.8
S5/S30/M1,USD_JPY,5/10/22,1,20.0,142,102,40,-225.6,-58.7,-58.49,-30.4,-56.6,20.0,5.8
S5/S30/M1,USD_JPY,5/10/22,1,30.0,142,102,40,-225.6,-58.7,-58.49,-30.4,-56.6,20.0,5.8
S5/S30/M1,USD_JPY,5/15/35,0,15.0,4,3,1,41.2,13.7,10.68,7.12,0.0,100.0,5.8
S5/S30/M1,USD_JPY,5/15/35,0,20.0,3,2,1,37.5,18.7,9.71,9.71,0.0,100.0,5.8
S5/S30/M1,USD_JPY,5/15/35,0,30.0,3,3,0,80.7,0.0,20.91,0.0,0.0,0.0,5.8
S5/S30/M1,USD_JPY,5/15/35,1,15.0,117,79,38,-157.8,-57.1,-40.9,-29.59,-56.5,15.8,5.8
S5/S30/M1,USD_JPY,5/15/35,1,20.0,116,78,38,-171.3,-57.1,-44.4,-29.59,-56.5,15.8,5.8
S5/S30/M1,USD_JPY,5/15/35,1,30.0,116,78,38,-171.3,-57.1,-44.4,-29.59,-56.5,15.8,5.8
S5/S30/M1,USD_JPY,5/22/50,0,15.0,5,5,0,-11.9,0.0,-3.07,0.0,0.0,0.0,5.8
S5/S30/M1,USD_JPY,5/22/50,0,20.0,3,2,1,37.5,13.0,9.71,6.73,0.0,100.0,5.8
S5/S30/M1,USD_JPY,5/22/50,0,30.0,3,3,0,80.7,0.0,20.91,0.0,0.0,0.0,5.8
S5/S30/M1,USD_JPY,5/22/50,1,15.0,90,59,31,-191.3,-66.8,-49.59,-34.63,-65.9,19.4,5.8
S5/S30/M1,USD_JPY,5/22/50,1,20.0,90,59,31,-193.6,-66.8,-50.17,-34.63,-65.9,19.4,5.8
S5/S30/M1,USD_JPY,5/22/50,1,30.0,89,58,31,-190.7,-66.8,-49.43,-34.63,-65.9,19.4,5.8
S5/S30/M1,USD_JPY,7/15/35,0,15.0,8,7,1,96.2,-13.9,24.93,-7.21,0.0,0.0,5.8
S5/S30/M1,USD_JPY,7/15/35,0,20.0,4,3,1,56.2,-13.9,14.57,-7.21,0.0,0.0,5.8
S5/S30/M1,USD_JPY,7/15/35,0,30.0,3,3,0,-15.4,0.0,-4.0,0.0,0.0,0.0,5.8
S5/S30/M1,USD_JPY,7/15/35,1,15.0,109,80,29,-121.6,-25.3,-31.51,-13.14,-35.1,20.7,5.8
S5/S30/M1,USD_JPY,7/15/35,1,20.0,108,79,29,-135.5,-25.3,-35.11,-13.14,-35.1,20.7,5.8
S5/S30/M1,USD_JPY,7/15/35,1,30.0,108,79,29,-135.5,-25.3,-35.11,-13.14,-35.1,20.7,5.8
