tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/S30/M1,EUR_JPY,5/10/22,0,15.0,2,2,0,-2868.2,0.0,-14.39,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,5/10/22,0,20.0,2,2,0,-2863.2,0.0,-14.37,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,5/10/22,0,30.0,2,2,0,-2853.2,0.0,-14.32,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,5/10/22,1,15.0,7696,5215,2481,-10720.2,-4672.9,-53.8,-46.9,-4690.8,24.9,298.9
S5/S30/M1,EUR_JPY,5/10/22,1,20.0,7609,5155,2454,-10810.3,-4611.9,-54.25,-46.29,-4619.4,24.6,298.9
S5/S30/M1,EUR_JPY,5/10/22,1,30.0,7535,5099,2436,-10605.9,-4572.9,-53.23,-45.9,-4580.4,24.3,298.9
S5/S30/M1,EUR_JPY,5/15/35,0,15.0,73,73,0,-984.9,0.0,-4.94,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,5/15/35,0,20.0,14,14,0,-2343.1,0.0,-11.76,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,5/15/35,0,30.0,47,47,0,-931.6,0.0,-4.68,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,5/15/35,1,15.0,5948,3999,1949,-8027.7,-3936.2,-40.29,-39.51,-3941.1,26.5,298.9
S5/S30/M1,EUR_JPY,5/15/35,1,20.0,5844,3924,1920,-8188.0,-3926.8,-41.09,-39.41,-3927.3,25.7,298.9
S5/S30/M1,EUR_JPY,5/15/35,1,30.0,5746,3850,1896,-7998.5,-3670.4,-40.14,-36.84,-3670.9,25.5,298.9
S5/S30/M1,EUR_JPY,5/22/50,0,15.0,24,24,0,-2139.3,0.0,-10.74,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,5/22/50,0,20.0,15,15,0,-2320.6,0.0,-11.65,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,5/22/50,0,30.0,18,18,0,-1965.3,0.0,-9.86,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,5/22/50,1,15.0,4851,3268,1583,-6680.4,-2992.7,-33.53,-30.04,-3005.5,28.0,298.9
S5/S30/M1,EUR_JPY,5/22/50,1,20.0,4731,3183,1548,-6831.5,-2824.0,-34.28,-28.35,-2835.6,27.2,298.9
S5/S30/M1,EUR_JPY,5/22/50,1,30.0,4601,3088,1513,-6694.7,-2700.1,-33.6,-27.1,-2719.6,26.8,298.9
S5/S30/M1,EUR_JPY,7/15/35,0,15.0,18,18,0,-2220.3,0.0,-11.14,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,7/15/35,0,20.0,33,33,0,-1857.8,0.0,-9.32,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,7/15/35,0,30.0,12,12,0,-2136.3,0.0,-10.72,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,7/15/35,1,15.0,5589,3767,1822,-7416.1,-3660.1,-37.22,-36.74,-3658.5,27.2,298.9
S5/S30/M1,EUR_JPY,7/15/35,1,20.0,5477,3687,1790,-7670.9,-3599.9,-38.5,-36.13,-3596.8,26.6,298.9
S5/S30/M1,EUR_JPY,7/15/35,1,30.0,5381,3613,1768,-7475.4,-3389.6,-37.52,-34.02,-3386.5,26.0,298.9
S5/S30/M1,EUR_JPY,7/22/50,0,15.0,11,11,0,-2460.5,0.0,-12.35,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,7/22/50,0,20.0,10,10,0,-2429.0,0.0,-12.19,0.0,0.0,0.0,298.9
S5/S30/M1,EUR_JPY,7/22/50,0,30.0,14,14,0,-2079.3,0.0,-10.44,0.0,0.0,0.0,298.9
