rep_id,tf_label,pair,sma,tp_pips,sl_mode,sl_param,days,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,r_tp,r_sl,r_sl_frac
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,none,0.0,294.5,217,140,77,1923.6,1058.0,9.8,10.78,0.0,100.0,217,0,0.0
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,sl_30p,30.0,294.5,406,272,134,-807.7,-93.8,-4.11,-0.96,-184.1,67.9,262,144,0.3547
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,sl_50p,50.0,294.5,389,264,125,-532.6,-37.5,-2.71,-0.38,-197.6,78.4,298,91,0.2339
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,sl_80p,80.0,294.5,367,252,115,-1192.5,155.1,-6.07,1.58,-281.5,87.0,303,64,0.1744
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,sl_100p,100.0,294.5,347,239,108,-1316.1,333.9,-6.7,3.4,-248.8,90.7,297,50,0.1441
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,sl_150p,150.0,294.5,309,214,95,-1349.6,645.3,-6.87,6.57,-151.3,95.8,279,30,0.0971
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,sl_200p,200.0,294.5,280,189,91,16.9,1250.3,0.09,12.74,0.0,100.0,268,12,0.0429
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,sl_1.0xATR,1.0,294.5,481,317,164,-512.3,91.4,-2.61,0.93,-108.2,43.9,194,287,0.5967
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,sl_1.5xATR,1.5,294.5,440,286,154,-396.5,88.9,-2.02,0.91,-112.2,51.9,222,218,0.4955
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,sl_2.0xATR,2.0,294.5,425,276,149,-694.0,-104.4,-3.54,-1.06,-171.3,54.4,230,195,0.4588
30bb3bff76bf,S5/M10/M30,USD_JPY,5/10/22,15.0,sl_3.0xATR,3.0,294.5,411,271,140,-773.5,-95.8,-3.94,-0.98,-200.9,64.3,261,150,0.365
a237cb171d85,S5/S30/M5,USD_JPY,7/22/50,20.0,none,0.0,294.5,127,57,70,1068.2,1186.2,5.44,12.08,-106.9,98.6,126,0,0.0
a237cb171d85,S5/S30/M5,USD_JPY,7/22/50,20.0,sl_30p,30.0,294.5,1460,1052,408,14.5,-510.0,0.07,-5.2,-510.3,60.0,902,557,0.3815
a237cb171d85,S5/S30/M5,USD_JPY,7/22/50,20.0,sl_50p,50.0,294.5,1174,869,305,-24.9,103.4,-0.13,1.05,-655.4,73.8,860,313,0.2666
a237cb171d85,S5/S30/M5,USD_JPY,7/22/50,20.0,sl_80p,80.0,294.5,914,682,232,980.7,541.8,5.0,5.52,-400.5,83.6,757,156,0.1707
