pair,mode,T_h,param,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,wf_ok
USD_JPY,sym_fixed,6,5.0,91,77,14,771.7,-113.4,6.43,-1.89,-135.2,28.6,True
USD_JPY,sym_fixed,6,10.0,30,30,0,-1145.5,0.0,-9.55,0.0,0.0,0.0,False
USD_JPY,sym_fixed,6,15.0,30,30,0,-1178.8,0.0,-9.82,0.0,0.0,0.0,False
USD_JPY,sym_fixed,6,20.0,31,31,0,-1215.0,0.0,-10.12,0.0,0.0,0.0,False
USD_JPY,sym_fixed,6,30.0,41,41,0,-1304.6,0.0,-10.87,0.0,0.0,0.0,False
USD_JPY,sym_fixed,6,50.0,91,91,0,-1407.5,0.0,-11.73,0.0,0.0,0.0,False
USD_JPY,sym_atr,6,0.3,36,36,0,-371.6,0.0,-3.1,0.0,0.0,0.0,False
USD_JPY,sym_atr,6,0.5,30,30,0,-1169.0,0.0,-9.74,0.0,0.0,0.0,False
USD_JPY,sym_atr,6,0.7,31,31,0,-1193.9,0.0,-9.95,0.0,0.0,0.0,False
USD_JPY,sym_atr,6,1.0,32,32,0,-1264.1,0.0,-10.53,0.0,0.0,0.0,False
USD_JPY,sym_atr,6,1.5,66,66,0,-1321.4,0.0,-11.01,0.0,0.0,0.0,False
USD_JPY,sym_atr,6,2.0,76,76,0,-1316.0,0.0,-10.97,0.0,0.0,0.0,False
USD_JPY,asym_fixed,6,0.5,29,29,0,-322.2,0.0,-2.69,0.0,0.0,0.0,False
USD_JPY,asym_fixed,6,1.0,29,29,0,-321.4,0.0,-2.68,0.0,0.0,0.0,False
USD_JPY,asym_fixed,6,2.0,30,30,0,-319.8,0.0,-2.67,0.0,0.0,0.0,False
USD_JPY,asym_fixed,6,3.0,32,32,0,-314.4,0.0,-2.62,0.0,0.0,0.0,False
USD_JPY,asym_fixed,6,5.0,79,67,12,833.6,-68.1,6.95,-1.14,-133.9,75.0,True
USD_JPY,asym_atr,6,0.1,31,31,0,-316.2,0.0,-2.63,0.0,0.0,0.0,False
