tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days
S5/M5/H4,EUR_JPY,5/10/22,0,15.0,96,75,21,1012.5,21.8,5.08,0.22,-248.2,95.2,298.9
S5/M5/H4,EUR_JPY,5/10/22,0,20.0,29,29,0,-1042.6,0.0,-5.23,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,5/10/22,0,30.0,25,25,0,-868.0,0.0,-4.36,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,5/10/22,1,15.0,139,88,51,-12.3,148.0,-0.06,1.49,-162.5,90.2,298.9
S5/M5/H4,EUR_JPY,5/10/22,1,20.0,123,78,45,-415.9,62.7,-2.09,0.63,-181.5,82.2,298.9
S5/M5/H4,EUR_JPY,5/10/22,1,30.0,105,68,37,-478.4,171.3,-2.4,1.72,-236.9,75.7,298.9
S5/M5/H4,EUR_JPY,5/15/35,0,15.0,83,70,13,945.0,-79.6,4.74,-0.8,-241.6,92.3,298.9
S5/M5/H4,EUR_JPY,5/15/35,0,20.0,30,30,0,-1024.1,0.0,-5.14,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,5/15/35,0,30.0,24,24,0,-896.5,0.0,-4.5,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,5/15/35,1,15.0,109,77,32,-185.5,-1.4,-0.93,-0.01,-262.0,90.6,298.9
S5/M5/H4,EUR_JPY,5/15/35,1,20.0,97,68,29,-413.5,11.3,-2.08,0.11,-262.0,86.2,298.9
S5/M5/H4,EUR_JPY,5/15/35,1,30.0,81,59,22,-729.9,4.9,-3.66,0.05,-243.8,72.7,298.9
S5/M5/H4,EUR_JPY,5/22/50,0,15.0,52,52,0,-626.0,0.0,-3.14,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,5/22/50,0,20.0,33,33,0,-968.6,0.0,-4.86,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,5/22/50,0,30.0,24,24,0,-905.1,0.0,-4.54,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,5/22/50,1,15.0,95,70,25,116.5,-60.3,0.58,-0.61,-185.8,84.0,298.9
S5/M5/H4,EUR_JPY,5/22/50,1,20.0,83,62,21,-68.5,-238.7,-0.34,-2.4,-224.4,71.4,298.9
S5/M5/H4,EUR_JPY,5/22/50,1,30.0,68,50,18,-154.3,-133.9,-0.77,-1.34,-171.3,66.7,298.9
S5/M5/H4,EUR_JPY,7/15/35,0,15.0,50,50,0,-344.1,0.0,-1.73,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,7/15/35,0,20.0,30,30,0,-1024.1,0.0,-5.14,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,7/15/35,0,30.0,23,23,0,-933.6,0.0,-4.69,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,7/15/35,1,15.0,112,83,29,-299.4,179.9,-1.5,1.81,-198.1,96.6,298.9
S5/M5/H4,EUR_JPY,7/15/35,1,20.0,103,76,27,-475.1,93.4,-2.38,0.94,-239.6,85.2,298.9
S5/M5/H4,EUR_JPY,7/15/35,1,30.0,84,63,21,-727.3,146.6,-3.65,1.47,-230.1,76.2,298.9
S5/M5/H4,EUR_JPY,7/22/50,0,15.0,86,71,15,958.5,92.7,4.81,0.93,-96.3,93.3,298.9
S5/M5/H4,EUR_JPY,7/22/50,0,20.0,32,32,0,-987.1,0.0,-4.95,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,7/22/50,0,30.0,23,23,0,-933.6,0.0,-4.69,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,7/22/50,1,15.0,106,74,32,337.8,-173.7,1.7,-1.74,-346.1,84.4,298.9
S5/M5/H4,EUR_JPY,7/22/50,1,20.0,91,66,25,-159.6,-148.0,-0.8,-1.49,-352.1,80.0,298.9
S5/M5/H4,EUR_JPY,7/22/50,1,30.0,72,52,20,-379.7,-314.8,-1.91,-3.16,-391.7,65.0,298.9
S5/M5/H4,EUR_JPY,10/22/50,0,15.0,45,45,0,-405.7,0.0,-2.04,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,10/22/50,0,20.0,26,26,0,-1098.1,0.0,-5.51,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,10/22/50,0,30.0,21,21,0,-990.6,0.0,-4.97,0.0,0.0,0.0,298.9
S5/M5/H4,EUR_JPY,10/22/50,1,15.0,95,68,27,17.9,210.6,0.09,2.11,-140.4,96.3,298.9
S5/M5/H4,EUR_JPY,10/22/50,1,20.0,86,62,24,-72.9,-30.4,-0.37,-0.31,-178.4,83.3,298.9
S5/M5/H4,EUR_JPY,10/22/50,1,30.0,68,50,18,-688.8,-52.1,-3.46,-0.52,-163.3,77.8,298.9
S5/M5/H4,EUR_USD,5/10/22,0,15.0,30,30,0,-1112.9,0.0,-3.49,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,5/10/22,0,20.0,26,26,0,-1043.8,0.0,-3.27,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,5/10/22,0,30.0,28,28,0,-221.9,0.0,-0.7,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,5/10/22,1,15.0,230,152,78,-296.3,-533.7,-0.93,-3.35,-561.7,67.9,478.2
S5/M5/H4,EUR_USD,5/10/22,1,20.0,207,135,72,-205.9,-452.7,-0.65,-2.84,-471.7,63.9,478.2
S5/M5/H4,EUR_USD,5/10/22,1,30.0,181,117,64,-88.6,-411.6,-0.28,-2.58,-465.8,54.7,478.2
S5/M5/H4,EUR_USD,5/15/35,0,15.0,23,23,0,-1210.7,0.0,-3.8,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,5/15/35,0,20.0,21,21,0,-1138.7,0.0,-3.57,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,5/15/35,0,30.0,16,16,0,-1083.6,0.0,-3.4,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,5/15/35,1,15.0,163,113,50,-156.3,-83.7,-0.49,-0.52,-259.7,78.0,478.2
S5/M5/H4,EUR_USD,5/15/35,1,20.0,145,104,41,109.6,-125.6,0.34,-0.79,-339.5,70.7,478.2
S5/M5/H4,EUR_USD,5/15/35,1,30.0,126,87,39,-93.8,-60.5,-0.29,-0.38,-309.5,64.1,478.2
S5/M5/H4,EUR_USD,5/22/50,0,15.0,21,21,0,-1238.7,0.0,-3.89,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,5/22/50,0,20.0,18,18,0,-1195.6,0.0,-3.75,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,5/22/50,0,30.0,14,14,0,-1141.5,0.0,-3.58,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,5/22/50,1,15.0,143,100,43,-89.0,47.5,-0.28,0.3,-176.4,83.7,478.2
S5/M5/H4,EUR_USD,5/22/50,1,20.0,127,92,35,-68.6,-76.7,-0.22,-0.48,-184.7,74.3,478.2
S5/M5/H4,EUR_USD,5/22/50,1,30.0,107,76,31,-200.8,55.0,-0.63,0.35,-183.7,67.7,478.2
S5/M5/H4,EUR_USD,7/15/35,0,15.0,39,39,0,-987.0,0.0,-3.1,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,7/15/35,0,20.0,31,31,0,-948.9,0.0,-2.98,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,7/15/35,0,30.0,50,41,9,1188.2,-62.8,3.73,-0.39,-294.7,88.9,478.2
S5/M5/H4,EUR_USD,7/15/35,1,15.0,159,117,42,-75.1,-55.2,-0.24,-0.35,-186.2,81.0,478.2
S5/M5/H4,EUR_USD,7/15/35,1,20.0,141,102,39,220.6,-61.4,0.69,-0.39,-265.4,74.4,478.2
S5/M5/H4,EUR_USD,7/15/35,1,30.0,116,83,33,29.3,-21.2,0.09,-0.13,-249.3,66.7,478.2
S5/M5/H4,EUR_USD,7/22/50,0,15.0,34,34,0,-1056.9,0.0,-3.32,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,7/22/50,0,20.0,28,28,0,-1005.8,0.0,-3.16,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,7/22/50,0,30.0,51,45,6,1304.1,-149.8,4.09,-0.94,-294.7,83.3,478.2
S5/M5/H4,EUR_USD,7/22/50,1,15.0,140,100,40,-41.4,134.8,-0.13,0.85,-157.0,87.5,478.2
S5/M5/H4,EUR_USD,7/22/50,1,20.0,130,94,36,-151.2,78.5,-0.47,0.49,-174.8,80.6,478.2
S5/M5/H4,EUR_USD,7/22/50,1,30.0,106,76,30,-252.0,108.7,-0.79,0.68,-164.8,70.0,478.2
S5/M5/H4,EUR_USD,10/22/50,0,15.0,22,22,0,-1224.7,0.0,-3.84,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,10/22/50,0,20.0,19,19,0,-1176.6,0.0,-3.69,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,10/22/50,0,30.0,20,20,0,-447.7,0.0,-1.4,0.0,0.0,0.0,478.2
S5/M5/H4,EUR_USD,10/22/50,1,15.0,145,104,41,-434.5,-173.0,-1.36,-1.09,-274.8,80.5,478.2
