tf_label,pair,sma,M_exit,tp_pips,trades,is_n,oos_n,is_net,oos_net,is_pd,oos_pd,oos_dd,oos_wr,days,ratio,IS+OOS+,oos/is
S5/S30/M1,GBP_USD,7/22/50,0,20.0,11,9,2,167.0,-236.0,2.16,-6.12,-254.5,50.0,115.7,2,False,-2.83
S5/S30/M2,GBP_USD,7/22/50,0,20.0,10,9,1,167.0,-270.6,2.16,-7.01,0.0,0.0,115.7,4,False,-3.25
S5/M1/M3,GBP_USD,7/22/50,0,20.0,37,36,1,668.2,-254.5,8.66,-6.6,0.0,0.0,115.7,3,False,-0.76
S5/M1/M5,GBP_USD,7/22/50,0,20.0,30,27,3,501.1,-217.4,6.49,-5.64,-254.5,66.7,115.7,5,False,-0.87
S5/M1/M10,GBP_USD,7/22/50,0,20.0,40,38,2,705.3,-250.8,9.14,-6.5,-269.3,50.0,115.7,10,False,-0.71
S5/M2/M10,GBP_USD,7/22/50,0,20.0,24,22,2,408.3,-235.9,5.29,-6.12,-254.5,50.0,115.7,5,False,-1.16
M5/M30/H1,GBP_JPY,5/15/35,0,20.0,104,104,0,-2947.6,0.0,-4.24,0.0,0.0,0.0,1041.7,2,False,-0.0
M5/M30/H2,GBP_JPY,5/15/35,0,20.0,92,92,0,-2446.2,0.0,-3.52,0.0,0.0,0.0,1041.7,4,False,-0.0
M5/M30/H4,GBP_JPY,5/15/35,0,20.0,137,103,34,1812.8,-1983.2,2.61,-5.71,-2564.0,97.1,1041.7,8,False,-2.19
M5/H1/H4,GBP_JPY,5/15/35,0,20.0,182,141,41,2481.6,707.8,3.57,2.04,0.0,100.0,1041.7,4,True,0.57
M5/M15/H1,GBP_JPY,5/15/35,0,20.0,50,50,0,-4780.0,0.0,-6.88,0.0,0.0,0.0,1041.7,4,False,-0.0
