strategy,pair,mode,n,ppd,wr,tp_pct,alt_pct,avg_alt,mdd,calmar,mean_hold,days
001 pmom_h1m30,GBP_JPY,TP_ONLY,155,5.17,98.1,100.0,0.0,0.0,42.1,0.12,768.6,429.2
001 pmom_h1m30,GBP_JPY,TIME_6b,5723,-87.78,28.8,14.5,85.5,-10.2,37692.0,-0.0,5.7,429.2
001 pmom_h1m30,GBP_JPY,TIME_12b,4384,-79.3,37.4,27.3,72.7,-16.1,34095.9,-0.0,10.5,429.2
001 pmom_h1m30,GBP_JPY,TIME_24b,3449,-63.32,47.0,42.3,57.7,-23.8,27204.6,-0.0,18.2,429.2
001 pmom_h1m30,GBP_JPY,TIME_48b,2634,-46.09,58.5,56.8,43.2,-35.7,19825.1,-0.0,29.8,429.2
001 pmom_h1m30,GBP_JPY,TIME_144b,1664,-21.49,76.1,76.8,23.2,-69.0,9316.7,-0.0,57.6,429.2
001 pmom_h1m30,GBP_JPY,TIME_288b,1228,-19.03,82.1,83.9,16.1,-112.5,8446.7,-0.0,84.8,429.2
001 pmom_h1m30,GBP_JPY,SIG_FLIP,6123,-95.18,27.7,16.6,83.4,-10.9,40865.2,-0.0,6.1,429.2
001 pmom_h1m30,USD_JPY,TP_ONLY,97,4.0,100.0,100.0,0.0,0.0,0.0,0.0,1216.6,429.0
001 pmom_h1m30,USD_JPY,TIME_6b,6145,-46.58,35.2,10.0,90.0,-5.6,19994.2,-0.0,5.8,429.0
001 pmom_h1m30,USD_JPY,TIME_12b,4545,-37.31,40.6,21.4,78.6,-9.0,16040.3,-0.0,10.9,429.0
001 pmom_h1m30,USD_JPY,TIME_24b,3473,-31.2,46.7,35.4,64.6,-15.0,13412.9,-0.0,19.5,429.0
001 pmom_h1m30,USD_JPY,TIME_48b,2575,-21.71,56.9,50.1,49.9,-24.0,9342.4,-0.0,32.5,429.0
001 pmom_h1m30,USD_JPY,TIME_144b,1501,-13.61,71.7,70.8,29.2,-53.7,5813.0,-0.0,67.9,429.0
001 pmom_h1m30,USD_JPY,TIME_288b,1028,-13.35,79.2,78.7,21.3,-88.0,5993.3,-0.0,106.2,429.0
001 pmom_h1m30,USD_JPY,SIG_FLIP,6618,-51.81,32.3,12.0,88.0,-6.1,22256.8,-0.0,6.4,429.0
001 pmom_h1m30,EUR_JPY,TP_ONLY,97,3.82,99.0,100.0,0.0,0.0,4.7,0.81,768.5,429.0
001 pmom_h1m30,EUR_JPY,TIME_6b,2677,-29.75,30.2,11.9,88.1,-7.7,12797.9,-0.0,5.8,429.0
001 pmom_h1m30,EUR_JPY,TIME_12b,2156,-26.21,38.2,22.8,77.2,-11.6,11363.5,-0.0,10.8,429.0
001 pmom_h1m30,EUR_JPY,TIME_24b,1767,-22.66,44.3,36.8,63.2,-17.9,9780.5,-0.0,19.1,429.0
001 pmom_h1m30,EUR_JPY,TIME_48b,1403,-21.73,53.5,48.9,51.1,-27.8,9350.1,-0.0,33.1,429.0
001 pmom_h1m30,EUR_JPY,TIME_144b,950,-10.88,71.1,71.2,28.8,-55.0,4758.8,-0.0,68.0,429.0
001 pmom_h1m30,EUR_JPY,TIME_288b,748,-7.83,79.4,80.3,19.7,-86.1,3453.1,-0.0,101.1,429.0
001 pmom_h1m30,EUR_JPY,SIG_FLIP,2844,-30.03,29.5,13.9,86.1,-8.0,12906.7,-0.0,6.2,429.0
001 pmom_h1m30,GBP_USD,TP_ONLY,58,2.15,100.0,100.0,0.0,0.0,0.0,0.0,1769.7,428.8
001 pmom_h1m30,GBP_USD,TIME_6b,6101,-56.55,26.3,4.6,95.4,-4.9,24273.1,-0.0,5.9,428.8
001 pmom_h1m30,GBP_USD,TIME_12b,4395,-46.22,32.9,11.2,88.8,-7.1,19852.3,-0.0,11.5,428.8
001 pmom_h1m30,GBP_USD,TIME_24b,3230,-35.74,39.4,21.3,78.7,-10.2,15318.9,-0.0,21.6,428.8
001 pmom_h1m30,GBP_USD,TIME_48b,2272,-23.8,46.8,36.6,63.4,-15.8,10229.9,-0.0,38.4,428.8
001 pmom_h1m30,GBP_USD,TIME_144b,1259,-10.61,63.5,61.0,39.0,-33.5,4595.1,-0.0,82.8,428.8
001 pmom_h1m30,GBP_USD,TIME_288b,872,-5.94,75.1,74.8,25.2,-57.6,2654.3,-0.0,126.7,428.8
001 pmom_h1m30,GBP_USD,SIG_FLIP,6549,-62.56,24.5,7.5,92.5,-5.7,26824.3,-0.0,7.0,428.8
001 pmom_h1m30,AUD_JPY,TP_ONLY,62,2.24,100.0,100.0,0.0,0.0,0.0,0.0,1412.0,429.3
001 pmom_h1m30,AUD_JPY,TIME_6b,3958,-39.91,27.0,5.3,94.7,-5.5,17120.1,-0.0,5.9,429.3
001 pmom_h1m30,AUD_JPY,TIME_12b,3070,-35.61,33.4,13.7,86.3,-8.2,15343.9,-0.0,11.4,429.3
001 pmom_h1m30,AUD_JPY,TIME_24b,2422,-30.75,39.3,26.4,73.6,-12.8,13269.7,-0.0,21.0,429.3
001 pmom_h1m30,AUD_JPY,TIME_48b,1812,-24.72,47.7,39.8,60.2,-19.5,10636.8,-0.0,37.0,429.3
001 pmom_h1m30,AUD_JPY,TIME_144b,1088,-12.35,64.9,62.7,37.3,-37.9,5492.4,-0.0,80.3,429.3
001 pmom_h1m30,AUD_JPY,TIME_288b,804,-8.13,75.0,75.0,25.0,-61.9,3839.7,-0.0,122.3,429.3
001 pmom_h1m30,AUD_JPY,SIG_FLIP,4217,-42.03,24.6,8.1,91.9,-6.0,18069.9,-0.0,6.7,429.3
001 pmom_h1m30,EUR_USD,TP_ONLY,19,0.84,100.0,100.0,0.0,0.0,0.0,0.0,2106.6,428.9
001 pmom_h1m30,EUR_USD,TIME_6b,4384,-32.48,27.1,3.3,96.7,-3.9,13966.6,-0.0,5.9,428.9
001 pmom_h1m30,EUR_USD,TIME_12b,3438,-26.58,33.0,8.2,91.8,-5.1,11443.1,-0.0,11.6,428.9
001 pmom_h1m30,EUR_USD,TIME_24b,2650,-20.94,38.4,17.7,82.3,-7.6,9024.4,-0.0,22.1,428.9
001 pmom_h1m30,EUR_USD,TIME_48b,1928,-14.19,46.3,30.4,69.6,-11.5,6225.8,-0.0,39.9,428.9
001 pmom_h1m30,EUR_USD,TIME_144b,1080,-6.95,61.0,56.7,43.3,-27.1,2963.9,-0.0,90.7,428.9
001 pmom_h1m30,EUR_USD,TIME_288b,755,-1.81,72.1,70.6,29.4,-42.0,1224.6,-0.0,139.7,428.9
001 pmom_h1m30,EUR_USD,SIG_FLIP,4649,-32.19,25.2,6.0,94.0,-4.2,13829.6,-0.0,7.2,428.9
001 pmom_h1m30,EUR_GBP,TP_ONLY,33,1.17,100.0,100.0,0.0,0.0,0.0,0.0,2613.6,429.0
001 pmom_h1m30,EUR_GBP,TIME_6b,6089,-40.48,14.5,0.4,99.6,-2.9,17362.2,-0.0,6.0,429.0
001 pmom_h1m30,EUR_GBP,TIME_12b,4358,-34.35,20.6,1.2,98.8,-3.6,14739.3,-0.0,12.0,429.0
001 pmom_h1m30,EUR_GBP,TIME_24b,3066,-24.31,25.9,4.3,95.7,-4.2,10451.9,-0.0,23.6,429.0
