tfs,sma,lags,tp,ppd,tpd,mean_h,p50_h,p90_h,n_is3,target
H1+M30,8,"(3, 5, 8)",5,18.56,3.152,30.2,0.9,35.7,12,False
H1+M30,8,"(3, 5, 8)",8,20.85,2.25,46.9,1.1,54.2,12,False
H1+M30,8,"(3, 5, 8)",10,20.08,1.821,71.0,2.1,71.4,12,False
H1+M30,8,"(3, 5, 8)",12,26.51,2.042,61.4,2.7,95.3,12,False
H1+M30,8,"(3, 5, 8)",15,22.97,1.385,83.1,3.5,107.9,12,False
H1+M30,8,"(3, 5, 8)",20,23.62,1.11,121.0,6.4,174.9,10,False
H1+M30,8,"(5, 8, 10)",5,21.12,3.688,31.9,0.8,29.1,12,False
H1+M30,8,"(5, 8, 10)",8,21.34,2.383,47.9,1.2,55.3,12,False
H1+M30,8,"(5, 8, 10)",10,23.01,2.059,62.7,1.6,65.1,12,False
H1+M30,8,"(5, 8, 10)",12,24.3,1.765,69.0,2.3,86.8,12,False
H1+M30,8,"(5, 8, 10)",15,24.72,1.508,76.3,3.2,99.8,12,False
H1+M30,8,"(5, 8, 10)",20,23.38,1.091,118.7,5.5,167.4,10,False
H1+M30,8,"(8, 10, 15)",5,15.88,3.131,58.3,0.8,32.3,12,False
H1+M30,8,"(8, 10, 15)",8,19.21,2.371,78.4,1.5,56.1,12,False
H1+M30,8,"(8, 10, 15)",10,19.14,1.784,89.7,1.9,68.6,12,False
H1+M30,8,"(8, 10, 15)",12,25.73,2.054,92.7,2.6,88.9,12,False
H1+M30,8,"(8, 10, 15)",15,24.57,1.592,114.1,3.3,118.2,12,False
H1+M30,8,"(8, 10, 15)",20,22.32,1.079,170.3,6.1,167.4,10,False
H1+M30,16,"(3, 5, 8)",5,12.73,2.483,45.0,0.8,29.3,12,False
H1+M30,16,"(3, 5, 8)",8,13.79,1.583,64.8,1.3,61.1,12,False
H1+M30,16,"(3, 5, 8)",10,14.1,1.324,85.0,2.3,88.3,12,False
H1+M30,16,"(3, 5, 8)",12,13.66,1.101,119.6,3.3,96.9,12,False
H1+M30,16,"(3, 5, 8)",15,13.85,0.893,145.6,4.6,152.2,12,False
H1+M30,16,"(3, 5, 8)",20,14.5,0.73,180.5,8.2,208.2,10,False
H1+M30,16,"(5, 8, 10)",5,12.66,2.432,52.6,0.9,36.1,12,False
H1+M30,16,"(5, 8, 10)",8,15.43,1.842,66.4,1.5,61.5,12,False
H1+M30,16,"(5, 8, 10)",10,17.04,1.641,74.3,1.9,81.8,12,False
H1+M30,16,"(5, 8, 10)",12,17.88,1.469,98.0,2.7,89.0,12,False
H1+M30,16,"(5, 8, 10)",15,16.48,1.096,130.0,4.2,147.7,11,False
H1+M30,16,"(5, 8, 10)",20,17.48,0.886,163.7,7.2,189.1,10,False
H1+M30,16,"(8, 10, 15)",5,15.14,2.993,55.5,0.8,31.3,12,False
H1+M30,16,"(8, 10, 15)",8,19.59,2.315,72.0,1.4,57.3,12,False
H1+M30,16,"(8, 10, 15)",10,21.98,2.1,79.9,1.8,73.9,12,False
H1+M30,16,"(8, 10, 15)",12,24.6,1.986,89.9,2.6,90.8,12,False
H1+M30,16,"(8, 10, 15)",15,26.35,1.723,102.3,3.6,122.0,12,False
H1+M30,16,"(8, 10, 15)",20,29.75,1.462,125.1,6.1,156.7,10,False
M30+M15,8,"(3, 5, 8)",5,13.39,2.469,75.4,0.8,37.9,12,False
M30+M15,8,"(3, 5, 8)",8,21.46,2.522,76.0,1.2,54.9,12,False
M30+M15,8,"(3, 5, 8)",10,18.34,1.732,107.1,2.2,80.8,12,False
M30+M15,8,"(3, 5, 8)",12,19.58,1.583,122.8,2.5,109.5,12,False
M30+M15,8,"(3, 5, 8)",15,23.08,1.45,134.5,3.5,165.4,12,False
M30+M15,8,"(3, 5, 8)",20,21.01,0.991,187.5,5.5,206.6,10,False
M30+M15,8,"(5, 8, 10)",5,16.23,2.847,61.0,0.8,34.7,12,False
M30+M15,8,"(5, 8, 10)",8,23.66,2.779,70.1,1.2,48.7,12,False
M30+M15,8,"(5, 8, 10)",10,20.7,1.919,97.8,1.6,64.3,12,False
M30+M15,8,"(5, 8, 10)",12,20.66,1.651,118.5,2.7,97.8,12,False
M30+M15,8,"(5, 8, 10)",15,23.44,1.518,134.8,4.1,135.2,12,False
M30+M15,8,"(5, 8, 10)",20,25.69,1.242,154.2,5.6,184.1,10,False
M30+M15,8,"(8, 10, 15)",5,14.72,3.006,65.2,0.8,35.2,12,False
M30+M15,8,"(8, 10, 15)",8,20.1,2.464,82.9,1.5,55.1,12,False
M30+M15,8,"(8, 10, 15)",10,20.53,1.984,100.7,1.9,82.4,12,False
M30+M15,8,"(8, 10, 15)",12,19.26,1.548,123.8,2.7,100.6,12,False
M30+M15,8,"(8, 10, 15)",15,21.99,1.378,139.5,3.5,135.2,12,False
M30+M15,8,"(8, 10, 15)",20,23.25,1.131,168.1,5.8,201.1,10,False
M30+M15,16,"(3, 5, 8)",5,13.6,2.611,71.2,0.8,35.3,12,False
M30+M15,16,"(3, 5, 8)",8,18.21,2.222,87.2,1.4,58.7,12,False
M30+M15,16,"(3, 5, 8)",10,20.21,1.884,97.9,1.8,77.3,12,False
M30+M15,16,"(3, 5, 8)",12,20.8,1.679,114.7,2.5,103.5,12,False
M30+M15,16,"(3, 5, 8)",15,20.03,1.299,136.7,3.4,144.2,12,False
M30+M15,16,"(3, 5, 8)",20,22.31,1.091,176.2,5.5,178.0,10,False
M30+M15,16,"(5, 8, 10)",5,14.25,2.9,65.7,0.8,35.3,12,False
M30+M15,16,"(5, 8, 10)",8,21.09,2.525,74.7,1.2,55.1,12,False
M30+M15,16,"(5, 8, 10)",10,20.2,1.907,95.8,1.6,82.4,12,False
M30+M15,16,"(5, 8, 10)",12,20.85,1.69,113.1,2.5,89.7,12,False
M30+M15,16,"(5, 8, 10)",15,24.63,1.636,125.0,3.9,148.2,12,False
M30+M15,16,"(5, 8, 10)",20,27.45,1.368,148.5,5.6,171.5,10,False
M30+M15,16,"(8, 10, 15)",5,16.19,3.399,56.2,0.9,34.3,12,False
M30+M15,16,"(8, 10, 15)",8,23.49,2.916,68.1,1.5,55.2,12,False
M30+M15,16,"(8, 10, 15)",10,23.04,2.273,84.2,2.0,72.4,12,False
M30+M15,16,"(8, 10, 15)",12,26.48,2.077,87.3,2.2,85.0,12,False
M30+M15,16,"(8, 10, 15)",15,30.51,1.902,95.2,3.0,96.5,12,False
M30+M15,16,"(8, 10, 15)",20,27.09,1.364,144.8,5.8,170.2,10,False
M15+M5,8,"(3, 5, 8)",5,19.12,3.794,49.3,0.8,24.9,12,False
M15+M5,8,"(3, 5, 8)",8,21.81,2.677,78.3,1.3,55.0,12,False
