tf,sma_n,lags,tp_pips,port_pd,port_td,n_is3,n_pos
H1+M30,8,"(3, 5, 8)",5,13.14,2.231,12,12
H1+M30,8,"(3, 5, 8)",10,14.21,1.288,12,12
H1+M30,8,"(3, 5, 8)",15,16.25,0.98,12,12
H1+M30,8,"(3, 5, 8)",20,16.72,0.785,10,12
H1+M30,8,"(5, 8, 10)",5,14.95,2.609,12,12
H1+M30,8,"(5, 8, 10)",10,16.28,1.456,12,12
H1+M30,8,"(5, 8, 10)",15,17.49,1.067,12,12
H1+M30,8,"(5, 8, 10)",20,16.55,0.772,10,12
H1+M30,8,"(8, 10, 15)",5,11.24,2.215,12,12
H1+M30,8,"(8, 10, 15)",10,13.54,1.262,12,12
H1+M30,8,"(8, 10, 15)",15,17.38,1.126,12,12
H1+M30,8,"(8, 10, 15)",20,15.79,0.764,10,12
H1+M30,8,"(3, 8, 15)",5,12.46,2.113,12,12
H1+M30,8,"(3, 8, 15)",10,14.2,1.248,12,12
H1+M30,8,"(3, 8, 15)",15,17.97,1.11,12,12
H1+M30,8,"(3, 8, 15)",20,20.48,0.973,10,12
H1+M30,16,"(3, 5, 8)",5,9.0,1.756,12,12
H1+M30,16,"(3, 5, 8)",10,9.98,0.937,12,12
H1+M30,16,"(3, 5, 8)",15,9.8,0.632,12,12
H1+M30,16,"(3, 5, 8)",20,10.25,0.516,10,12
H1+M30,16,"(5, 8, 10)",5,8.96,1.72,12,12
H1+M30,16,"(5, 8, 10)",10,12.05,1.161,12,12
H1+M30,16,"(5, 8, 10)",15,11.66,0.775,11,12
H1+M30,16,"(5, 8, 10)",20,12.36,0.626,10,12
H1+M30,16,"(8, 10, 15)",5,10.72,2.118,12,12
H1+M30,16,"(8, 10, 15)",10,15.56,1.486,12,12
H1+M30,16,"(8, 10, 15)",15,18.64,1.219,12,12
H1+M30,16,"(8, 10, 15)",20,21.05,1.034,10,12
H1+M30,16,"(3, 8, 15)",5,11.64,2.071,12,12
H1+M30,16,"(3, 8, 15)",10,15.0,1.417,12,12
H1+M30,16,"(3, 8, 15)",15,17.2,1.09,12,12
H1+M30,16,"(3, 8, 15)",20,17.54,0.848,10,12
H1+M30,22,"(3, 5, 8)",5,11.16,1.873,12,12
H1+M30,22,"(3, 5, 8)",10,11.48,1.055,12,12
H1+M30,22,"(3, 5, 8)",15,11.61,0.732,12,12
H1+M30,22,"(3, 5, 8)",20,11.45,0.566,10,12
H1+M30,22,"(5, 8, 10)",5,10.41,1.868,12,12
H1+M30,22,"(5, 8, 10)",10,12.67,1.164,12,12
H1+M30,22,"(5, 8, 10)",15,11.48,0.731,12,12
H1+M30,22,"(5, 8, 10)",20,12.43,0.615,10,12
H1+M30,22,"(8, 10, 15)",5,10.01,1.818,12,12
H1+M30,22,"(8, 10, 15)",10,12.7,1.203,12,12
H1+M30,22,"(8, 10, 15)",15,12.5,0.8,12,12
H1+M30,22,"(8, 10, 15)",20,14.42,0.704,10,12
H1+M30,22,"(3, 8, 15)",5,9.06,1.578,12,12
H1+M30,22,"(3, 8, 15)",10,12.71,1.193,12,12
H1+M30,22,"(3, 8, 15)",15,12.66,0.795,12,12
H1+M30,22,"(3, 8, 15)",20,12.93,0.628,10,12
M30+M15,8,"(3, 5, 8)",5,9.47,1.747,12,12
M30+M15,8,"(3, 5, 8)",10,12.97,1.225,12,12
M30+M15,8,"(3, 5, 8)",15,16.33,1.026,12,12
M30+M15,8,"(3, 5, 8)",20,14.86,0.701,10,12
M30+M15,8,"(5, 8, 10)",5,11.49,2.014,12,12
M30+M15,8,"(5, 8, 10)",10,14.64,1.357,12,12
M30+M15,8,"(5, 8, 10)",15,16.58,1.073,12,12
M30+M15,8,"(5, 8, 10)",20,18.18,0.879,10,12
M30+M15,8,"(8, 10, 15)",5,10.42,2.125,12,12
M30+M15,8,"(8, 10, 15)",10,14.53,1.403,12,12
M30+M15,8,"(8, 10, 15)",15,15.56,0.975,12,12
M30+M15,8,"(8, 10, 15)",20,16.45,0.8,10,12
M30+M15,8,"(3, 8, 15)",5,9.83,1.819,12,12
M30+M15,8,"(3, 8, 15)",10,12.4,1.168,12,12
M30+M15,8,"(3, 8, 15)",15,15.48,0.967,12,12
M30+M15,8,"(3, 8, 15)",20,14.51,0.693,10,12
M30+M15,16,"(3, 5, 8)",5,9.63,1.847,12,12
M30+M15,16,"(3, 5, 8)",10,14.3,1.333,12,12
M30+M15,16,"(3, 5, 8)",15,14.17,0.919,12,12
M30+M15,16,"(3, 5, 8)",20,15.78,0.772,10,12
M30+M15,16,"(5, 8, 10)",5,10.09,2.051,12,12
M30+M15,16,"(5, 8, 10)",10,14.3,1.349,12,12
M30+M15,16,"(5, 8, 10)",15,17.42,1.157,12,12
M30+M15,16,"(5, 8, 10)",20,19.42,0.968,10,12
M30+M15,16,"(8, 10, 15)",5,11.46,2.404,12,12
M30+M15,16,"(8, 10, 15)",10,16.3,1.608,12,12
M30+M15,16,"(8, 10, 15)",15,21.59,1.346,12,12
M30+M15,16,"(8, 10, 15)",20,19.16,0.965,10,12
M30+M15,16,"(3, 8, 15)",5,10.83,2.075,12,12
M30+M15,16,"(3, 8, 15)",10,14.54,1.367,12,12
M30+M15,16,"(3, 8, 15)",15,16.99,1.079,12,12
M30+M15,16,"(3, 8, 15)",20,16.6,0.811,10,12
M30+M15,22,"(3, 5, 8)",5,9.18,1.747,12,12
M30+M15,22,"(3, 5, 8)",10,11.15,1.067,12,12
M30+M15,22,"(3, 5, 8)",15,13.3,0.848,12,12
M30+M15,22,"(3, 5, 8)",20,14.95,0.749,10,12
M30+M15,22,"(5, 8, 10)",5,9.69,1.854,12,12
M30+M15,22,"(5, 8, 10)",10,12.99,1.236,12,12
M30+M15,22,"(5, 8, 10)",15,13.76,0.889,12,12
M30+M15,22,"(5, 8, 10)",20,14.94,0.741,10,12
M30+M15,22,"(8, 10, 15)",5,10.01,2.111,12,12
M30+M15,22,"(8, 10, 15)",10,15.73,1.552,12,12
M30+M15,22,"(8, 10, 15)",15,17.03,1.102,12,12
M30+M15,22,"(8, 10, 15)",20,18.15,0.904,10,12
M30+M15,22,"(3, 8, 15)",5,12.13,2.103,12,12
M30+M15,22,"(3, 8, 15)",10,14.12,1.384,12,12
M30+M15,22,"(3, 8, 15)",15,15.91,1.026,12,12
M30+M15,22,"(3, 8, 15)",20,17.55,0.854,10,12
M15+M5,8,"(3, 5, 8)",5,13.53,2.682,12,12
M15+M5,8,"(3, 5, 8)",10,15.32,1.464,12,12
M15+M5,8,"(3, 5, 8)",15,17.95,1.149,12,12
M15+M5,8,"(3, 5, 8)",20,15.26,0.752,10,12
M15+M5,8,"(5, 8, 10)",5,12.32,2.456,12,12
M15+M5,8,"(5, 8, 10)",10,16.92,1.619,12,12
M15+M5,8,"(5, 8, 10)",15,19.59,1.204,12,12
M15+M5,8,"(5, 8, 10)",20,17.92,0.882,10,12
M15+M5,8,"(8, 10, 15)",5,13.14,2.361,12,12
M15+M5,8,"(8, 10, 15)",10,14.55,1.347,12,12
M15+M5,8,"(8, 10, 15)",15,17.24,1.091,11,12
M15+M5,8,"(8, 10, 15)",20,15.78,0.762,10,12
M15+M5,8,"(3, 8, 15)",5,12.55,2.513,12,12
M15+M5,8,"(3, 8, 15)",10,16.28,1.543,12,12
M15+M5,8,"(3, 8, 15)",15,17.58,1.121,11,12
M15+M5,8,"(3, 8, 15)",20,19.09,0.953,10,12
M15+M5,16,"(3, 5, 8)",5,9.22,1.732,12,12
M15+M5,16,"(3, 5, 8)",10,11.8,1.115,12,12
M15+M5,16,"(3, 5, 8)",15,14.12,0.9,12,12
M15+M5,16,"(3, 5, 8)",20,12.77,0.612,10,12
M15+M5,16,"(5, 8, 10)",5,8.49,1.677,12,12
M15+M5,16,"(5, 8, 10)",10,12.16,1.181,12,12
M15+M5,16,"(5, 8, 10)",15,14.78,0.938,12,12
M15+M5,16,"(5, 8, 10)",20,16.72,0.821,10,12
M15+M5,16,"(8, 10, 15)",5,9.72,1.865,12,12
M15+M5,16,"(8, 10, 15)",10,13.06,1.28,12,12
M15+M5,16,"(8, 10, 15)",15,15.45,0.996,12,12
M15+M5,16,"(8, 10, 15)",20,15.92,0.768,10,12
M15+M5,16,"(3, 8, 15)",5,8.12,1.496,12,12
M15+M5,16,"(3, 8, 15)",10,11.39,1.104,12,12
M15+M5,16,"(3, 8, 15)",15,15.68,0.999,12,12
M15+M5,16,"(3, 8, 15)",20,12.42,0.581,10,12
M15+M5,22,"(3, 5, 8)",5,10.99,2.195,12,12
M15+M5,22,"(3, 5, 8)",10,13.91,1.3,12,12
M15+M5,22,"(3, 5, 8)",15,15.0,0.97,12,12
M15+M5,22,"(3, 5, 8)",20,13.79,0.657,10,12
