pair,sp_gate,is_pass,is_f1,is_f2,is_f3,oos_ppd,oos_nt,oos_wr,tpd,mean_h,p50_h,p90_h,oos_days,mc_p
GBP_JPY,4.0,3,0.61,5.93,0.52,3.47,106,97.2,0.247,38.4,1.0,17.3,429.0,0.0
USD_JPY,2.1,3,0.78,0.54,2.63,10.1,245,100.0,0.571,33.8,2.4,68.6,429.0,0.0
EUR_JPY,2.5,3,0.32,2.31,4.1,6.43,169,98.8,0.394,26.2,2.1,55.5,429.0,0.0
GBP_USD,2.4,3,0.36,2.94,1.87,1.18,35,100.0,0.082,198.3,10.0,378.1,429.0,0.0
AUD_JPY,2.3,3,0.32,0.04,0.66,1.32,38,100.0,0.089,206.4,8.2,122.4,429.0,0.0
EUR_USD,1.7,3,1.72,0.04,0.71,1.83,40,100.0,0.093,208.3,2.9,265.2,429.0,0.0
EUR_GBP,2.0,3,1.53,2.41,0.54,1.01,30,100.0,0.07,237.4,10.6,1216.5,429.0,0.0
AUD_USD,1.6,3,0.66,0.99,1.28,1.09,30,100.0,0.07,341.5,11.2,317.4,429.0,0.0
NZD_JPY,3.1,2,0.21,0.0,4.14,1.19,34,100.0,0.079,276.7,4.2,40.4,429.0,0.0
CHF_JPY,3.7,3,0.25,0.28,0.03,0.7,20,100.0,0.047,134.6,2.2,417.9,428.0,0.0
NZD_USD,2.0,3,1.0,0.69,0.93,3.54,103,100.0,0.24,70.0,15.8,202.2,428.0,0.0
CAD_JPY,2.6,3,0.38,0.59,2.18,1.82,54,100.0,0.126,159.7,6.7,180.5,429.0,0.0
