pair,sp_gate,is_pass,is_f1,is_f2,is_f3,oos_ppd,oos_nt,oos_wr,tpd,mean_h,p50_h,p90_h,oos_days,mc_p
GBP_JPY,4.0,3,0.47,1.68,0.34,4.5,168,97.6,0.391,21.4,1.0,35.4,429.0,0.0
USD_JPY,2.1,3,0.7,0.21,2.27,3.09,99,100.0,0.231,66.9,1.3,25.7,429.0,0.0
EUR_JPY,2.5,3,0.32,0.84,0.07,4.0,146,98.6,0.34,28.1,1.0,30.5,429.0,0.0
GBP_USD,2.4,3,0.49,6.67,3.84,1.18,50,100.0,0.117,138.7,2.6,56.3,429.0,0.0
AUD_JPY,2.3,3,1.21,0.27,4.98,3.24,118,98.3,0.275,28.3,0.9,20.9,429.0,0.0
EUR_USD,1.7,3,1.44,0.03,0.85,2.13,75,100.0,0.175,24.9,3.8,63.5,429.0,0.0
EUR_GBP,2.0,3,1.37,0.45,0.46,0.27,13,100.0,0.03,105.8,6.0,373.0,429.0,0.0
AUD_USD,1.6,3,0.74,2.72,1.21,1.73,64,100.0,0.149,52.5,8.5,141.1,429.0,0.0
NZD_JPY,3.1,3,0.19,0.02,1.84,2.56,108,99.1,0.252,30.8,2.0,31.1,429.0,0.0
CHF_JPY,3.7,3,0.32,0.23,0.03,0.62,25,100.0,0.058,107.5,1.5,226.4,428.0,0.0
NZD_USD,2.0,3,1.23,0.14,0.56,2.64,109,100.0,0.254,30.4,7.1,84.8,428.0,0.0
CAD_JPY,2.6,3,0.37,0.05,0.97,4.4,174,99.4,0.405,20.1,2.0,39.5,429.0,0.0
