tfs,lags,tp,ppd,tpd,n_is3,mean_h,p50_h,p90_h,short_hold,beats_baseline
H1+M30,"(1, 2, 3)",5,12.91,2.15,11,36.9,0.8,41.6,False,False
H1+M30,"(1, 2, 3)",10,16.55,1.455,11,55.1,2.0,87.5,False,False
H1+M30,"(1, 2, 3)",15,17.19,1.052,10,76.4,4.5,135.2,False,False
H1+M30,"(1, 2, 3)",20,17.53,0.828,8,96.1,8.2,185.9,False,False
H1+M30,"(1, 2, 3)",30,17.95,0.574,7,139.1,16.3,314.4,False,False
H1+M30,"(1, 2, 5)",5,12.71,2.11,12,37.6,0.8,41.8,False,False
H1+M30,"(1, 2, 5)",10,16.36,1.427,11,56.2,2.2,88.6,False,False
H1+M30,"(1, 2, 5)",15,17.45,1.066,10,75.6,4.9,136.5,False,False
H1+M30,"(1, 2, 5)",20,17.77,0.842,8,92.4,8.2,178.2,False,False
H1+M30,"(1, 2, 5)",30,17.94,0.574,7,139.1,16.8,338.5,False,False
H1+M30,"(1, 2, 8)",5,11.38,1.965,11,47.6,0.8,34.1,False,False
H1+M30,"(1, 2, 8)",10,15.91,1.415,11,60.0,2.3,87.4,False,False
H1+M30,"(1, 2, 8)",15,17.99,1.121,11,84.0,4.1,107.0,False,False
H1+M30,"(1, 2, 8)",20,18.55,0.893,9,92.4,6.8,134.9,False,False
H1+M30,"(1, 2, 8)",30,17.06,0.55,7,170.7,15.8,314.4,False,False
H1+M30,"(1, 2, 10)",5,13.18,2.208,11,35.8,0.8,36.2,False,False
H1+M30,"(1, 2, 10)",10,15.61,1.387,11,61.2,2.2,90.3,False,False
H1+M30,"(1, 2, 10)",15,17.46,1.089,11,86.6,3.9,120.5,False,False
H1+M30,"(1, 2, 10)",20,17.53,0.837,9,99.0,7.4,162.4,False,False
H1+M30,"(1, 2, 10)",30,16.96,0.548,7,175.2,17.0,360.7,False,False
H1+M30,"(1, 2, 15)",5,12.98,2.217,12,38.0,0.8,35.8,False,False
H1+M30,"(1, 2, 15)",10,15.83,1.411,11,60.2,2.4,86.4,False,False
H1+M30,"(1, 2, 15)",15,17.55,1.08,11,87.3,4.1,122.7,False,False
H1+M30,"(1, 2, 15)",20,17.61,0.835,9,100.9,7.3,177.1,False,False
H1+M30,"(1, 2, 15)",30,16.39,0.532,7,177.3,15.9,351.6,False,False
H1+M30,"(1, 2, 20)",5,13.53,2.313,12,36.4,0.8,31.3,False,False
H1+M30,"(1, 2, 20)",10,16.81,1.478,12,57.4,2.2,66.3,False,False
H1+M30,"(1, 2, 20)",15,15.95,0.982,11,100.8,3.9,129.2,False,False
H1+M30,"(1, 2, 20)",20,16.71,0.779,10,98.4,5.4,150.1,False,False
H1+M30,"(1, 2, 20)",30,16.41,0.532,8,159.1,14.1,281.8,False,False
H1+M30,"(1, 3, 5)",5,12.71,2.11,12,37.6,0.8,41.8,False,False
H1+M30,"(1, 3, 5)",10,16.36,1.427,11,56.2,2.2,88.6,False,False
H1+M30,"(1, 3, 5)",15,17.45,1.066,10,75.6,4.9,136.5,False,False
H1+M30,"(1, 3, 5)",20,17.77,0.842,8,92.4,8.2,178.2,False,False
H1+M30,"(1, 3, 5)",30,17.94,0.574,7,139.1,16.8,338.5,False,False
H1+M30,"(1, 3, 8)",5,11.38,1.965,11,47.6,0.8,34.1,False,False
H1+M30,"(1, 3, 8)",10,15.91,1.415,11,60.0,2.3,87.4,False,False
H1+M30,"(1, 3, 8)",15,17.99,1.121,11,84.0,4.1,107.0,False,False
H1+M30,"(1, 3, 8)",20,18.55,0.893,9,92.4,6.8,134.9,False,False
H1+M30,"(1, 3, 8)",30,17.06,0.55,7,170.7,15.8,314.4,False,False
H1+M30,"(1, 3, 10)",5,13.08,2.199,11,36.0,0.8,36.2,False,False
H1+M30,"(1, 3, 10)",10,15.49,1.38,11,61.5,2.2,91.1,False,False
H1+M30,"(1, 3, 10)",15,17.13,1.068,11,88.3,4.0,126.9,False,False
H1+M30,"(1, 3, 10)",20,17.38,0.828,9,100.1,7.6,170.8,False,False
H1+M30,"(1, 3, 10)",30,17.06,0.55,7,174.4,16.1,357.6,False,False
H1+M30,"(1, 3, 15)",5,11.92,2.054,12,37.4,0.8,29.2,False,False
H1+M30,"(1, 3, 15)",10,16.29,1.483,11,57.2,2.5,83.4,False,False
H1+M30,"(1, 3, 15)",15,18.1,1.117,11,84.3,4.3,108.7,False,False
H1+M30,"(1, 3, 15)",20,17.67,0.842,9,100.0,8.2,165.5,False,False
H1+M30,"(1, 3, 15)",30,17.1,0.553,7,173.6,16.2,354.7,False,False
H1+M30,"(1, 3, 20)",5,13.81,2.422,12,34.7,0.8,31.5,False,False
H1+M30,"(1, 3, 20)",10,16.69,1.478,12,57.4,2.2,65.5,False,False
H1+M30,"(1, 3, 20)",15,15.94,0.982,11,100.8,4.0,129.2,False,False
H1+M30,"(1, 3, 20)",20,16.41,0.765,10,100.2,5.4,159.8,False,False
H1+M30,"(1, 3, 20)",30,16.79,0.541,8,156.3,14.2,274.6,False,False
H1+M30,"(1, 5, 8)",5,11.38,1.965,11,47.6,0.8,34.1,False,False
H1+M30,"(1, 5, 8)",10,15.91,1.415,11,60.0,2.3,87.4,False,False
H1+M30,"(1, 5, 8)",15,17.99,1.121,11,84.0,4.1,107.0,False,False
H1+M30,"(1, 5, 8)",20,18.55,0.893,9,92.4,6.8,134.9,False,False
H1+M30,"(1, 5, 8)",30,17.06,0.55,7,170.7,15.8,314.4,False,False
H1+M30,"(1, 5, 10)",5,12.69,2.164,11,37.9,0.8,36.2,False,False
H1+M30,"(1, 5, 10)",10,16.02,1.429,11,59.4,2.2,86.9,False,False
