pair,tp,is_pass,ppd,tpd,nt,wr,oos_days
GBP_JPY,5,3,1.87,0.513,220,91.4,429.0
GBP_JPY,8,3,2.63,0.412,177,98.3,429.0
GBP_JPY,10,3,3.12,0.368,158,98.1,429.0
GBP_JPY,12,3,3.36,0.315,135,96.3,429.0
GBP_JPY,15,3,3.92,0.277,119,98.3,429.0
GBP_JPY,20,3,4.17,0.231,99,98.0,429.0
GBP_JPY,25,3,4.42,0.191,82,98.8,429.0
GBP_JPY,30,3,4.5,0.165,71,97.2,429.0
GBP_JPY,40,3,4.88,0.13,56,96.4,429.0
GBP_JPY,50,3,4.96,0.105,45,100.0,429.0
GBP_JPY,75,3,5.35,0.075,32,100.0,429.0
GBP_JPY,100,3,5.32,0.054,23,100.0,429.0
USD_JPY,5,3,2.18,0.256,110,99.1,429.0
USD_JPY,8,3,2.4,0.2,86,100.0,429.0
USD_JPY,10,3,2.54,0.177,76,100.0,429.0
USD_JPY,12,3,2.64,0.154,66,100.0,429.0
USD_JPY,15,3,2.6,0.135,58,100.0,429.0
USD_JPY,20,3,2.78,0.119,51,100.0,429.0
USD_JPY,25,3,3.01,0.103,44,100.0,429.0
USD_JPY,30,3,2.75,0.079,34,100.0,429.0
USD_JPY,40,3,2.78,0.058,25,100.0,429.0
USD_JPY,50,3,2.85,0.051,22,100.0,429.0
USD_JPY,75,3,2.76,0.033,14,100.0,429.0
USD_JPY,100,3,2.81,0.026,11,100.0,429.0
EUR_JPY,5,3,0.89,0.172,74,98.6,429.0
EUR_JPY,8,3,1.25,0.152,65,100.0,429.0
EUR_JPY,10,3,1.27,0.131,56,100.0,429.0
EUR_JPY,12,3,1.09,0.1,43,100.0,429.0
EUR_JPY,15,3,1.39,0.086,37,100.0,429.0
EUR_JPY,20,3,4.53,0.238,102,100.0,429.0
EUR_JPY,25,3,4.58,0.196,84,100.0,429.0
EUR_JPY,30,3,4.82,0.165,71,100.0,429.0
EUR_JPY,40,3,5.1,0.131,56,100.0,429.0
EUR_JPY,50,3,5.13,0.105,45,100.0,429.0
EUR_JPY,75,3,2.66,0.033,14,100.0,429.0
EUR_JPY,100,3,5.75,0.058,25,100.0,429.0
GBP_USD,5,3,0.71,0.131,56,98.2,429.0
GBP_USD,8,3,0.84,0.098,42,100.0,429.0
GBP_USD,10,3,0.93,0.084,36,100.0,429.0
GBP_USD,12,3,0.86,0.07,30,100.0,429.0
GBP_USD,15,3,1.05,0.063,27,100.0,429.0
GBP_USD,20,3,1.15,0.051,22,100.0,429.0
GBP_USD,25,3,1.13,0.042,18,100.0,429.0
GBP_USD,30,3,1.09,0.035,15,100.0,429.0
GBP_USD,40,3,1.14,0.028,12,100.0,429.0
GBP_USD,50,3,1.14,0.021,9,100.0,429.0
GBP_USD,75,3,1.05,0.014,6,100.0,429.0
GBP_USD,100,3,1.17,0.012,5,100.0,429.0
AUD_JPY,5,3,1.7,0.45,193,97.9,429.0
AUD_JPY,8,3,2.25,0.333,143,97.2,429.0
AUD_JPY,10,3,3.05,0.368,158,97.5,429.0
AUD_JPY,12,3,2.71,0.24,103,100.0,429.0
AUD_JPY,15,3,2.08,0.147,63,98.4,429.0
AUD_JPY,20,3,2.64,0.116,50,100.0,429.0
AUD_JPY,25,3,3.11,0.126,54,100.0,429.0
AUD_JPY,30,3,2.52,0.084,36,100.0,429.0
AUD_JPY,40,3,3.56,0.091,39,100.0,429.0
AUD_JPY,50,3,3.45,0.072,31,100.0,429.0
AUD_JPY,75,3,3.53,0.049,21,100.0,429.0
AUD_JPY,100,3,3.66,0.037,16,100.0,429.0
EUR_USD,5,3,1.43,0.217,93,100.0,429.0
EUR_USD,8,3,1.64,0.168,72,100.0,429.0
EUR_USD,10,3,1.93,0.152,65,100.0,429.0
EUR_USD,12,3,1.87,0.124,53,100.0,429.0
EUR_USD,15,3,1.87,0.11,47,100.0,429.0
EUR_USD,20,3,1.85,0.079,34,100.0,429.0
EUR_USD,25,3,2.06,0.075,32,100.0,429.0
EUR_USD,30,3,1.95,0.061,26,100.0,429.0
EUR_USD,40,3,2.19,0.051,22,100.0,429.0
EUR_USD,50,3,2.15,0.037,16,100.0,429.0
EUR_USD,75,3,2.15,0.028,12,100.0,429.0
EUR_USD,100,3,1.99,0.019,8,100.0,429.0
EUR_GBP,5,3,0.22,0.049,21,100.0,429.0
EUR_GBP,8,3,0.25,0.035,15,100.0,429.0
EUR_GBP,10,3,0.26,0.028,12,100.0,429.0
EUR_GBP,12,3,0.3,0.028,12,100.0,429.0
EUR_GBP,15,3,0.3,0.021,9,100.0,429.0
EUR_GBP,20,3,0.31,0.016,7,100.0,429.0
EUR_GBP,25,3,0.34,0.014,6,100.0,429.0
EUR_GBP,30,3,0.27,0.009,4,100.0,429.0
EUR_GBP,40,3,0.27,0.007,3,100.0,429.0
EUR_GBP,50,3,0.34,0.007,3,100.0,429.0
EUR_GBP,75,3,0.35,0.005,2,100.0,429.0
EUR_GBP,100,3,0.23,0.002,1,100.0,429.0
AUD_USD,5,3,0.68,0.124,53,100.0,429.0
AUD_USD,8,3,0.73,0.082,35,100.0,429.0
AUD_USD,10,3,0.8,0.07,30,100.0,429.0
AUD_USD,12,3,0.8,0.063,27,100.0,429.0
AUD_USD,15,3,0.85,0.056,24,100.0,429.0
AUD_USD,20,3,0.85,0.042,18,100.0,429.0
AUD_USD,25,3,0.9,0.035,15,100.0,429.0
AUD_USD,30,3,0.94,0.03,13,100.0,429.0
AUD_USD,40,3,0.92,0.023,10,100.0,429.0
AUD_USD,50,3,0.93,0.019,8,100.0,429.0
AUD_USD,75,3,0.89,0.012,5,100.0,429.0
AUD_USD,100,3,0.92,0.009,4,100.0,429.0
NZD_JPY,5,2,0.37,0.128,55,98.2,429.0
NZD_JPY,8,2,0.52,0.096,41,95.1,429.0
NZD_JPY,10,2,0.61,0.082,35,97.1,429.0
NZD_JPY,12,2,0.77,0.075,32,100.0,429.0
NZD_JPY,15,2,0.78,0.063,27,96.3,429.0
NZD_JPY,20,2,0.87,0.051,22,95.5,429.0
NZD_JPY,25,2,0.95,0.044,19,100.0,429.0
NZD_JPY,30,2,1.0,0.037,16,100.0,429.0
NZD_JPY,40,2,1.05,0.028,12,100.0,429.0
NZD_JPY,50,2,1.13,0.023,10,100.0,429.0
NZD_JPY,75,2,1.02,0.014,6,100.0,429.0
NZD_JPY,100,2,1.13,0.012,5,100.0,429.0
CHF_JPY,5,2,0.87,0.194,83,92.8,428.0
CHF_JPY,8,2,0.74,0.14,60,96.7,428.0
CHF_JPY,10,2,0.94,0.133,57,98.2,428.0
CHF_JPY,12,2,1.13,0.122,52,98.1,428.0
CHF_JPY,15,2,1.26,0.101,43,100.0,428.0
CHF_JPY,20,2,1.35,0.079,34,97.1,428.0
CHF_JPY,25,2,1.46,0.061,26,100.0,428.0
CHF_JPY,30,2,1.99,0.068,29,100.0,428.0
CHF_JPY,40,2,1.84,0.049,21,100.0,428.0
CHF_JPY,50,2,1.79,0.037,16,100.0,428.0
CHF_JPY,75,2,1.99,0.028,12,100.0,428.0
CHF_JPY,100,2,6.89,0.072,31,100.0,428.0
NZD_USD,5,3,0.18,0.042,18,100.0,428.0
NZD_USD,8,3,0.22,0.03,13,100.0,428.0
NZD_USD,10,3,0.22,0.026,11,100.0,428.0
NZD_USD,12,3,0.22,0.021,9,100.0,428.0
NZD_USD,15,3,0.23,0.016,7,100.0,428.0
NZD_USD,20,3,0.22,0.012,5,100.0,428.0
NZD_USD,25,3,0.22,0.009,4,100.0,428.0
NZD_USD,30,3,0.2,0.007,3,100.0,428.0
NZD_USD,40,3,0.18,0.005,2,100.0,428.0
NZD_USD,50,3,0.23,0.005,2,100.0,428.0
NZD_USD,75,3,0.17,0.002,1,100.0,428.0
NZD_USD,100,3,0.23,0.002,1,100.0,428.0
CAD_JPY,5,3,1.13,0.301,129,98.4,429.0
CAD_JPY,8,3,2.81,0.41,176,98.3,429.0
CAD_JPY,10,3,1.61,0.191,82,98.8,429.0
CAD_JPY,12,3,3.28,0.303,130,99.2,429.0
CAD_JPY,15,3,0.99,0.065,28,100.0,429.0
CAD_JPY,20,3,3.2,0.163,70,100.0,429.0
CAD_JPY,25,3,3.41,0.137,59,100.0,429.0
CAD_JPY,30,3,3.66,0.121,52,100.0,429.0
CAD_JPY,40,3,2.4,0.058,25,100.0,429.0
CAD_JPY,50,3,2.31,0.044,19,100.0,429.0
CAD_JPY,75,3,2.21,0.03,13,100.0,429.0
CAD_JPY,100,3,2.32,0.023,10,100.0,429.0
