exit_config,is_pass,is_fold1,is_fold2,is_fold3,oos_pd,oos_nt,oos_wr,oos_days
tp_50p,3,0.28,1.24,10.11,4.96,45,100.0,429.0
tp_30p,3,0.26,6.58,4.24,4.52,71,97.2,429.0
tp_20p,3,0.2,5.92,8.57,4.17,99,98.0,429.0
tp_15p,3,0.21,1.08,7.61,3.93,120,98.3,429.0
tp_10p,3,0.16,4.94,3.0,3.13,159,98.1,429.0
trail_20_10,3,0.23,0.58,3.73,2.83,86,86.0,429.0
trail_10_5,3,0.2,5.07,3.3,2.3,145,72.4,429.0
trail_5_5,3,0.2,0.31,2.74,1.63,168,49.4,429.0
trail_10_10,3,0.14,5.68,3.28,1.45,136,56.6,429.0
hold_576,2,-0.19,1.86,3.23,-8.03,204,46.6,429.0
hold_288,2,-3.7,1.83,1.61,-18.37,391,43.7,429.0
hold_144,1,-6.6,2.94,-4.57,-21.05,698,43.4,429.0
signal_rev,0,-7.63,-3.34,-4.21,-21.86,874,23.8,429.0
sig_trail_10_5,0,-22.42,-32.24,-28.3,-47.42,2372,47.0,429.0
