pair,votes,sp_gate,signal_pct,is_pass,is_f1,is_f2,is_f3,oos_pd,oos_nt,oos_wr,tpd,oos_days,mc_p
GBP_JPY,6,3.999999999999204,55.1,3,0.61,10.51,8.56,4.17,99,98.0,0.23,429.0,0.0
GBP_JPY,5,3.999999999999204,71.0,3,0.61,5.77,8.45,1.41,35,94.3,0.08,429.0,
GBP_JPY,4,3.999999999999204,85.6,3,0.61,9.48,8.53,1.37,33,97.0,0.08,429.0,
GBP_JPY,3,3.999999999999204,100.0,3,0.61,1.87,4.29,1.46,34,97.1,0.08,429.0,
USD_JPY,6,2.0999999999986585,55.8,3,0.77,9.52,9.35,2.78,51,100.0,0.12,429.0,
USD_JPY,5,2.0999999999986585,71.1,3,0.77,9.75,9.85,2.82,51,100.0,0.12,429.0,
USD_JPY,4,2.0999999999986585,85.6,3,0.77,9.8,6.41,2.8,50,100.0,0.12,429.0,
USD_JPY,3,2.0999999999986585,100.0,3,0.77,0.17,0.95,2.64,48,100.0,0.11,429.0,
EUR_JPY,6,2.5000000000005684,55.9,3,0.3,5.08,7.4,4.53,102,100.0,0.24,429.0,
EUR_JPY,5,2.5000000000005684,71.4,3,0.3,5.05,7.24,3.13,62,100.0,0.14,429.0,
EUR_JPY,4,2.5000000000005684,86.1,3,0.3,5.13,7.31,3.33,66,100.0,0.15,429.0,
EUR_JPY,3,2.5000000000005684,100.0,3,0.3,1.15,11.99,3.42,68,100.0,0.16,429.0,
GBP_USD,6,2.4000000000001798,54.0,3,0.36,0.06,1.9,1.15,22,100.0,0.05,429.0,
GBP_USD,5,2.4000000000001798,69.9,3,0.36,0.06,1.86,1.1,21,100.0,0.05,429.0,
GBP_USD,4,2.4000000000001798,85.0,3,0.36,0.06,1.95,1.1,21,100.0,0.05,429.0,
GBP_USD,3,2.4000000000001798,100.0,3,0.36,7.72,3.48,1.1,21,100.0,0.05,429.0,
AUD_JPY,6,2.2999999999996135,55.8,3,0.34,0.07,4.12,2.64,50,100.0,0.12,429.0,
AUD_JPY,5,2.2999999999996135,71.4,3,0.34,0.07,4.04,3.03,68,98.5,0.16,429.0,
AUD_JPY,4,2.2999999999996135,86.2,3,0.34,0.07,4.04,2.92,66,98.5,0.15,429.0,
AUD_JPY,3,2.2999999999996135,100.0,3,0.34,0.07,4.04,3.09,69,98.6,0.16,429.0,
EUR_USD,6,1.7000000000000348,53.5,3,1.84,0.06,0.81,1.85,34,100.0,0.08,429.0,
EUR_USD,5,1.7000000000000348,69.9,3,1.74,0.06,0.82,2.06,39,100.0,0.09,429.0,
EUR_USD,4,1.7000000000000348,85.1,3,1.75,0.06,0.93,2.56,49,100.0,0.11,429.0,
EUR_USD,3,1.7000000000000348,100.0,3,1.75,0.06,0.83,2.56,49,100.0,0.11,429.0,
EUR_GBP,6,1.9999999999997797,52.9,3,0.23,2.5,0.52,0.31,7,100.0,0.02,429.0,
EUR_GBP,5,1.9999999999997797,69.5,3,0.23,2.26,0.47,0.31,7,100.0,0.02,429.0,
EUR_GBP,4,1.9999999999997797,85.3,3,0.23,2.38,0.47,0.31,7,100.0,0.02,429.0,
EUR_GBP,3,1.9999999999997797,100.0,3,0.23,2.5,0.47,0.31,7,100.0,0.02,429.0,
AUD_USD,6,1.60000000000049,55.1,3,0.84,1.04,1.95,0.85,18,100.0,0.04,429.0,
AUD_USD,5,1.60000000000049,71.1,3,0.83,1.11,0.42,0.83,17,100.0,0.04,429.0,
AUD_USD,4,1.60000000000049,85.6,3,0.93,1.11,0.42,0.86,18,100.0,0.04,429.0,
AUD_USD,3,1.60000000000049,100.0,3,0.93,3.09,0.42,0.86,18,100.0,0.04,429.0,
NZD_JPY,6,3.100000000000591,56.0,2,0.22,0.0,3.37,0.87,22,95.5,0.05,429.0,
NZD_JPY,5,3.100000000000591,71.5,2,0.22,0.0,0.14,0.86,22,95.5,0.05,429.0,
NZD_JPY,4,3.100000000000591,86.1,2,0.22,0.0,0.14,0.86,22,95.5,0.05,429.0,
NZD_JPY,3,3.100000000000591,100.0,2,0.22,0.0,0.14,2.52,57,98.2,0.13,429.0,
CHF_JPY,6,3.700000000000614,55.4,2,0.27,7.62,0.0,1.35,34,97.1,0.08,428.0,
CHF_JPY,5,3.700000000000614,71.5,2,0.27,7.52,0.0,1.44,37,97.3,0.09,428.0,
CHF_JPY,4,3.700000000000614,86.2,2,0.27,7.59,0.0,1.53,39,97.4,0.09,428.0,
CHF_JPY,3,3.700000000000614,100.0,2,0.27,7.59,0.0,2.18,50,98.0,0.12,428.0,
NZD_USD,6,1.9999999999997797,54.4,3,0.9,0.65,1.5,0.22,5,100.0,0.01,428.0,
NZD_USD,5,1.9999999999997797,70.1,3,0.95,0.7,0.72,0.22,5,100.0,0.01,428.0,
NZD_USD,4,1.9999999999997797,85.1,3,0.95,0.76,0.72,0.22,5,100.0,0.01,428.0,
NZD_USD,3,1.9999999999997797,100.0,3,0.95,3.47,0.72,0.22,5,100.0,0.01,428.0,
CAD_JPY,6,2.599999999999625,56.1,3,0.39,5.06,0.53,3.2,70,100.0,0.16,429.0,
CAD_JPY,5,2.599999999999625,71.5,2,0.39,0.0,0.58,1.24,27,100.0,0.06,429.0,
CAD_JPY,4,2.599999999999625,86.1,2,0.39,0.0,0.58,3.36,74,100.0,0.17,429.0,
CAD_JPY,3,2.599999999999625,100.0,2,0.39,0.0,0.58,4.84,108,100.0,0.25,429.0,
