sma_n,lags,tp,ppd,tpd,avg_p,n_is3,n_pos
16,"(1, 2, 3)",20,17.83,0.839,21.25,8,12
16,"(1, 2, 3)",40,18.12,0.441,41.11,7,12
16,"(1, 2, 5)",20,17.87,0.839,21.29,8,12
16,"(1, 2, 5)",40,18.17,0.445,40.81,7,12
16,"(1, 2, 8)",20,18.03,0.884,20.4,10,12
16,"(1, 2, 8)",40,21.42,0.541,39.6,8,12
16,"(1, 2, 10)",20,18.17,0.893,20.34,10,12
16,"(1, 2, 10)",40,21.61,0.546,39.62,8,12
16,"(1, 2, 15)",20,23.97,1.149,20.86,10,12
16,"(1, 2, 15)",40,28.21,0.699,40.33,8,12
16,"(1, 2, 20)",20,23.8,1.145,20.79,10,12
16,"(1, 2, 20)",40,26.03,0.636,40.89,8,12
16,"(1, 3, 5)",20,17.87,0.839,21.29,8,12
16,"(1, 3, 5)",40,18.17,0.445,40.81,7,12
16,"(1, 3, 8)",20,18.03,0.884,20.4,10,12
16,"(1, 3, 8)",40,21.42,0.541,39.6,8,12
16,"(1, 3, 10)",20,18.17,0.893,20.34,10,12
16,"(1, 3, 10)",40,21.61,0.546,39.62,8,12
16,"(1, 3, 15)",20,24.0,1.149,20.88,10,12
16,"(1, 3, 15)",40,28.14,0.697,40.37,8,12
16,"(1, 3, 20)",20,23.83,1.145,20.82,10,12
16,"(1, 3, 20)",40,25.95,0.634,40.92,8,12
16,"(1, 5, 8)",20,18.03,0.884,20.4,10,12
16,"(1, 5, 8)",40,21.42,0.541,39.6,8,12
16,"(1, 5, 10)",20,18.17,0.893,20.34,10,12
16,"(1, 5, 10)",40,21.61,0.546,39.62,8,12
16,"(1, 5, 15)",20,26.67,1.271,20.99,10,12
16,"(1, 5, 15)",40,28.87,0.716,40.34,8,12
16,"(1, 5, 20)",20,25.53,1.226,20.81,10,12
16,"(1, 5, 20)",40,25.93,0.634,40.9,8,12
16,"(1, 8, 10)",20,18.17,0.893,20.34,10,12
16,"(1, 8, 10)",40,21.61,0.546,39.62,8,12
16,"(1, 8, 15)",20,25.85,1.238,20.88,10,12
16,"(1, 8, 15)",40,28.15,0.697,40.39,8,12
16,"(1, 8, 20)",20,25.47,1.224,20.81,10,12
16,"(1, 8, 20)",40,28.2,0.699,40.32,8,12
16,"(1, 10, 15)",20,25.85,1.238,20.88,10,12
16,"(1, 10, 15)",40,28.16,0.697,40.4,8,12
16,"(1, 10, 20)",20,23.78,1.145,20.77,10,12
16,"(1, 10, 20)",40,28.2,0.699,40.32,8,12
16,"(1, 15, 20)",20,23.84,1.147,20.78,10,12
16,"(1, 15, 20)",40,28.36,0.704,40.29,8,12
16,"(2, 3, 5)",20,16.8,0.788,21.32,8,12
16,"(2, 3, 5)",40,18.33,0.448,40.94,7,12
16,"(2, 3, 8)",20,16.04,0.802,20.0,10,12
16,"(2, 3, 8)",40,21.63,0.546,39.64,8,12
16,"(2, 3, 10)",20,16.29,0.816,19.96,10,12
16,"(2, 3, 10)",40,21.89,0.552,39.62,8,12
16,"(2, 3, 15)",20,23.52,1.149,20.46,10,12
16,"(2, 3, 15)",40,29.48,0.732,40.27,8,12
16,"(2, 3, 20)",20,23.4,1.147,20.4,10,12
16,"(2, 3, 20)",40,27.27,0.669,40.76,8,12
16,"(2, 5, 8)",20,16.04,0.802,20.0,10,12
16,"(2, 5, 8)",40,21.63,0.546,39.64,8,12
16,"(2, 5, 10)",20,16.29,0.816,19.96,10,12
16,"(2, 5, 10)",40,21.89,0.552,39.62,8,12
16,"(2, 5, 15)",20,26.27,1.275,20.6,10,12
16,"(2, 5, 15)",40,30.2,0.751,40.24,8,12
16,"(2, 5, 20)",20,25.18,1.233,20.42,10,12
16,"(2, 5, 20)",40,27.26,0.669,40.74,8,12
16,"(2, 8, 10)",20,16.29,0.816,19.96,10,12
16,"(2, 8, 10)",40,21.89,0.552,39.62,8,12
16,"(2, 8, 15)",20,26.27,1.275,20.6,10,12
16,"(2, 8, 15)",40,30.2,0.751,40.24,8,12
16,"(2, 8, 20)",20,26.09,1.273,20.5,10,12
16,"(2, 8, 20)",40,30.47,0.758,40.21,8,12
16,"(2, 10, 15)",20,23.49,1.149,20.44,10,12
16,"(2, 10, 15)",40,29.48,0.732,40.27,8,12
16,"(2, 10, 20)",20,23.3,1.145,20.36,10,12
16,"(2, 10, 20)",40,29.61,0.737,40.19,8,12
16,"(2, 15, 20)",20,23.35,1.147,20.36,10,12
16,"(2, 15, 20)",40,29.68,0.739,40.16,8,12
16,"(3, 5, 8)",20,14.5,0.73,19.86,10,12
16,"(3, 5, 8)",40,20.54,0.515,39.87,8,12
16,"(3, 5, 10)",20,15.08,0.753,20.02,10,12
16,"(3, 5, 10)",40,20.61,0.52,39.65,8,12
16,"(3, 5, 15)",20,24.75,1.198,20.66,10,12
16,"(3, 5, 15)",40,28.29,0.699,40.45,8,12
16,"(3, 5, 20)",20,23.69,1.159,20.45,10,12
16,"(3, 5, 20)",40,26.24,0.641,40.93,8,12
16,"(3, 8, 10)",20,15.08,0.753,20.02,10,12
16,"(3, 8, 10)",40,20.61,0.52,39.65,8,12
16,"(3, 8, 15)",20,24.75,1.198,20.65,10,12
16,"(3, 8, 15)",40,28.29,0.699,40.45,8,12
16,"(3, 8, 20)",20,24.6,1.198,20.53,10,12
16,"(3, 8, 20)",40,29.45,0.73,40.36,8,12
16,"(3, 10, 15)",20,21.96,1.07,20.52,10,12
16,"(3, 10, 15)",40,27.55,0.681,40.47,8,12
16,"(3, 10, 20)",20,21.81,1.068,20.43,10,12
16,"(3, 10, 20)",40,28.59,0.709,40.35,8,12
16,"(3, 15, 20)",20,21.81,1.068,20.43,10,12
16,"(3, 15, 20)",40,27.7,0.685,40.42,8,12
16,"(5, 8, 10)",20,17.56,0.891,19.72,10,12
16,"(5, 8, 10)",40,20.22,0.506,39.96,8,12
16,"(5, 8, 15)",20,23.26,1.128,20.62,10,12
16,"(5, 8, 15)",40,27.92,0.692,40.32,8,12
16,"(5, 8, 20)",20,24.39,1.184,20.59,10,12
16,"(5, 8, 20)",40,27.71,0.683,40.57,8,12
16,"(5, 10, 15)",20,23.26,1.128,20.62,10,12
16,"(5, 10, 15)",40,27.92,0.692,40.32,8,12
16,"(5, 10, 20)",20,24.39,1.184,20.59,10,12
16,"(5, 10, 20)",40,27.71,0.683,40.57,8,12
16,"(5, 15, 20)",20,24.39,1.184,20.59,10,12
16,"(5, 15, 20)",40,26.87,0.667,40.3,8,12
16,"(8, 10, 15)",20,29.79,1.466,20.32,10,12
16,"(8, 10, 15)",40,29.81,0.741,40.21,8,12
16,"(8, 10, 20)",20,28.38,1.382,20.53,10,12
16,"(8, 10, 20)",40,29.4,0.732,40.16,8,12
16,"(8, 15, 20)",20,28.35,1.38,20.54,10,12
16,"(8, 15, 20)",40,29.42,0.732,40.2,8,12
16,"(10, 15, 20)",20,29.71,1.473,20.16,10,12
16,"(10, 15, 20)",40,31.9,0.79,40.37,8,12
22,"(1, 2, 3)",20,17.79,0.839,21.2,8,12
22,"(1, 2, 3)",40,18.11,0.441,41.09,7,12
22,"(1, 2, 5)",20,17.68,0.835,21.18,8,12
22,"(1, 2, 5)",40,18.11,0.443,40.87,7,12
22,"(1, 2, 8)",20,21.2,1.021,20.76,10,12
22,"(1, 2, 8)",40,22.97,0.569,40.37,7,12
22,"(1, 2, 10)",20,21.24,1.024,20.76,10,12
22,"(1, 2, 10)",40,22.97,0.569,40.37,7,12
22,"(1, 2, 15)",20,21.43,1.028,20.84,9,12
22,"(1, 2, 15)",40,24.59,0.601,40.88,6,12
22,"(1, 2, 20)",20,21.32,1.023,20.83,9,12
22,"(1, 2, 20)",40,24.68,0.604,40.87,6,12
22,"(1, 3, 5)",20,17.68,0.835,21.18,8,12
22,"(1, 3, 5)",40,18.11,0.443,40.87,7,12
22,"(1, 3, 8)",20,21.2,1.021,20.76,10,12
22,"(1, 3, 8)",40,22.97,0.569,40.37,7,12
22,"(1, 3, 10)",20,21.29,1.024,20.8,10,12
22,"(1, 3, 10)",40,22.97,0.569,40.37,7,12
22,"(1, 3, 15)",20,21.45,1.028,20.86,10,12
22,"(1, 3, 15)",40,24.59,0.601,40.88,7,12
22,"(1, 3, 20)",20,21.41,1.026,20.87,9,12
22,"(1, 3, 20)",40,24.68,0.604,40.87,6,12
22,"(1, 5, 8)",20,21.2,1.021,20.76,10,12
22,"(1, 5, 8)",40,22.97,0.569,40.37,7,12
22,"(1, 5, 10)",20,21.29,1.024,20.8,10,12
22,"(1, 5, 10)",40,22.97,0.569,40.37,7,12
22,"(1, 5, 15)",20,21.45,1.028,20.86,10,12
22,"(1, 5, 15)",40,24.59,0.601,40.88,7,12
22,"(1, 5, 20)",20,21.37,1.023,20.88,9,12
22,"(1, 5, 20)",40,24.68,0.604,40.87,6,12
22,"(1, 8, 10)",20,21.3,1.024,20.81,10,12
22,"(1, 8, 10)",40,22.97,0.569,40.37,7,12
22,"(1, 8, 15)",20,21.46,1.028,20.87,10,12
22,"(1, 8, 15)",40,24.59,0.601,40.88,7,12
22,"(1, 8, 20)",20,21.37,1.023,20.88,10,12
22,"(1, 8, 20)",40,24.67,0.604,40.86,7,12
22,"(1, 10, 15)",20,21.46,1.028,20.87,10,12
