pair,cheapest_8h,cheapest_8h_med,expensive_8h,expensive_8h_med,ratio_exp_cheap,overall_median,n_liquid_buckets,n_bars,n_dropped,span
AUD_JPY,Mon 06:00-Mon 14:00,1.8,Sun 21:00-Mon 05:00,3.425,1.9,1.9,121,412141,0,2020-11-11..2026-05-21
AUD_USD,Mon 07:00-Mon 15:00,1.3,Sun 21:00-Mon 05:00,1.925,1.48,1.3,121,411410,0,2020-11-11..2026-05-21
CAD_JPY,Mon 12:00-Mon 20:00,1.95,Sun 21:00-Mon 05:00,4.062,2.08,2.1,121,412062,0,2020-11-11..2026-05-21
CHF_JPY,Tue 10:00-Tue 18:00,2.55,Sun 21:00-Mon 05:00,5.538,2.17,2.7,121,410689,0,2020-11-11..2026-05-21
EUR_GBP,Mon 07:00-Mon 15:00,1.4,Sun 21:00-Mon 05:00,2.588,1.85,1.4,121,411807,0,2020-11-11..2026-05-21
EUR_JPY,Tue 11:00-Tue 19:00,1.9,Sun 21:00-Mon 05:00,3.875,2.04,2.0,121,411848,0,2020-11-11..2026-05-21
EUR_USD,Mon 10:00-Mon 18:00,1.5,Sun 21:00-Mon 05:00,2.063,1.38,1.5,121,411782,0,2020-11-11..2026-05-21
GBP_JPY,Wed 09:00-Wed 17:00,2.869,Sun 21:00-Mon 05:00,4.962,1.73,3.0,121,412072,0,2020-11-11..2026-05-21
GBP_USD,Tue 11:00-Tue 19:00,1.787,Sun 21:00-Mon 05:00,3.338,1.87,1.8,121,411618,0,2020-11-11..2026-05-21
NZD_JPY,Mon 09:00-Mon 17:00,2.3,Sun 21:00-Mon 05:00,4.525,1.97,2.4,121,411839,0,2020-11-11..2026-05-21
NZD_USD,Mon 06:00-Mon 14:00,1.5,Sun 21:00-Mon 05:00,2.512,1.67,1.5,121,411351,0,2020-11-11..2026-05-21
USD_JPY,Mon 12:00-Mon 20:00,1.6,Sun 21:00-Mon 05:00,2.638,1.65,1.6,121,411791,0,2020-11-11..2026-05-21
