pair,toll_uniform,toll_cheapest,cheapest_hour,toll_worst,worst_hour,saving_vs_uniform,saving_pct_of_1p6,worst_penalty
AUD_JPY,2.107,1.8,Mon 06:00,12.7,Sun 21:00,0.307,19.2,10.593
AUD_USD,1.407,1.3,Mon 07:00,5.5,Sun 21:00,0.107,6.7,4.093
CAD_JPY,2.391,1.9,Mon 16:00,15.7,Sun 21:00,0.491,30.7,13.309
CHF_JPY,3.301,2.5,Mon 15:00,20.0,Sun 21:00,0.801,50.1,16.699
EUR_GBP,1.631,1.4,Mon 07:00,9.1,Sun 21:00,0.231,14.4,7.469
EUR_JPY,2.3,1.9,Tue 17:00,15.0,Sun 21:00,0.4,25.0,12.7
EUR_USD,1.589,1.5,Mon 10:00,5.2,Sun 21:00,0.089,5.6,3.611
GBP_JPY,3.436,2.8,Wed 15:00,15.0,Sun 21:00,0.636,39.7,11.564
GBP_USD,2.073,1.7,Tue 15:00,11.9,Sun 21:00,0.373,23.3,9.827
NZD_JPY,2.734,2.3,Mon 07:00,17.4,Sun 21:00,0.434,27.1,14.666
NZD_USD,1.665,1.5,Mon 06:00,8.1,Sun 21:00,0.165,10.3,6.435
USD_JPY,1.78,1.6,Mon 13:00,8.5,Sun 21:00,0.18,11.2,6.72
