N,method,n,win_pct,avg_pnl,ppd,avg_mfe,avg_mae
5,mfemae_1.5,31414,57.3,-3.98,-305.3,18.6,22.8
5,mfemae_2.0,31414,55.0,-4.04,-310.4,18.6,22.8
5,mfemae_3.0,31414,50.6,-4.1,-314.5,18.6,22.8
5,mfemae_5.0,31414,45.8,-4.15,-318.5,18.6,22.8
5,psar,31414,35.2,-1.92,-147.6,18.6,22.8
5,sma10,31414,15.8,-4.08,-313.2,18.6,22.8
5,sma20,31414,16.3,-4.25,-326.3,18.6,22.8
5,sma5,31414,15.0,-4.06,-311.4,18.6,22.8
5,trail_10p,31414,44.6,-1.62,-124.0,18.6,22.8
5,trail_20p,31414,50.9,0.39,29.8,18.6,22.8
5,trail_5p,31414,38.9,-1.92,-147.3,18.6,22.8
10,mfemae_1.5,22825,57.4,-3.89,-216.7,18.9,22.9
10,mfemae_2.0,22825,55.1,-3.95,-220.5,18.9,22.9
10,mfemae_3.0,22825,50.5,-4.15,-231.2,18.9,22.9
10,mfemae_5.0,22825,45.8,-4.2,-234.3,18.9,22.9
10,psar,22825,36.1,-1.97,-110.0,18.9,22.9
10,sma10,22825,16.3,-4.04,-225.1,18.9,22.9
10,sma20,22825,17.4,-4.28,-238.6,18.9,22.9
10,sma5,22825,15.0,-4.05,-225.6,18.9,22.9
10,trail_10p,22825,44.7,-1.61,-90.0,18.9,22.9
10,trail_20p,22825,50.9,0.42,23.2,18.9,22.9
10,trail_5p,22825,38.9,-1.92,-106.8,18.9,22.9
20,mfemae_1.5,16108,57.5,-3.92,-154.2,19.3,23.0
20,mfemae_2.0,16108,55.1,-3.99,-157.0,19.3,23.0
20,mfemae_3.0,16108,50.6,-4.19,-164.9,19.3,23.0
20,mfemae_5.0,16108,46.2,-4.15,-163.1,19.3,23.0
20,psar,16108,35.9,-2.11,-83.0,19.3,23.0
20,sma10,16108,16.8,-3.96,-155.8,19.3,23.0
20,sma20,16108,18.4,-4.22,-166.2,19.3,23.0
20,sma5,16108,15.1,-4.02,-158.2,19.3,23.0
20,trail_10p,16108,44.2,-1.72,-67.8,19.3,23.0
20,trail_20p,16108,50.8,0.3,11.9,19.3,23.0
20,trail_5p,16108,38.6,-1.95,-76.8,19.3,23.0
50,mfemae_1.5,9905,57.2,-4.25,-102.7,19.6,23.4
50,mfemae_2.0,9905,55.1,-4.21,-101.9,19.6,23.4
50,mfemae_3.0,9905,51.1,-4.27,-103.5,19.6,23.4
50,mfemae_5.0,9905,46.6,-4.2,-101.7,19.6,23.4
50,psar,9905,36.6,-2.13,-51.5,19.6,23.4
50,sma10,9905,17.5,-4.03,-97.5,19.6,23.4
50,sma20,9905,19.0,-4.34,-105.0,19.6,23.4
50,sma5,9905,15.8,-4.07,-98.5,19.6,23.4
50,trail_10p,9905,43.8,-1.76,-42.5,19.6,23.4
50,trail_20p,9905,51.4,0.29,7.1,19.6,23.4
50,trail_5p,9905,38.2,-1.96,-47.4,19.6,23.4
