w,sig,q,tape_lo,tape_hi,n,nb,n5
5,bear_tape,1,0.0,0.0,30103,0.027,0.032
5,bear_tape,2,0.0,0.6,72999,0.005,0.004
5,bear_tape,3,0.6,1.0,59064,-0.004,-0.019
5,bear_tape,4,1.0,1.0,31046,-0.005,-0.039
5,bull_tape,1,0.0,0.2,43881,0.002,0.0
5,bull_tape,2,0.2,0.6,43184,0.003,-0.03
5,bull_tape,3,0.6,1.0,59707,-0.001,0.015
5,bull_tape,4,1.0,1.0,31508,-0.02,0.006
10,bear_tape,1,0.0,0.2,31570,0.007,0.008
10,bear_tape,2,0.2,0.5,42638,-0.007,0.036
10,bear_tape,3,0.5,0.8,42704,-0.011,-0.048
10,bear_tape,4,0.8,1.0,31949,-0.003,-0.042
10,bull_tape,1,0.0,0.2,30754,0.006,0.047
10,bull_tape,2,0.2,0.5,42493,-0.003,0.012
10,bull_tape,3,0.5,0.8,43439,0.006,-0.036
10,bull_tape,4,0.8,1.0,32399,-0.011,-0.012
