pair,thr,ppd,maxdd,calmar,win_pct,avg_win,avg_loss,n_trades,is_wf,oos_wf,p5,p_pos,passed
GBP_JPY,0.0,26.2,84.7,131.0,74.5,63.3,-22.0,267,3,3,22.1,1.0,True
GBP_JPY,0.7,26.2,84.7,131.0,74.5,63.3,-22.0,267,3,3,22.2,1.0,True
GBP_JPY,0.8,26.2,84.7,130.9,74.4,63.4,-21.5,266,3,3,22.4,1.0,True
GBP_JPY,0.9,25.9,84.7,129.8,75.6,66.3,-22.1,246,3,3,22.1,1.0,True
GBP_JPY,1.0,21.3,77.0,117.2,83.5,72.9,-22.8,158,3,3,18.0,1.0,True
GBP_JPY,1.1,11.2,77.0,61.8,86.4,99.1,-36.7,59,3,3,8.6,1.0,True
GBP_JPY,1.2,5.4,9.2,249.5,94.4,135.5,-9.2,18,3,3,3.9,1.0,True
GBP_JPY,1.3,2.0,26.6,32.7,87.5,127.9,-26.6,8,3,3,1.1,1.0,True
GBP_JPY,1.5,0.0,0.0,,0.0,,0.0,1,3,0,,,False
GBP_JPY,2.0,0.0,0.0,,0.0,,0.0,1,0,0,,,False
USD_JPY,0.0,25.2,70.2,152.2,81.9,51.8,-16.6,271,3,3,22.1,1.0,True
USD_JPY,0.7,25.2,70.2,152.2,81.9,51.8,-16.6,271,3,3,22.1,1.0,True
USD_JPY,0.8,24.9,70.2,150.5,82.0,51.8,-16.4,267,3,3,21.7,1.0,True
USD_JPY,0.9,24.1,58.2,175.2,82.4,54.0,-15.1,244,3,3,20.9,1.0,True
USD_JPY,1.0,18.9,58.2,137.9,85.2,61.1,-16.8,162,3,3,16.1,1.0,True
USD_JPY,1.1,10.0,32.2,132.1,89.7,83.3,-13.5,58,3,3,8.0,1.0,True
USD_JPY,1.2,5.5,14.4,161.5,87.5,111.9,-7.5,24,3,3,3.8,1.0,True
USD_JPY,1.3,2.8,14.4,81.9,87.5,170.5,-14.4,8,3,3,1.7,1.0,True
USD_JPY,1.5,0.1,0.0,,100.0,22.9,,1,2,1,,,False
USD_JPY,2.0,0.0,0.0,,0.0,,0.0,1,1,0,,,False
EUR_JPY,0.0,20.9,75.9,116.9,76.4,48.8,-17.1,267,3,3,18.0,1.0,True
EUR_JPY,0.7,20.9,75.9,116.9,76.4,48.8,-17.1,267,3,3,18.0,1.0,True
EUR_JPY,0.8,21.0,75.9,117.4,77.0,48.8,-17.0,265,3,3,18.2,1.0,True
EUR_JPY,0.9,20.5,75.9,114.3,77.1,51.0,-17.1,245,3,3,17.7,1.0,True
EUR_JPY,1.0,15.5,49.0,134.6,83.0,57.0,-14.4,147,3,3,13.2,1.0,True
EUR_JPY,1.1,7.8,69.1,48.1,83.9,74.5,-20.3,56,3,3,6.0,1.0,True
EUR_JPY,1.2,3.9,75.6,21.9,82.6,93.3,-28.6,23,3,3,2.5,1.0,True
EUR_JPY,1.3,1.4,38.9,15.0,80.0,155.8,-38.9,5,3,2,,,False
EUR_JPY,1.5,0.2,0.0,,100.0,95.7,,1,2,1,,,False
EUR_JPY,2.0,0.0,0.0,,0.0,,0.0,1,0,0,,,False
GBP_USD,0.0,16.6,144.3,48.8,80.0,36.2,-17.0,275,3,3,14.3,1.0,True
GBP_USD,0.7,16.6,144.3,48.8,80.0,36.2,-17.0,275,3,3,14.4,1.0,True
GBP_USD,0.8,16.6,144.3,48.9,79.9,36.4,-16.9,274,3,3,14.5,1.0,True
GBP_USD,0.9,15.8,144.3,46.3,80.9,37.0,-17.3,251,3,3,13.6,1.0,True
GBP_USD,1.0,12.4,52.1,101.2,84.5,42.0,-17.7,161,3,3,10.6,1.0,True
GBP_USD,1.1,7.1,84.3,35.8,86.4,56.7,-23.5,66,3,3,5.6,1.0,True
GBP_USD,1.2,3.7,52.1,30.2,88.5,71.6,-24.8,26,3,3,2.8,1.0,True
GBP_USD,1.3,0.7,52.1,5.6,85.7,57.4,-52.1,7,3,3,0.2,0.978,True
GBP_USD,1.5,0.2,0.0,,100.0,78.7,,1,1,1,,,False
GBP_USD,2.0,0.0,0.0,,0.0,,0.0,1,0,0,,,False
