ppd,nc,is_wf,oos_wf,p5,p_pos,passed,win_pct,avg_pnl,pair,strategy,fast,slow,atr_sl,atr_trail,N
-0.13264899889934478,171,3,2,,,False,45.02923976608187,-0.32890745925919407,GBP_JPY,sma_cross,5,20,1.0,1.0,0
-0.823137857901329,170,3,1,,,False,37.64705882352941,-2.053002657353903,GBP_JPY,sma_cross,5,20,1.0,2.0,0
3.214748994844768,170,3,2,,,False,32.94117647058823,8.01796219890695,GBP_JPY,sma_cross,5,20,1.0,3.0,0
-1.0609331717264339,171,3,1,,,False,45.02923976608187,-2.6306179228772395,GBP_JPY,sma_cross,5,20,2.0,1.0,0
-2.1711368010641747,170,3,1,,,False,40.0,-5.415070609713001,GBP_JPY,sma_cross,5,20,2.0,2.0,0
1.6356092571244494,170,3,2,,,False,36.470588235294116,4.079401911886862,GBP_JPY,sma_cross,5,20,2.0,3.0,0
-0.695900335867417,171,3,2,,,False,45.02923976608187,-1.7255072655426011,GBP_JPY,sma_cross,5,20,3.0,1.0,0
-1.8197506826754333,170,3,1,,,False,40.0,-4.538672290908139,GBP_JPY,sma_cross,5,20,3.0,2.0,0
2.770340253679755,170,3,2,,,False,37.05882352941177,6.909554515060095,GBP_JPY,sma_cross,5,20,3.0,3.0,0
0.9553489264255607,99,3,2,,,False,51.515151515151516,4.091595402065027,GBP_JPY,sma_cross,5,50,1.0,1.0,0
-0.3578279434718816,98,2,1,,,False,37.755102040816325,-1.5481535513477327,GBP_JPY,sma_cross,5,50,1.0,2.0,0
-0.6380942459776486,98,3,1,,,False,28.57142857142857,-2.7607342887196227,GBP_JPY,sma_cross,5,50,1.0,3.0,0
1.2068908416495507,99,3,2,,,False,53.535353535353536,5.168906230903127,GBP_JPY,sma_cross,5,50,2.0,1.0,0
-0.6909357204469184,98,3,1,,,False,41.83673469387755,-2.9893545456070756,GBP_JPY,sma_cross,5,50,2.0,2.0,0
1.0835413933833344,98,3,2,,,False,36.734693877551024,4.687975008107488,GBP_JPY,sma_cross,5,50,2.0,3.0,0
1.610388764376875,99,3,2,,,False,53.535353535353536,6.8970185464221725,GBP_JPY,sma_cross,5,50,3.0,1.0,0
-0.2797686448370388,98,3,1,,,False,41.83673469387755,-1.210427606233719,GBP_JPY,sma_cross,5,50,3.0,2.0,0
0.9337268737482013,98,3,2,,,False,36.734693877551024,4.03979790274732,GBP_JPY,sma_cross,5,50,3.0,3.0,0
-0.10280689941097206,69,1,1,,,False,43.47826086956522,-0.6317409471051036,GBP_JPY,sma_cross,5,100,1.0,1.0,0
-1.068148070109668,68,1,1,,,False,29.411764705882355,-6.660217378330871,GBP_JPY,sma_cross,5,100,1.0,2.0,0
0.44659776465204726,68,3,2,,,False,30.88235294117647,2.7846684148892358,GBP_JPY,sma_cross,5,100,1.0,3.0,0
-0.8755709213351658,69,1,1,,,False,43.47826086956522,-5.380319864436381,GBP_JPY,sma_cross,5,100,2.0,1.0,0
-2.15018092234928,68,1,2,,,False,32.35294117647059,-13.407010457001391,GBP_JPY,sma_cross,5,100,2.0,2.0,0
-1.8191765363135834,68,2,2,,,False,35.294117647058826,-11.343100755837638,GBP_JPY,sma_cross,5,100,2.0,3.0,0
-1.1775466846658094,69,1,1,,,False,43.47826086956522,-7.235939047801495,GBP_JPY,sma_cross,5,100,3.0,1.0,0
-2.4521566856799235,68,1,2,,,False,32.35294117647059,-15.289918157768936,GBP_JPY,sma_cross,5,100,3.0,2.0,0
-2.6666712029694133,68,2,2,,,False,35.294117647058826,-16.62747926557399,GBP_JPY,sma_cross,5,100,3.0,3.0,0
-1.7099224054093392,147,1,1,,,False,40.816326530612244,-4.932021087711291,GBP_JPY,sma_cross,10,20,1.0,1.0,0
-2.2693421653472083,146,2,1,,,False,29.45205479452055,-6.5904183432001116,GBP_JPY,sma_cross,10,20,1.0,2.0,0
0.8482730106085209,146,3,2,,,False,27.397260273972602,2.463477784232965,GBP_JPY,sma_cross,10,20,1.0,3.0,0
-2.635943321354831,147,0,0,,,False,42.17687074829932,-7.602992981322778,GBP_JPY,sma_cross,10,20,2.0,1.0,0
-3.5039641585066144,146,2,0,,,False,33.56164383561644,-10.175895912375374,GBP_JPY,sma_cross,10,20,2.0,2.0,0
-0.7358362762703647,146,3,1,,,False,32.87671232876712,-2.1369491858810594,GBP_JPY,sma_cross,10,20,2.0,3.0,0
-3.1642858321352096,147,0,0,,,False,42.17687074829932,-9.12691967908387,GBP_JPY,sma_cross,10,20,3.0,1.0,0
