pair,tf,metric,H,thr,dir,net_ppd,amddp5_ppd,n,wr
EUR_USD,5m,summary,1,0.1,follow,-462.78279030234256,-476.86603343182,114696,21.193415637860085
EUR_USD,5m,summary,1,0.1,fade,-449.32872465293195,-463.07561614117424,114696,22.236172142010183
EUR_USD,5m,summary,1,0.3,follow,-377.2817484923286,-389.08767361476345,93728,21.44289860020485
EUR_USD,5m,summary,1,0.3,fade,-362.27875177075265,-373.7096019751482,93728,22.737068965517242
EUR_USD,5m,summary,1,0.5,follow,-228.55382523171477,-236.14956732909604,57340,22.268922218346702
EUR_USD,5m,summary,1,0.5,fade,-218.29833488484994,-225.63768972355965,57340,23.829787234042556
EUR_USD,5m,summary,3,0.1,follow,-471.064815639292,-529.8867087060343,114694,30.435768218041048
EUR_USD,5m,summary,3,0.1,fade,-441.0322451127203,-498.2056945804825,114694,32.14466319075105
EUR_USD,5m,summary,3,0.3,follow,-384.54545189622297,-433.8325948111863,93727,30.558963799118715
EUR_USD,5m,summary,3,0.3,fade,-355.0080543975378,-402.5949400574723,93727,32.783509554344
EUR_USD,5m,summary,3,0.5,follow,-234.40707815598768,-266.13354142550645,57340,30.94000697593303
EUR_USD,5m,summary,3,0.5,fade,-212.445081960577,-242.86445396041515,57340,34.0896407394489
EUR_USD,5m,summary,6,0.1,follow,-477.77552920224997,-631.4568846076007,114691,34.88416702269576
EUR_USD,5m,summary,6,0.1,fade,-434.2996171125583,-583.3414064030428,114691,36.95756423782163
EUR_USD,5m,summary,6,0.3,follow,-392.0534779617103,-520.6142557170025,93725,34.83062149906642
EUR_USD,5m,summary,6,0.3,fade,-347.48510786416676,-471.3410541142174,93725,37.559882635369426
EUR_USD,5m,summary,6,0.5,follow,-238.14209090541075,-320.54451289108283,57339,34.92387380317062
EUR_USD,5m,summary,6,0.5,fade,-208.70260897721212,-287.798165702027,57339,38.84790456757181
EUR_USD,5m,osc_rating,1,0.1,follow,-279.26663050957177,-287.93912915368077,69336,21.515518633898697
EUR_USD,5m,osc_rating,1,0.1,fade,-270.6323422511831,-279.08898368883234,69336,22.57268951194185
EUR_USD,5m,osc_rating,1,0.3,follow,-84.40089043590844,-87.26127235196459,20660,22.303969022265246
EUR_USD,5m,osc_rating,1,0.3,fade,-78.2037673533814,-80.90922119237439,20660,24.511132623426914
EUR_USD,5m,osc_rating,1,0.5,follow,-2.753758853766196,-2.8705115149553335,602,22.757475083056477
EUR_USD,5m,osc_rating,1,0.5,fade,-2.0459691585380417,-2.1450270773464757,602,30.89700996677741
EUR_USD,5m,osc_rating,3,0.1,follow,-285.81648277816043,-322.01948273768613,69335,30.56320761520156
EUR_USD,5m,osc_rating,3,0.1,fade,-264.075496013274,-299.0145108673639,69335,32.4396048171919
EUR_USD,5m,osc_rating,3,0.3,follow,-87.55097421783337,-99.39228882502972,20659,31.027639285541408
EUR_USD,5m,osc_rating,3,0.3,fade,-75.04668960213603,-86.05693414821609,20659,34.33854494409216
EUR_USD,5m,osc_rating,3,0.5,follow,-3.4375359209940473,-3.9081368033350876,602,28.57142857142857
EUR_USD,5m,osc_rating,3,0.5,fade,-1.362192091310191,-1.717835431254337,602,41.029900332225914
EUR_USD,5m,osc_rating,6,0.1,follow,-287.5288396001133,-381.7873451248634,69332,35.02711590607512
EUR_USD,5m,osc_rating,6,0.1,fade,-262.34122475411715,-353.52160278463475,69332,37.3766803207754
EUR_USD,5m,osc_rating,6,0.3,follow,-92.40152507386551,-123.03875921803521,20658,35.114725530060994
EUR_USD,5m,osc_rating,6,0.3,fade,-70.1886785121621,-98.56022795159218,20658,39.27292090231387
EUR_USD,5m,osc_rating,6,0.5,follow,-3.680692921034535,-4.869329663658089,602,33.056478405315616
EUR_USD,5m,osc_rating,6,0.5,fade,-1.1190350912697025,-1.9992028170154472,602,44.6843853820598
EUR_USD,5m,ma_rating,1,0.1,follow,-467.08314890516783,-481.2668837171645,115701,21.19601386332011
EUR_USD,5m,ma_rating,1,0.1,fade,-453.44117861334774,-467.28386416804886,115701,22.1968695171174
EUR_USD,5m,ma_rating,1,0.3,follow,-425.81686485611266,-438.9089226534981,105839,21.28704919736581
EUR_USD,5m,ma_rating,1,0.3,fade,-413.1964803496978,-425.97302853442284,105839,22.384943168397285
EUR_USD,5m,ma_rating,1,0.5,follow,-342.48022341846314,-353.32685570890715,85440,21.595271535580522
EUR_USD,5m,ma_rating,1,0.5,fade,-329.7358125227659,-340.26383454081747,85440,22.929541198501873
EUR_USD,5m,ma_rating,3,0.1,follow,-475.3966471040592,-534.6252628000159,115699,30.440193951546686
EUR_USD,5m,ma_rating,3,0.1,fade,-445.1132262111942,-502.68992463674164,115699,32.148938193069945
EUR_USD,5m,ma_rating,3,0.3,follow,-432.9220382887437,-487.6069169061396,105837,30.47894403658456
EUR_USD,5m,ma_rating,3,0.3,fade,-406.07685271380467,-459.27579260938086,105837,32.36864234624942
EUR_USD,5m,ma_rating,3,0.5,follow,-349.1603966487221,-394.4539597684858,85439,30.618335888762743
EUR_USD,5m,ma_rating,3,0.5,fade,-323.0486453231865,-366.8279907718448,85439,33.05399173679467
EUR_USD,5m,ma_rating,6,0.1,follow,-484.53543368276155,-639.5021873962841,115697,34.86693691279809
EUR_USD,5m,ma_rating,6,0.1,fade,-435.9595191646082,-585.96619646254,115697,36.96033605020009
EUR_USD,5m,ma_rating,6,0.3,follow,-439.9162407414898,-582.7448324766257,105835,34.89204894411112
EUR_USD,5m,ma_rating,6,0.3,fade,-399.0677297931748,-537.6823501032085,105835,37.11721075258657
EUR_USD,5m,ma_rating,6,0.5,follow,-356.1317521350217,-474.2109944550121,85437,34.78235424932991
EUR_USD,5m,ma_rating,6,0.5,fade,-316.0623693690033,-429.9232573764507,85437,37.8372367943631
EUR_USD,15m,summary,1,0.1,follow,-155.72055192447363,-163.86060130718968,38214,30.494059768671168
EUR_USD,15m,summary,1,0.1,fade,-149.8211183732751,-157.81368191721123,38214,32.20547443345371
EUR_USD,15m,summary,1,0.3,follow,-125.29359477124216,-132.08398547567208,30880,30.952072538860104
EUR_USD,15m,summary,1,0.3,fade,-119.7664488017431,-126.41866085693553,30880,32.80116580310881
EUR_USD,15m,summary,1,0.5,follow,-74.7449818445901,-79.138625998548,18646,31.963960098680683
EUR_USD,15m,summary,1,0.5,fade,-70.72743645606376,-75.02064197530848,18646,33.8678536951625
EUR_USD,15m,summary,3,0.1,follow,-157.46137981118352,-191.1094843863469,38212,37.11137862451586
EUR_USD,15m,summary,3,0.1,fade,-148.0658823529414,-181.15490486565017,38212,39.4692766670156
EUR_USD,15m,summary,3,0.3,follow,-128.11596223674664,-156.19641539578802,30879,37.30043071342984
EUR_USD,15m,summary,3,0.3,fade,-116.93710965867866,-144.3717530864201,30879,40.15674082709933
EUR_USD,15m,summary,3,0.5,follow,-75.3675526506902,-93.29654611474248,18646,38.09396117129679
EUR_USD,15m,summary,3,0.5,fade,-70.10486564996366,-87.69297893972397,18646,40.77013836747828
EUR_USD,15m,summary,6,0.1,follow,-161.75616557734187,-249.82499927378336,38209,40.063859300164886
EUR_USD,15m,summary,6,0.1,fade,-143.74832244008735,-230.24599564270167,38209,42.74647334397655
EUR_USD,15m,summary,6,0.3,follow,-133.0210021786495,-206.3926332607119,30876,40.07967353284104
EUR_USD,15m,summary,6,0.3,fade,-112.00929557008008,-183.5490602759624,30876,43.370255214406015
