pair,tp,sl,n_rev,atr_mult,accel,is_pd,is_wr,is_n,wave_pct,tp_pct,wf1,wf2,wf3,wf_pass,oos_pd,oos_wr,oos_n,mc_p
EUR_JPY,5,0,1,0.0,False,-14.32,0.07,2020,0.985,0.015,-42.96,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,1,0.0,True,-5.08,0.054,685,0.988,0.012,-15.25,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,1,0.5,False,-7.19,0.07,981,0.984,0.016,-21.56,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,1,0.5,True,-4.0,0.059,543,0.985,0.015,-12.0,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,1,1.0,False,-2.9,0.092,413,0.981,0.019,-8.71,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,1,1.0,True,-2.14,0.088,306,0.977,0.023,-6.41,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,1,2.0,False,-0.44,0.097,72,0.944,0.056,-1.33,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,1,2.0,True,-0.39,0.094,64,0.953,0.047,-1.16,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,2,0.0,False,-14.48,0.093,2014,0.97,0.03,-43.44,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,2,0.0,True,-5.24,0.086,684,0.975,0.025,-15.73,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,2,0.5,False,-7.36,0.099,979,0.967,0.033,-22.09,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,2,0.5,True,-4.15,0.096,542,0.972,0.028,-12.46,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,2,1.0,False,-3.01,0.111,413,0.959,0.041,-9.04,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,2,1.0,True,-2.21,0.114,306,0.961,0.039,-6.62,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,2,2.0,False,-0.47,0.125,72,0.931,0.069,-1.4,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,2,2.0,True,-0.44,0.109,64,0.953,0.047,-1.33,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,3,0.0,False,-14.69,0.117,2001,0.951,0.049,-44.07,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,3,0.0,True,-5.42,0.108,683,0.965,0.035,-16.25,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,3,0.5,False,-7.55,0.121,977,0.95,0.05,-22.64,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,3,0.5,True,-4.34,0.115,541,0.965,0.035,-13.02,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,3,1.0,False,-3.18,0.138,413,0.949,0.051,-9.54,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,3,1.0,True,-2.37,0.137,306,0.954,0.046,-7.1,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,3,2.0,False,-0.44,0.208,72,0.917,0.083,-1.32,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,5,0,3,2.0,True,-0.44,0.188,64,0.953,0.047,-1.32,0.0,0.0,False,0.0,0.0,0,
EUR_JPY,10,0,1,0.0,False,-299.51,0.028,31532,0.999,0.001,-279.58,-307.05,-311.89,False,-302.54,0.016,12522,
EUR_JPY,10,0,1,0.0,True,-103.9,0.027,10897,0.999,0.001,-96.96,-106.91,-107.84,False,-106.69,0.015,4393,
EUR_JPY,10,0,1,0.5,False,-152.76,0.029,15971,0.998,0.002,-137.61,-159.05,-161.61,False,-149.72,0.018,6182,
EUR_JPY,10,0,1,0.5,True,-82.87,0.028,8687,0.998,0.002,-75.22,-85.92,-87.47,False,-84.12,0.016,3460,
EUR_JPY,10,0,1,1.0,False,-70.02,0.033,7307,0.997,0.003,-58.12,-71.87,-80.06,False,-66.42,0.023,2762,
EUR_JPY,10,0,1,1.0,True,-50.85,0.031,5302,0.998,0.002,-42.33,-52.76,-57.46,False,-49.39,0.021,2058,
EUR_JPY,10,0,1,2.0,False,-13.88,0.036,1438,0.995,0.005,-9.76,-14.45,-17.42,False,-12.82,0.037,539,
EUR_JPY,10,0,1,2.0,True,-12.42,0.033,1291,0.997,0.003,-8.39,-12.85,-16.03,False,-11.65,0.035,486,
EUR_JPY,10,0,2,0.0,False,-299.56,0.044,31346,0.997,0.003,-280.63,-306.63,-311.42,False,-304.17,0.026,12459,
EUR_JPY,10,0,2,0.0,True,-104.31,0.045,10882,0.997,0.003,-97.41,-107.2,-108.32,False,-108.03,0.024,4388,
EUR_JPY,10,0,2,0.5,False,-153.33,0.048,15913,0.997,0.003,-138.82,-158.95,-162.22,False,-152.09,0.029,6168,
EUR_JPY,10,0,2,0.5,True,-83.37,0.047,8675,0.997,0.003,-76.26,-86.0,-87.83,False,-85.27,0.026,3456,
EUR_JPY,10,0,2,1.0,False,-70.67,0.051,7297,0.995,0.005,-59.47,-71.87,-80.68,False,-67.69,0.033,2756,
EUR_JPY,10,0,2,1.0,True,-51.36,0.048,5298,0.996,0.004,-43.33,-52.83,-57.94,False,-50.11,0.03,2054,
EUR_JPY,10,0,2,2.0,False,-14.06,0.053,1438,0.992,0.008,-10.12,-14.38,-17.68,False,-13.18,0.046,539,
EUR_JPY,10,0,2,2.0,True,-12.57,0.05,1291,0.994,0.006,-8.88,-12.67,-16.15,False,-11.87,0.045,486,
EUR_JPY,10,0,3,0.0,False,-295.4,0.059,30730,0.995,0.005,-279.59,-302.33,-304.28,False,-298.75,0.04,12218,
EUR_JPY,10,0,3,0.0,True,-104.29,0.06,10819,0.995,0.005,-98.58,-107.41,-106.88,False,-107.76,0.039,4361,
EUR_JPY,10,0,3,0.5,False,-152.01,0.065,15736,0.994,0.006,-139.35,-157.75,-158.94,False,-150.32,0.044,6094,
EUR_JPY,10,0,3,0.5,True,-83.29,0.063,8629,0.994,0.006,-77.19,-86.1,-86.58,False,-85.23,0.041,3441,
EUR_JPY,10,0,3,1.0,False,-70.4,0.07,7267,0.993,0.007,-59.97,-71.89,-79.35,False,-67.56,0.048,2744,
EUR_JPY,10,0,3,1.0,True,-51.37,0.066,5285,0.993,0.007,-44.01,-53.01,-57.1,False,-50.52,0.043,2050,
EUR_JPY,10,0,3,2.0,False,-14.18,0.071,1435,0.987,0.013,-10.64,-14.56,-17.35,False,-13.31,0.067,539,
EUR_JPY,10,0,3,2.0,True,-12.65,0.068,1288,0.988,0.012,-9.31,-12.89,-15.74,False,-11.97,0.068,486,
