ta,td,ppd_orig,min_trail_orig,is_wf,oos_wf,p5_orig,prob_orig,ppd_bev,min_trail_bev,is_wf_b,oos_wf_b,p5_bev,prob_bev
5,1,590.5,-301.5,3,3,126.6,1.0,591.2,-301.5,3,3,125.8,1.0
6,1,195.7,-555.6,3,3,104.6,1.0,196.3,-555.6,3,3,107.4,1.0
6,2,186.8,-555.6,3,3,94.3,1.0,187.6,-555.6,3,3,97.6,1.0
7,1,140.1,-4499.6,2,3,,,140.4,-4499.6,2,3,,
7,2,132.5,-4499.6,2,3,,,133.0,-4499.6,2,3,,
7,3,130.2,-4499.6,2,3,,,130.6,-4499.6,2,3,,
8,1,126.4,-3075.8,2,3,,,126.7,-3075.8,2,3,,
8,2,119.8,-3075.8,2,3,,,120.2,-3075.8,2,3,,
8,3,113.5,-3075.8,2,3,,,114.0,-3075.8,2,3,,
10,1,-35.4,-27900.0,1,2,,,-35.2,-27900.0,1,2,,
10,2,-39.9,-27900.0,1,2,,,-39.7,-27900.0,1,2,,
10,3,-44.0,-27900.0,1,2,,,-43.7,-27900.0,1,2,,
10,5,-61.3,-27900.0,0,2,,,-60.9,-27900.0,0,2,,
14,1,107.4,-4499.6,3,2,,,107.4,-4499.6,3,2,,
14,2,104.2,-4499.6,3,2,,,104.1,-4499.6,3,2,,
14,3,96.7,-4499.6,3,2,,,96.7,-4499.6,3,2,,
14,5,54.7,-4499.6,3,2,,,54.8,-4499.6,3,2,,
14,7,-324.6,-62222.1,2,2,,,-324.4,-62222.1,2,2,,
20,1,174.6,-462.1,3,3,116.8,1.0,174.6,-462.1,3,3,113.7,1.0
20,2,172.4,-462.1,3,3,113.7,1.0,172.4,-462.1,3,3,113.8,1.0
20,3,170.4,-462.1,3,3,113.8,1.0,170.4,-462.1,3,3,111.5,1.0
20,5,118.1,-4499.6,3,3,35.8,0.991,118.1,-4499.6,3,3,38.0,0.989
20,7,91.5,-4499.6,3,3,19.5,0.981,91.6,-4499.6,3,3,21.5,0.98
30,1,-153.7,-28584.2,1,2,,,-153.7,-28584.2,1,2,,
30,2,-154.2,-28584.2,1,2,,,-154.2,-28584.2,1,2,,
30,3,-154.6,-28584.2,1,2,,,-154.6,-28584.2,1,2,,
30,5,-155.3,-28584.2,1,2,,,-155.3,-28584.2,1,2,,
30,7,-156.1,-28584.2,1,2,,,-156.1,-28584.2,1,2,,
