ta,td,ppd_old,minT_old,is_wf_old,oos_wf_old,p5_old,prob_old,ppd_fixed,minT_fixed,is_wf_fixed,oos_wf_fixed,p5_fixed,prob_fixed
5,1,591.2,-301.5,3,3,127.3,1.0,15.7,0.0,3,3,5.7,1.0
6,1,196.3,-555.6,3,3,105.5,1.0,543.4,-10.0,3,3,211.2,1.0
6,2,187.6,-555.6,3,3,93.8,1.0,534.8,-10.0,3,3,205.6,1.0
7,1,140.4,-4499.6,2,3,,,12.6,0.0,3,3,4.0,1.0
7,2,133.0,-4499.6,2,3,,,12.2,0.0,3,3,3.7,1.0
7,3,130.6,-4499.6,2,3,,,11.8,0.0,3,3,3.4,1.0
8,1,126.7,-3075.8,2,3,,,340.1,-10.0,3,3,221.6,1.0
8,2,120.2,-3075.8,2,3,,,333.5,-10.0,3,3,220.7,1.0
8,3,114.0,-3075.8,2,3,,,327.8,-10.0,3,3,211.2,1.0
10,1,-35.2,-27900.0,1,2,,,15.2,0.0,3,3,5.6,1.0
10,2,-39.7,-27900.0,1,2,,,14.9,0.0,3,3,5.2,1.0
10,3,-43.7,-27900.0,1,2,,,14.6,0.0,3,3,4.5,1.0
10,5,-60.9,-27900.0,0,2,,,11.8,0.0,3,3,3.6,1.0
14,1,107.4,-4499.6,3,2,,,8.8,10.0,3,3,4.9,1.0
14,2,104.1,-4499.6,3,2,,,8.5,9.0,3,3,4.6,1.0
14,3,96.7,-4499.6,3,2,,,8.3,8.2,3,3,4.3,1.0
14,5,54.8,-4499.6,3,2,,,216.1,0.0,3,3,161.7,1.0
14,7,-324.4,-62222.1,2,2,,,10.2,0.0,3,3,4.5,1.0
20,1,174.6,-462.1,3,3,116.4,1.0,6.5,16.3,3,3,5.0,1.0
20,2,172.4,-462.1,3,3,114.5,1.0,6.4,15.3,3,3,4.8,1.0
20,3,170.4,-462.1,3,3,111.3,1.0,6.0,14.3,3,3,4.3,1.0
20,5,118.1,-4499.6,3,3,36.5,0.994,456.4,0.9,3,3,273.0,1.0
20,7,91.6,-4499.6,3,3,15.4,0.972,336.5,-10.0,2,3,,
30,1,-153.7,-28584.2,1,2,,,5.5,21.8,2,2,,
30,2,-154.2,-28584.2,1,2,,,5.5,21.8,2,2,,
30,3,-154.6,-28584.2,1,2,,,5.5,21.8,2,2,,
30,5,-155.3,-28584.2,1,2,,,5.5,21.8,2,2,,
30,7,-156.1,-28584.2,1,2,,,5.5,21.8,3,2,,
