zw,tgt,ml,total_vol,ppd,minT,is_wf,oos_wf,p5,prob,ml_pct,l5_pct
20,30,3,10,-123.1,-514.0,0,0,,,10.55,0.0
20,30,4,23,-26.4,-984.0,0,0,,,8.87,0.0
20,30,5,53,-213.6,-2810.2,0,0,,,4.64,6.38
20,30,6,121,-33.8,-1994.7,0,0,,,6.0,11.0
20,30,8,615,-71.5,-14288.9,1,1,,,2.33,13.95
20,40,3,9,-93.9,-443.4,0,0,,,11.37,0.0
20,40,4,18,-14.7,-410.0,0,0,,,9.17,0.0
20,40,5,36,-268.9,-5455.1,0,0,,,6.91,8.92
20,40,6,71,-42.6,-2967.3,0,0,,,6.9,11.49
20,40,8,271,-54.2,-5833.8,0,1,,,3.19,10.64
20,50,3,6,-59.8,-278.4,0,0,,,14.12,0.0
20,50,4,12,-71.6,-1134.0,0,0,,,10.67,0.0
20,50,5,23,-7.2,-380.9,0,0,,,10.26,12.82
20,50,6,42,-12.5,-632.4,0,0,,,7.06,7.06
20,50,8,133,-27.8,-2254.9,0,0,,,7.55,13.21
25,35,3,10,-54.5,-519.2,0,0,,,7.29,0.0
25,35,4,23,-107.9,-1055.5,0,0,,,5.5,0.0
25,35,5,53,-161.6,-3775.0,0,0,,,3.88,5.45
25,35,6,122,-19.7,-1923.9,0,1,,,4.82,9.64
25,35,8,635,-8.0,-4428.4,0,0,,,1.11,5.56
25,50,3,9,-71.3,-507.0,0,0,,,10.1,0.0
25,50,4,18,-109.0,-1924.8,0,0,,,8.05,0.0
25,50,5,35,-152.3,-3502.2,0,0,,,6.9,8.49
25,50,6,67,-196.8,-7573.6,0,0,,,4.88,8.31
25,50,8,244,-58.0,-9601.8,0,1,,,1.85,7.4
25,60,3,6,-28.7,-375.6,0,0,,,10.87,0.0
25,60,4,12,-37.4,-1119.0,0,0,,,7.66,0.0
25,60,5,23,-6.5,-420.9,0,0,,,6.67,8.0
25,60,6,42,-0.4,-543.5,0,0,,,4.23,7.04
25,60,8,133,-165.0,-18778.3,0,1,,,2.73,7.79
30,45,3,10,-56.6,-655.4,0,0,,,8.13,0.0
30,45,4,23,-123.8,-2899.9,0,0,,,6.17,0.0
30,45,5,51,-139.9,-1997.6,0,0,,,4.45,6.32
30,45,6,111,-11.3,-1166.0,0,0,,,4.0,4.0
30,45,8,517,-221.4,-12212.6,0,0,,,1.37,5.69
30,60,3,6,-37.5,-301.5,0,0,,,8.54,0.0
30,60,4,12,-49.7,-1353.1,0,0,,,6.11,0.0
30,60,5,23,-139.1,-2908.6,0,0,,,6.14,6.83
30,60,6,43,-7.0,-1466.9,0,0,,,2.67,2.67
30,60,8,152,-177.5,-26572.6,0,1,,,2.01,6.03
30,75,3,6,-22.2,-297.8,0,0,,,10.71,0.0
30,75,4,11,-40.1,-601.3,0,0,,,9.52,0.0
30,75,5,19,-1.1,-374.5,0,0,,,4.48,4.48
30,75,6,33,-32.2,-1177.5,0,0,,,3.78,6.3
30,75,8,98,1.8,-599.6,0,1,,,2.5,7.5
40,60,3,10,-3.4,-322.2,0,1,,,5.26,0.0
40,60,4,22,-57.5,-1134.4,0,0,,,3.8,0.0
40,60,5,47,-132.1,-6075.0,0,0,,,3.33,4.16
40,60,6,100,-145.8,-3876.8,0,0,,,2.8,4.27
40,60,8,443,-21.0,-4023.0,0,1,,,2.63,5.26
40,80,3,6,-2.8,-173.8,1,0,,,10.53,0.0
40,80,4,12,-17.6,-565.8,0,1,,,5.01,0.0
40,80,5,23,-22.4,-1320.0,0,0,,,3.99,5.18
40,80,6,43,-0.1,-758.8,0,1,,,1.56,3.12
40,80,8,148,-2.4,-932.6,0,1,,,2.0,4.0
40,100,3,6,-0.5,-173.8,1,1,,,5.26,0.0
40,100,4,11,-4.5,-330.6,0,0,,,8.82,0.0
40,100,5,19,3.2,0.0,0,1,,,0.0,2.94
40,100,6,33,3.2,0.0,0,2,,,0.0,2.94
40,100,8,97,3.2,0.0,0,2,,,0.0,2.94
50,75,3,10,-6.8,-500.8,2,1,,,3.48,0.0
50,75,4,22,-0.5,-500.0,0,0,,,1.92,0.0
50,75,5,47,-10.9,-1790.7,0,1,,,1.88,3.03
50,75,6,99,-53.8,-4885.0,0,1,,,1.54,3.38
50,75,8,427,-75.5,-8605.2,1,1,,,1.25,3.92
50,100,3,6,0.6,-212.8,0,1,,,2.38,0.0
50,100,4,12,-1.2,-410.8,0,2,,,3.33,0.0
50,100,5,23,3.2,-838.3,0,3,,,2.37,2.37
50,100,6,43,-5.6,-1388.3,0,1,,,1.4,1.6
50,100,8,144,8.5,2.0,1,2,,,0.0,3.12
50,125,3,6,1.0,-229.4,1,2,,,2.22,0.0
50,125,4,11,0.1,-378.6,0,2,,,2.0,0.0
50,125,5,19,-1.8,-640.5,0,1,,,2.17,2.17
50,125,6,32,12.7,-1111.8,0,3,,,1.81,3.93
50,125,8,91,-32.0,-4517.5,1,2,,,1.24,2.48
50,25,3,27,-52.6,-1508.4,1,0,,,2.03,0.0
50,25,4,115,-104.7,-5624.8,0,1,,,0.89,0.0
50,25,5,484,-146.9,-23043.9,0,1,,,0.5,0.99
50,25,6,2033,543.4,-10.0,2,3,,,0.0,0.9
50,25,8,35819,543.4,-10.0,2,3,,,0.0,0.9
