pair,zw,zw_atr,tgt,tgt_zw,spread_atr,src,ppd,is_wf,oos_wf,p5,prob,l1,l2,l3,l4,l5,tr_pct,esc_pct,ml_pct
GBP_USD,5.0,1.27,5.0,0.3,0.483,ATR,-7.492225574113539e+18,0,0,,,50.9,16.7,8.6,11.5,12.29,32.1,66.5,1.3
GBP_USD,5.0,1.27,5.0,0.5,0.483,ATR,-7.492225574113539e+18,0,0,,,50.9,16.7,8.6,11.5,12.29,32.1,66.5,1.3
GBP_USD,5.0,1.27,5.0,0.75,0.483,ATR,-7.492225574113539e+18,0,0,,,50.9,16.7,8.6,11.5,12.29,32.1,66.5,1.3
GBP_USD,5.0,1.27,5.0,1.0,0.483,ATR,-7.492225574113539e+18,0,0,,,50.9,16.7,8.6,11.5,12.29,32.1,66.5,1.3
GBP_USD,5.0,1.27,10.0,1.5,0.483,ATR,-4.473556481281861e+18,0,0,,,46.5,10.1,6.9,12.2,24.33,46.5,48.0,5.4
GBP_USD,5.0,1.27,10.0,2.0,0.483,ATR,-4.473556481281861e+18,0,0,,,46.5,10.1,6.9,12.2,24.33,46.5,48.0,5.4
GBP_USD,10.0,2.54,5.0,0.3,0.483,ATR,-3.571675252968688e+18,0,0,,,66.0,19.6,6.5,4.2,3.69,42.9,56.6,0.5
GBP_USD,10.0,2.54,5.0,0.5,0.483,ATR,-3.571675252968688e+18,0,0,,,66.0,19.6,6.5,4.2,3.69,42.9,56.6,0.5
GBP_USD,10.0,2.54,10.0,0.75,0.483,ATR,-5.45044990117462e+18,1,0,,,63.3,15.6,8.3,5.0,7.77,63.3,35.7,1.0
GBP_USD,10.0,2.54,10.0,1.0,0.483,ATR,-5.45044990117462e+18,1,0,,,63.3,15.6,8.3,5.0,7.77,63.3,35.7,1.0
GBP_USD,10.0,2.54,15.0,1.5,0.483,ATR,7.211323159727272e+17,1,2,,,63.5,12.1,6.6,5.8,11.96,63.5,35.1,1.5
GBP_USD,10.0,2.54,20.0,2.0,0.483,ATR,-2454740441157.8,2,0,,,62.7,9.1,6.6,4.8,16.78,62.7,34.3,3.1
GBP_USD,15.0,3.82,5.0,0.3,0.483,pip,-5.18766621337879e+18,0,0,,,74.2,17.5,4.7,1.9,1.71,47.3,52.2,0.4
GBP_USD,15.0,3.82,10.0,0.5,0.483,pip,-2.289719933847102e+18,1,1,,,69.7,16.0,7.0,3.5,3.76,69.7,29.9,0.4
