zw,tgt,ratio,ppd,minT,is_wf,oos_wf,p5,prob,l1pct,l4pct,l5pct,total_vol_leg10
10.0,10.0,4.0,-1.0893346283579082e+18,-1.7549326288731007e+20,0,1,,,62.6,90.0,9.98,138798
10.0,15.0,3.0,31156680791431.7,-753700945095348.6,1,2,,,62.8,86.3,13.7,8952
10.0,20.0,3.0,-87144.6,-12994087.5,0,0,,,64.7,85.3,14.67,2457
10.0,25.0,3.0,-6701.7,-922953.0,0,0,,,68.2,83.1,16.88,992
10.0,30.0,2.0,-1277.4,-139888.5,0,0,,,65.5,79.0,21.01,418
15.0,10.0,5.0,7.164328112093937e+18,-2.0853608480135473e+20,0,1,,,71.2,95.0,4.98,836977
15.0,15.0,4.0,-32614122335619.6,-2991005154530527.0,1,0,,,71.5,93.7,6.31,48448
15.0,20.0,3.0,-19173.7,-776185.2,0,0,,,72.2,92.3,7.73,7917
15.0,30.0,3.0,-1469.7,-123736.6,0,0,,,77.9,89.4,10.62,1551
15.0,40.0,2.0,-69.2,-8786.4,0,0,,,71.7,80.0,20.0,414
15.0,45.0,2.0,-84.7,-5066.5,0,0,,,79.5,84.9,15.07,276
20.0,10.0,6.0,-7.28304539248712e+18,-2.1923061068389902e+20,0,0,,,76.1,96.9,3.08,3918471
20.0,15.0,4.0,351448209693.7,-2737500000405.73,3,3,145628646742.3,1.0,78.1,96.1,3.93,154218
20.0,20.0,3.0,-8699.6,-2966905.9,2,2,,,78.4,96.1,3.89,21948
20.0,25.0,3.0,184.1,0.0,1,2,,,75.2,93.1,6.93,7350
20.0,30.0,3.0,-15.6,-11990.0,0,0,,,82.7,89.8,10.2,3116
20.0,40.0,3.0,-6.4,-8209.8,0,0,,,84.0,91.5,8.51,1020
20.0,50.0,2.0,23.1,0.0,0,1,,,86.6,95.1,4.88,413
20.0,60.0,2.0,-134.7,-5364.2,0,0,,,76.4,87.7,12.3,235
25.0,10.0,7.0,-3.66021461248334e+18,-2.3862393853595822e+20,0,0,,,80.5,97.9,2.07,14292031
25.0,15.0,5.0,4401089495796.2,-15125000000054.53,3,2,,,80.9,98.4,1.58,516200
25.0,20.0,4.0,857.9,0.0,2,3,,,76.1,98.3,1.71,73133
25.0,25.0,3.0,66.1,0.0,1,2,,,81.7,94.5,5.5,16830
25.0,30.0,3.0,1010.1,-47569.6,1,3,,,83.1,96.2,3.81,6699
25.0,40.0,3.0,-8.8,-49969.1,1,2,,,82.9,95.4,4.64,2009
25.0,50.0,3.0,20.2,0.0,1,1,,,88.5,96.2,3.85,880
25.0,60.0,2.0,12.8,0.0,1,1,,,88.8,97.5,2.5,410
25.0,75.0,2.0,-15.1,-3182.0,0,0,,,88.2,91.2,8.82,227
30.0,10.0,7.0,-1.81421420535848e+18,-2.992945322795827e+20,1,1,,,82.5,98.1,1.93,38193302
30.0,15.0,5.0,4788305878210.6,-12712500006040.64,2,3,,,82.4,98.4,1.63,1283426
30.0,20.0,4.0,76.9,0.0,2,3,,,84.1,97.3,2.65,159676
30.0,30.0,3.0,191.2,-241957.6,0,2,,,84.3,97.1,2.93,14094
30.0,40.0,3.0,-85.0,-73570.3,0,1,,,85.0,96.3,3.72,3637
30.0,45.0,3.0,35.9,0.0,1,2,,,87.5,97.2,2.78,2386
30.0,60.0,2.0,42.3,2.0,1,3,,,82.4,88.2,11.76,531
30.0,75.0,2.0,-9.8,-2364.0,0,0,,,91.3,93.5,6.52,287
30.0,90.0,2.0,-5.4,-1405.8,0,1,,,93.1,96.6,3.45,210
40.0,15.0,6.0,972169752816.0,-13297867461384.69,2,2,,,88.7,99.4,0.64,6910195
40.0,20.0,5.0,1286.6,-20.0,3,3,415.7,1.0,88.5,98.9,1.09,792091
40.0,25.0,4.0,392.2,-10.0,1,3,,,87.6,98.4,1.56,163374
40.0,30.0,4.0,1032.9,-25.0,1,3,,,88.8,98.5,1.53,57704
40.0,40.0,3.0,-1068.9,-194940.9,0,1,,,89.7,98.0,1.97,10368
40.0,50.0,3.0,-201.9,-81210.4,2,2,,,88.9,96.8,3.21,4178
40.0,60.0,3.0,27.5,0.0,1,2,,,88.9,94.4,5.56,1952
40.0,80.0,2.0,10.1,0.0,0,1,,,94.6,96.4,3.57,499
40.0,100.0,2.0,3.2,0.0,0,1,,,91.2,97.1,2.94,276
40.0,120.0,2.0,3.8,2.0,0,2,,,95.2,100.0,0.0,190
50.0,20.0,6.0,778.9,-20.0,3,3,287.4,1.0,90.4,99.4,0.6,3143834
50.0,25.0,5.0,543.4,-10.0,3,3,207.4,1.0,90.8,99.1,0.9,630963
50.0,30.0,4.0,241.3,0.0,2,3,,,90.4,98.9,1.14,165021
50.0,40.0,4.0,636.0,-86752.4,3,2,,,90.0,98.3,1.7,33792
50.0,50.0,3.0,-1624.9,-261105.3,3,1,,,89.1,97.8,2.2,8868
50.0,60.0,3.0,-947.7,-106596.9,0,1,,,89.6,97.2,2.83,4410
50.0,75.0,3.0,-512.9,-75117.0,0,1,,,89.0,96.6,3.35,1829
50.0,100.0,2.0,8.5,2.0,2,2,,,93.8,96.9,3.12,476
50.0,125.0,2.0,-16.2,-3640.6,1,1,,,91.4,98.0,1.97,253
50.0,150.0,2.0,-9.2,-4645.3,0,2,,,89.9,96.9,3.11,184
