af0,af_step,af_max,ppd,is_wf,oos_wf,p5,prob,tr1_pct,psar_pct,ml_pct,nc
0.01,0.01,0.1,645.9,3,3,312.2,1.0,90.8,9.2,0.0,1451
0.01,0.01,0.2,645.9,3,3,316.8,1.0,90.8,9.2,0.0,1451
0.01,0.01,0.4,645.9,3,3,312.2,1.0,90.8,9.2,0.0,1451
0.01,0.02,0.1,639.6,3,3,321.8,1.0,90.8,9.2,0.0,1451
0.01,0.02,0.2,639.6,3,3,305.5,1.0,90.8,9.2,0.0,1451
0.01,0.02,0.4,639.6,3,3,313.6,1.0,90.8,9.2,0.0,1451
0.01,0.04,0.1,626.9,3,3,292.3,1.0,90.8,9.2,0.0,1451
0.01,0.04,0.2,626.9,3,3,299.3,1.0,90.8,9.2,0.0,1451
0.01,0.04,0.4,626.9,3,3,298.3,1.0,90.8,9.2,0.0,1451
0.02,0.01,0.1,632.8,3,3,315.7,1.0,90.8,9.2,0.0,1451
0.02,0.01,0.2,632.8,3,3,309.3,1.0,90.8,9.2,0.0,1451
0.02,0.01,0.4,632.8,3,3,306.8,1.0,90.8,9.2,0.0,1451
0.02,0.02,0.1,626.5,3,3,295.3,1.0,90.8,9.2,0.0,1451
0.02,0.02,0.2,626.5,3,3,299.0,1.0,90.8,9.2,0.0,1451
0.02,0.02,0.4,626.5,3,3,297.7,1.0,90.8,9.2,0.0,1451
0.02,0.04,0.1,613.8,3,3,293.2,1.0,90.8,9.2,0.0,1451
0.02,0.04,0.2,613.8,3,3,290.4,1.0,90.8,9.2,0.0,1451
0.02,0.04,0.4,613.8,3,3,286.5,1.0,90.8,9.2,0.0,1451
0.04,0.01,0.1,606.7,3,3,291.1,1.0,90.8,9.2,0.0,1451
0.04,0.01,0.2,606.7,3,3,296.3,1.0,90.8,9.2,0.0,1451
0.04,0.01,0.4,606.7,3,3,284.9,1.0,90.8,9.2,0.0,1451
0.04,0.02,0.1,600.3,3,3,295.5,1.0,90.8,9.2,0.0,1451
0.04,0.02,0.2,600.3,3,3,283.3,1.0,90.8,9.2,0.0,1451
0.04,0.02,0.4,600.3,3,3,285.5,1.0,90.8,9.2,0.0,1451
0.04,0.04,0.1,587.7,3,3,281.0,1.0,90.8,9.2,0.0,1451
0.04,0.04,0.2,587.7,3,3,273.2,1.0,90.8,9.2,0.0,1451
0.04,0.04,0.4,587.7,3,3,276.8,1.0,90.8,9.2,0.0,1451
0.08,0.01,0.1,554.4,3,3,268.9,1.0,90.8,9.2,0.0,1451
0.08,0.01,0.2,554.4,3,3,272.1,1.0,90.8,9.2,0.0,1451
0.08,0.01,0.4,554.4,3,3,276.9,1.0,90.8,9.2,0.0,1451
0.08,0.02,0.1,549.4,3,3,261.4,1.0,90.8,9.2,0.0,1451
0.08,0.02,0.2,549.4,3,3,262.7,1.0,90.8,9.2,0.0,1451
0.08,0.02,0.4,549.4,3,3,270.9,1.0,90.8,9.2,0.0,1451
0.08,0.04,0.1,549.4,3,3,272.7,1.0,90.8,9.2,0.0,1451
0.08,0.04,0.2,554.6,3,3,268.2,1.0,90.8,9.2,0.0,1467
0.08,0.04,0.4,554.6,3,3,266.0,1.0,90.8,9.2,0.0,1467
