signal,mode,ppd,is_wf,oos_wf,p5,prob,ent_pct,tr1_pct,esc_pct,ml_pct,nc
h4_dir,filter,392.5,3,3,235.7,1.0,2.893,89.4,10.6,0.0,1248
h4_dir,only,11.5,3,3,5.5,1.0,0.197,92.9,7.1,0.0,85
h4_sma5,filter,379.3,3,3,224.5,1.0,2.964,90.0,10.0,0.0,1279
h4_sma5,only,362.5,3,3,227.4,1.0,3.046,89.5,10.5,0.0,1314
h4_sma10,filter,356.8,3,3,211.1,1.0,2.997,90.1,9.9,0.0,1293
h4_sma10,only,302.6,3,3,183.0,1.0,3.08,89.8,10.2,0.0,1329
h4_sma20,filter,673.0,3,3,240.9,1.0,3.076,90.7,9.3,0.0,1327
h4_sma20,only,7.5,3,3,3.4,1.0,0.183,91.1,8.9,0.0,79
h1_sma5,filter,379.6,3,3,228.0,1.0,3.011,90.5,9.5,0.0,1299
h1_sma5,only,373.9,3,3,230.3,1.0,3.046,90.3,9.7,0.0,1314
h1_sma10,filter,376.8,3,3,216.3,1.0,2.955,90.3,9.7,0.0,1275
h1_sma10,only,575.8,3,3,247.8,1.0,3.062,90.2,9.8,0.0,1321
h1_sma20,filter,363.9,3,3,209.3,1.0,3.013,90.5,9.5,0.0,1300
h1_sma20,only,357.6,3,3,211.8,1.0,3.076,90.1,9.9,0.0,1327
m5_sma20,filter,393.6,3,3,238.8,1.0,2.844,89.5,10.5,0.0,1227
m5_sma20,only,363.4,3,3,220.7,1.0,3.066,90.1,9.9,0.0,1323
m5_sma50,filter,388.3,3,3,232.1,1.0,2.985,90.5,9.5,0.0,1288
m5_sma50,only,366.1,3,3,220.4,1.0,2.974,89.7,10.3,0.0,1283
m5_sma100,filter,401.0,3,3,239.4,1.0,2.858,89.9,10.1,0.0,1233
m5_sma100,only,365.2,3,3,223.3,1.0,2.974,89.7,10.3,0.0,1283
random,random,543.4,3,3,212.1,1.0,3.363,90.8,9.2,0.0,1451
