  Computing S/R history...
  S/R + regime masks done.

========================================================================
PAIR: EUR_USD  swing_w=5 cluster=10p touches=2  OOS=409d
  wick stop_f  range   tgt |      p/d       P5     nc   hit%  stop%   IS  OOS  perm_p | status
------------------------------------------------------------------------
  0.00    0.5      0    15 |      6.3      3.2   5979  32.1%  67.9%    3/3    3/3   0.005 | 🟢 PASS
  0.00    0.5      0    20 |      6.6      3.6   4613  26.8%  73.2%    3/3    3/3   0.000 | 🟢 PASS
  0.00    0.5      0    25 |      9.8      6.8   3745  24.5%  75.5%    3/3    3/3   0.000 | 🟢 PASS
  0.00    0.5      0    30 |      9.4      6.2   3156  21.7%  78.3%    3/3    3/3   0.000 | 🟢 PASS
  0.00    0.5     50    15 |      4.9      2.3   5914  31.5%  68.5%    3/3    2/3   0.000 | 3/2 p=0.00
  0.00    0.5     50    20 |      4.7      1.4   4636  26.0%  74.0%    3/3    2/3   0.005 | 3/2 p=0.01
  0.00    0.5     50    25 |      7.7      4.6   3787  23.5%  76.5%    3/3    3/3   0.000 | 🟢 PASS
  0.00    0.5     50    30 |      8.3      4.8   3197  21.1%  78.9%    3/3    3/3   0.000 | 🟢 PASS
  0.00    0.5    100    15 |      5.3      2.5   5932  31.6%  68.4%    3/3    2/3   0.000 | 3/2 p=0.00
  0.00    0.5    100    20 |      5.8      2.5   4639  26.4%  73.6%    3/3    2/3   0.000 | 3/2 p=0.00
  0.00    0.5    100    25 |      8.4      5.0   3787  23.7%  76.3%    3/3    3/3   0.000 | 🟢 PASS
  0.00    0.5    100    30 |      9.0      5.7   3170  21.4%  78.6%    3/3    3/3   0.000 | 🟢 PASS
  0.00    1.0      0    15 |      6.2      3.4   4730  40.0%  60.0%    3/3    2/3   0.000 | 3/2 p=0.00
  0.00    1.0      0    20 |      5.3      2.1   3577  33.6%  66.4%    3/3    2/3   0.005 | 3/2 p=0.01
  0.00    1.0      0    25 |      8.4      5.0   2880  30.8%  69.2%    3/3    3/3   0.000 | 🟢 PASS
  0.00    1.0      0    30 |      7.5      4.4   2421  27.2%  72.8%    3/3    2/3   0.000 | 3/2 p=0.00
  0.00    1.0     50    15 |      5.1      2.0   4677  39.4%  60.6%    2/3    2/3   0.000 | 2/2 p=0.00
  0.00    1.0     50    20 |      4.3      1.3   3545  33.2%  66.8%    3/3    2/3   0.015 | 3/2 p=0.01
  0.00    1.0     50    25 |      7.5      4.4   2878  30.4%  69.6%    3/3    3/3   0.000 | 🟢 PASS
  0.00    1.0     50    30 |      6.9      3.5   2425  26.8%  73.2%    3/3    2/3   0.000 | 3/2 p=0.00
  0.00    1.0    100    15 |      5.9      2.8   4687  39.7%  60.3%    2/3    2/3   0.000 | 2/2 p=0.00
