pair,pip,swing_w,cluster_tol,min_touches,wick_thresh,stop_atr_frac,range_bars,tgt_pips,ppd,p5,p_pos,nc,hit_pct,stop_pct,perm_p,is_wf,oos_wf,gate_pass
EUR_USD,0.0001,5,10,2,0.0,0.5,0,15,6.3,3.2,1.0,5979,32.1,67.9,0.005,3,3,True
EUR_USD,0.0001,5,10,2,0.0,0.5,0,20,6.6,3.6,1.0,4613,26.8,73.2,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,0.5,0,25,9.8,6.8,1.0,3745,24.5,75.5,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,0.5,0,30,9.4,6.2,1.0,3156,21.7,78.3,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,0.5,50,15,4.9,2.3,0.996,5914,31.5,68.5,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,0.5,50,20,4.7,1.4,0.988,4636,26.0,74.0,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.0,0.5,50,25,7.7,4.6,1.0,3787,23.5,76.5,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,0.5,50,30,8.3,4.8,1.0,3197,21.1,78.9,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,0.5,100,15,5.3,2.5,0.998,5932,31.6,68.4,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,0.5,100,20,5.8,2.5,1.0,4639,26.4,73.6,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,0.5,100,25,8.4,5.0,1.0,3787,23.7,76.3,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,0.5,100,30,9.0,5.7,1.0,3170,21.4,78.6,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,1.0,0,15,6.2,3.4,1.0,4730,40.0,60.0,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.0,0,20,5.3,2.1,1.0,3577,33.6,66.4,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.0,0,25,8.4,5.0,1.0,2880,30.8,69.2,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,1.0,0,30,7.5,4.4,0.998,2421,27.2,72.8,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.0,50,15,5.1,2.0,0.994,4677,39.4,60.6,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.0,1.0,50,20,4.3,1.3,0.99,3545,33.2,66.8,0.015,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.0,50,25,7.5,4.4,1.0,2878,30.4,69.6,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,1.0,50,30,6.9,3.5,1.0,2425,26.8,73.2,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.0,100,15,5.9,2.8,0.998,4687,39.7,60.3,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.0,1.0,100,20,5.2,2.0,0.998,3568,33.6,66.4,0.01,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.0,100,25,7.9,4.4,1.0,2895,30.5,69.5,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.0,100,30,6.9,3.4,1.0,2435,26.8,73.2,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.5,0,15,4.5,1.6,0.994,3916,45.8,54.2,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.5,0,20,4.5,1.5,0.994,2906,39.3,60.7,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.5,0,25,8.5,5.0,1.0,2355,36.9,63.1,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,1.5,0,30,8.3,4.9,1.0,1960,33.2,66.8,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.5,50,15,2.5,-0.5,0.912,3874,44.8,55.2,0.115,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.5,50,20,3.3,-0.0,0.948,2897,38.7,61.3,0.04,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.5,50,25,7.5,4.0,1.0,2352,36.3,63.7,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.0,1.5,50,30,7.9,4.7,1.0,1971,32.8,67.2,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.5,100,15,3.7,0.6,0.986,3895,45.3,54.7,0.03,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.5,100,20,3.7,0.8,0.97,2913,38.9,61.1,0.04,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.5,100,25,7.0,3.3,0.998,2372,35.9,64.1,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.0,1.5,100,30,8.0,4.4,1.0,1976,32.9,67.1,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.15,0.5,0,15,3.7,0.6,0.982,5541,31.8,68.2,0.025,3,2,False
EUR_USD,0.0001,5,10,2,0.15,0.5,0,20,6.8,3.9,1.0,4321,27.2,72.8,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.15,0.5,0,25,6.5,3.2,1.0,3615,23.3,76.7,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.15,0.5,0,30,7.7,4.7,1.0,3103,20.9,79.1,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.15,0.5,50,15,0.2,-2.5,0.586,5529,30.3,69.7,0.415,1,2,False
EUR_USD,0.0001,5,10,2,0.15,0.5,50,20,3.0,0.5,0.976,4358,25.7,74.3,0.07,2,2,False
EUR_USD,0.0001,5,10,2,0.15,0.5,50,25,3.3,0.0,0.952,3703,21.9,78.1,0.02,2,2,False
EUR_USD,0.0001,5,10,2,0.15,0.5,50,30,4.5,1.6,0.994,3219,19.4,80.6,0.005,2,2,False
EUR_USD,0.0001,5,10,2,0.15,0.5,100,15,1.1,-1.8,0.688,5539,30.6,69.4,0.255,1,2,False
EUR_USD,0.0001,5,10,2,0.15,0.5,100,20,4.4,1.5,0.996,4345,26.2,73.8,0.01,2,2,False
EUR_USD,0.0001,5,10,2,0.15,0.5,100,25,4.9,1.9,0.996,3676,22.4,77.6,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.15,0.5,100,30,5.5,2.5,0.998,3188,19.8,80.2,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,0,15,3.0,0.4,0.974,4425,38.9,61.1,0.035,2,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,0,20,4.7,1.7,0.996,3390,33.5,66.5,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,0,25,6.0,2.9,1.0,2821,29.5,70.5,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,0,30,6.4,2.9,1.0,2388,26.4,73.6,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,50,15,0.9,-2.0,0.68,4372,38.0,62.0,0.3,1,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,50,20,1.2,-1.8,0.73,3388,32.0,68.0,0.265,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,50,25,2.2,-0.6,0.902,2843,27.8,72.2,0.15,2,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,50,30,2.9,-0.3,0.936,2432,24.7,75.3,0.05,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,100,15,1.6,-1.3,0.804,4405,38.2,61.8,0.225,1,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,100,20,2.9,-0.3,0.926,3388,32.6,67.4,0.05,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,100,25,4.2,1.2,0.992,2849,28.5,71.5,0.01,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.0,100,30,4.2,1.2,0.984,2435,25.2,74.8,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,0,15,2.3,-0.6,0.886,3679,45.0,55.0,0.1,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,0,20,5.5,2.2,0.998,2756,40.1,59.9,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.15,1.5,0,25,7.3,4.2,1.0,2246,36.2,63.8,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,0,30,8.2,5.2,1.0,1873,33.3,66.7,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.15,1.5,50,15,0.9,-2.1,0.7,3615,44.2,55.8,0.335,1,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,50,20,3.4,0.2,0.966,2759,38.9,61.1,0.045,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,50,25,5.5,2.5,1.0,2260,35.0,65.0,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,50,30,5.4,2.2,0.994,1910,31.4,68.6,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,100,15,1.9,-1.1,0.85,3644,44.7,55.3,0.105,2,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,100,20,4.4,1.1,0.99,2745,39.5,60.5,0.005,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,100,25,6.2,3.1,0.998,2264,35.4,64.6,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.15,1.5,100,30,5.8,2.7,0.998,1903,31.8,68.2,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,0,15,4.2,1.7,0.998,5236,32.4,67.6,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,0,20,5.2,2.6,1.0,4087,27.1,72.9,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.25,0.5,0,25,5.8,2.9,1.0,3510,23.2,76.8,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,0,30,5.9,2.9,1.0,3007,20.5,79.5,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,50,15,-0.2,-3.0,0.464,5234,30.4,69.6,0.57,1,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,50,20,2.0,-1.2,0.852,4168,25.5,74.5,0.145,1,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,50,25,3.5,0.7,0.98,3618,22.0,78.0,0.02,2,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,50,30,3.5,0.7,0.966,3123,19.2,80.8,0.02,2,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,100,15,1.3,-1.1,0.806,5228,30.9,69.1,0.195,1,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,100,20,3.4,0.6,0.984,4116,26.1,73.9,0.05,1,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,100,25,4.8,1.7,0.994,3569,22.5,77.5,0.0,2,2,False
EUR_USD,0.0001,5,10,2,0.25,0.5,100,30,4.8,1.7,0.994,3085,19.8,80.2,0.01,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,0,15,3.7,1.1,0.988,4166,39.6,60.4,0.015,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,0,20,4.9,1.9,1.0,3256,33.7,66.3,0.0,3,3,True
EUR_USD,0.0001,5,10,2,0.25,1.0,0,25,6.4,3.1,1.0,2713,29.8,70.2,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,0,30,6.2,3.3,1.0,2299,26.4,73.6,0.0,3,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,50,15,1.3,-1.5,0.798,4141,38.4,61.6,0.195,1,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,50,20,3.1,0.3,0.958,3228,32.9,67.1,0.06,1,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,50,25,4.4,1.2,0.996,2729,28.8,71.2,0.01,2,2,False
EUR_USD,0.0001,5,10,2,0.25,1.0,50,30,4.8,1.9,0.998,2332,25.6,74.4,0.0,2,2,False
