pair,stop_frac,tgt_pips,ppd_dir,ppd_zr,ppd_total,p5,nc_dir,nc_zr,tp_pct,sl_pct,is_wf,oos_wf,perm_p,gates_ok
EUR_USD,0.5,20.0,-7.82928227995749,-4659.589141156072,-4667.418423436031,-14793.325169118647,1951,1658,14.96668375192209,85.03331624807791,2,1,0.43,False
EUR_USD,0.5,25.0,-7.286976810108738,-4667.043823769617,-4674.330800579727,-14845.3688372862,1826,1603,12.157721796276014,87.84227820372399,2,1,0.495,False
EUR_USD,0.5,30.0,-5.884305666095924,-4451.401287643795,-4457.28559330989,-14690.2432244734,1724,1534,10.962877030162414,89.03712296983758,2,1,0.45,False
EUR_USD,1.0,20.0,-8.101752052419869,-181.36679573915018,-189.4685477915703,-1880.6867365332864,1855,1392,24.90566037735849,75.09433962264151,3,1,0.485,False
EUR_USD,1.0,25.0,-7.082818547551678,326.7124166548035,319.62959810725187,-264.021673065113,1695,1343,20.707964601769913,79.29203539823008,3,2,0.22,False
EUR_USD,1.0,30.0,-5.546420121891139,1106.955948234353,1101.4095281124617,-78.03754648993431,1609,1307,18.707271597265382,81.29272840273461,3,2,0.165,False
GBP_USD,0.5,20.0,-17.674762712685048,1834.1558918414255,1816.4811291287406,1004.5769420415305,3587,3039,15.24951212712573,84.75048787287427,3,2,0.0,False
GBP_USD,0.5,25.0,-16.27868728488937,1685.9144096759112,1669.6357223910218,1018.0476874391387,3328,2903,12.740384615384615,87.25961538461539,3,2,0.0,False
GBP_USD,0.5,30.0,-13.80166949440029,1684.9914477872203,1671.18977829282,728.4376856193683,3160,2801,11.329113924050633,88.67088607594937,3,2,0.0,False
GBP_USD,1.0,20.0,-18.806749721265557,5269.240070541552,5250.433320820285,-3689.9388252341414,3249,2457,24.345952600800246,75.65404739919975,1,2,0.215,False
GBP_USD,1.0,25.0,-17.963090794512073,-146.21970530789196,-164.18279610240361,-6223.755058455296,2980,2379,20.13422818791946,79.86577181208054,1,1,0.535,False
GBP_USD,1.0,30.0,-16.398524407387118,-52.01541627783892,-68.4139406852251,-6218.419197893893,2808,2317,17.45014245014245,82.54985754985755,1,1,0.505,False
