JIT compiled.

======================================================================
PAIR: EUR_USD  ZW=30.0p TGT=21.0p ta=10.0 td=1.0  OOS=409d
body_thr wick_thr  mom |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
--------------------------------------------------------------------------------
     0.0     0.00    0 |   1608.1    906.5   1862   0.0% 74.7%  3.1%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.00    2 |   1045.6    482.9   1665  51.7% 73.4%  3.3%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.00    3 |   1578.7    695.8   1768  36.7% 74.9%  3.0%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.00    5 |   1186.7    741.5   1916  10.8% 76.1%  2.9%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.10    0 |   1000.6   -728.5   1820  27.5% 74.8%  3.0%    3/3    2/3   0.170 | 3/2 p=0.17
     0.0     0.10    2 |   1281.6    615.4   1721  61.5% 74.9%  2.8%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.10    3 |   1674.1    766.4   1720  50.8% 74.6%  3.0%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.10    5 |   1243.7   -742.2   1788  35.0% 75.1%  2.9%    3/3    2/3   0.195 | 3/2 p=0.20
     0.0     0.20    0 |   1487.1    571.5   1784  47.0% 74.7%  3.1%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.20    2 |  -2970.4 -10191.7   1687  70.1% 74.9%  2.7%    3/3    3/3   0.510 | 3/3 p=0.51
     0.0     0.20    3 |   1093.3    342.2   1674  61.7% 74.1%  2.8%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.20    5 |  -1668.6  -7337.5   1736  52.9% 74.7%  2.5%    3/3    2/3   0.480 | 3/2 p=0.48
     0.0     0.30    0 |   1590.1    657.1   1699  61.9% 74.0%  2.9%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.30    2 |  -1969.5  -7061.1   1743  76.4% 76.6%  2.4%    3/3    2/3   0.450 | 3/2 p=0.45
     0.0     0.30    3 |    682.9    376.6   1671  71.7% 74.4%  2.9%    3/3    3/3   0.000 | 🟢 PASS
     0.0     0.30    5 |   1248.3    486.2   1653  65.1% 73.8%  2.9%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.00    0 |   1385.5    561.8   1797  45.2% 75.5%  3.1%    2/3    3/3   0.000 | 2/3 p=0.00
     0.4     0.00    2 |    361.7    133.8   1731  68.2% 75.5%  2.4%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.00    3 |    757.4    380.4   1775  61.9% 75.5%  3.0%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.00    5 |   1425.7    570.0   1806  52.0% 75.2%  2.7%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.10    0 |   1208.9    408.4   1794  54.8% 75.9%  2.9%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.10    2 |    557.9    259.1   1721  73.3% 75.8%  2.4%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.10    3 |  -2808.6  -9902.1   1737  66.9% 75.1%  3.2%    3/3    3/3   0.465 | 3/3 p=0.47
     0.4     0.10    5 |   1256.8    452.5   1798  60.1% 76.2%  2.5%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.20    0 |   1446.4    497.1   1807  62.7% 76.1%  2.0%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.20    2 |    490.1    189.2   1651  77.1% 74.8%  2.5%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.20    3 |  -2945.8 -10055.0   1667  72.4% 73.8%  2.7%    3/3    3/3   0.545 | 3/3 p=0.55
     0.4     0.20    5 |   1115.5    363.5   1746  65.8% 75.0%  1.7%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.30    0 |   1186.5    394.1   1799  70.7% 76.3%  2.2%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.30    2 |    450.4    163.2   1599  81.3% 74.7%  2.8%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.30    3 |    813.5    463.9   1689  77.6% 74.6%  2.5%    3/3    3/3   0.000 | 🟢 PASS
     0.4     0.30    5 |   1224.5    448.5   1683  72.9% 74.9%  2.3%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.00    0 |     71.4  -1615.6   1864  39.5% 76.2%  3.1%    2/3    2/3   0.460 | 2/2 p=0.46
     0.5     0.00    2 |    549.1    247.8   1759  65.4% 76.0%  2.6%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.00    3 |   2120.7    532.8   1765  58.3% 74.8%  3.1%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.00    5 |    932.7    523.7   1858  46.3% 75.7%  2.7%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.10    0 |    -82.0  -1720.8   1806  49.7% 75.5%  3.1%    3/3    2/3   0.520 | 3/2 p=0.52
     0.5     0.10    2 |    568.9    270.6   1703  70.9% 75.2%  2.6%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.10    3 |    820.5    431.9   1735  63.9% 75.0%  3.3%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.10    5 |    860.1    487.5   1804  55.0% 75.7%  2.9%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.20    0 |   1950.3    687.3   1779  58.7% 75.3%  2.3%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.20    2 |  -3004.9 -10176.8   1673  75.0% 74.5%  2.2%    3/3    3/3   0.475 | 3/3 p=0.47
     0.5     0.20    3 |  -2999.3 -10112.7   1693  70.0% 73.8%  2.6%    3/3    3/3   0.545 | 3/3 p=0.55
     0.5     0.20    5 |   1598.0    511.3   1720  62.9% 74.7%  1.9%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.30    0 |   1189.1    392.2   1801  67.3% 76.6%  2.4%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.30    2 |    441.3    163.4   1653  79.2% 75.4%  2.8%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.30    3 |    736.1    441.2   1685  75.5% 74.9%  2.8%    3/3    3/3   0.000 | 🟢 PASS
     0.5     0.30    5 |   1228.0    443.8   1669  69.4% 74.5%  2.7%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.00    0 |   1037.1    453.5   1880  34.2% 76.5%  3.2%    2/3    3/3   0.000 | 2/3 p=0.00
     0.6     0.00    2 |   2062.9    518.3   1738  63.1% 75.8%  2.6%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.00    3 |   1685.9    368.9   1755  55.2% 74.8%  3.2%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.00    5 |   1191.6    597.8   1874  41.3% 76.3%  3.0%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.10    0 |    409.4  -1200.9   1826  44.7% 75.5%  2.8%    3/3    2/3   0.450 | 3/2 p=0.45
     0.6     0.10    2 |   1111.4    556.1   1681  68.5% 74.9%  2.8%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.10    3 |   1275.7    683.2   1736  60.3% 74.9%  3.5%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.10    5 |   1012.6    471.7   1816  50.6% 75.3%  2.7%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.20    0 |   1123.9    350.1   1793  53.7% 75.2%  2.6%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.20    2 |  -2972.8 -10164.8   1657  72.9% 74.0%  2.5%    3/3    3/3   0.490 | 3/3 p=0.49
     0.6     0.20    3 |  -3032.4 -10178.1   1724  67.4% 74.2%  2.4%    3/3    3/3   0.530 | 3/3 p=0.53
     0.6     0.20    5 |   1070.7    315.6   1706  59.6% 74.4%  2.2%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.30    0 |   1435.4    570.5   1691  64.1% 74.7%  2.8%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.30    2 |    554.6    242.2   1681  77.6% 75.7%  2.6%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.30    3 |    633.9    345.1   1673  73.1% 74.5%  2.9%    3/3    3/3   0.000 | 🟢 PASS
     0.6     0.30    5 |   1257.7    471.0   1647  66.8% 73.8%  3.1%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.00    0 |   1306.9    492.5   1800  26.1% 75.3%  3.3%    2/3    3/3   0.000 | 2/3 p=0.00
     0.7     0.00    2 |   1255.2   -150.6   1739  60.4% 75.2%  2.6%    3/3    2/3   0.225 | 3/2 p=0.23
     0.7     0.00    3 |   1221.6    484.6   1735  49.6% 74.4%  3.1%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.00    5 |   1471.2    620.1   1788  34.6% 74.9%  3.2%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.10    0 |    598.4  -1313.5   1822  38.0% 75.1%  2.7%    3/3    2/3   0.390 | 3/2 p=0.39
     0.7     0.10    2 |   1017.3    500.0   1753  66.1% 75.8%  2.5%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.10    3 |   1413.4    617.2   1740  56.9% 75.1%  3.0%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.10    5 |   1045.3    357.0   1828  45.7% 75.1%  2.5%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.20    0 |   1360.4    531.1   1804  49.5% 75.6%  3.2%    3/3    3/3   0.000 | 🟢 PASS
     0.7     0.20    2 |  -2924.9 -10018.3   1647  71.0% 74.1%  2.8%    3/3    3/3   0.450 | 3/3 p=0.45
     0.7     0.20    3 |  -2901.1 -10089.8   1696  64.0% 74.5%  2.7%    3/3    3/3   0.475 | 3/3 p=0.47
     0.7     0.20    5 |  -1589.8  -7438.8   1720  55.8% 74.5%  2.6%    3/3    2/3   0.485 | 3/2 p=0.48
