pair,zw,tgt,ta,td,body_thresh,wick_thresh,mom_bars,ppd,p5,p_pos,nc,skip_pct,l1_pct,l5p_pct,is_wf,oos_wf,perm_p,gate_pass
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.0,0,1146.2,715.2,1.0,1856,0.0,74.5,2.4,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.0,2,863.8,413.3,1.0,1665,51.7,73.4,2.7,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.0,3,1388.2,585.2,1.0,1768,36.7,74.9,2.2,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.0,5,1019.4,588.5,1.0,1916,10.8,76.1,2.3,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.1,0,2010.2,902.2,1.0,1816,27.5,74.8,2.5,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.1,2,1057.4,514.1,1.0,1721,61.5,74.9,2.3,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.1,3,1439.5,653.5,1.0,1722,50.8,74.6,2.5,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.1,5,2105.6,1134.5,1.0,1782,35.1,75.0,2.4,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.2,0,1369.3,525.4,1.0,1786,47.0,74.8,2.4,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.2,2,-3119.6,-10262.0,0.336,1687,70.1,74.9,2.0,3,3,0.54,False
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.2,3,972.1,290.6,1.0,1676,61.7,74.2,2.3,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.2,5,1607.7,423.6,1.0,1738,52.9,74.8,2.0,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.3,0,1196.3,464.6,1.0,1699,61.9,74.0,2.3,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.3,2,1915.7,250.1,1.0,1741,76.4,76.6,1.8,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.3,3,483.7,298.1,1.0,1671,71.7,74.4,2.1,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.0,0.3,5,1072.9,357.8,1.0,1653,65.1,73.8,2.2,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.4,0.0,0,1233.5,486.8,1.0,1799,45.2,75.6,2.4,2,3,0.0,False
EUR_USD,30.0,21.0,10.0,1.0,0.4,0.0,2,233.4,99.2,0.996,1731,68.2,75.5,1.8,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.4,0.0,3,592.8,382.2,1.0,1777,61.9,75.6,2.3,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.4,0.0,5,1197.5,485.1,1.0,1806,52.0,75.2,2.0,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.4,0.1,0,1110.3,432.8,1.0,1796,54.8,75.9,2.1,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.4,0.1,2,359.8,162.1,0.996,1721,73.3,75.8,1.9,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.4,0.1,3,-2972.5,-10040.9,0.392,1739,66.9,75.2,2.4,3,3,0.49,False
EUR_USD,30.0,21.0,10.0,1.0,0.4,0.1,5,1117.0,406.6,1.0,1798,60.1,76.2,2.0,3,3,0.0,True
EUR_USD,30.0,21.0,10.0,1.0,0.4,0.2,0,1333.6,386.6,1.0,1809,62.7,76.2,1.5,3,3,0.0,True
