JIT compiled.

============================================================================
PAIR: EUR_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
------------------------------------------------------------------------------------
    20  fixed   30.0p   0.5    6  0.00 |    293.2    160.1   1246  98.7% 85.0%  1.0%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.5    6  0.00 |    127.2     18.6    351  99.7% 91.2%  0.9%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5    6  0.15 |    275.2    139.3   1016  99.0% 84.2%  1.0%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.5    6  0.15 |     25.5     12.0    269  99.8% 90.7%  0.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5    6  0.25 |    200.0     89.0    856  99.2% 83.6%  0.8%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.5    6  0.25 |     22.2      9.2    218  99.8% 90.8%  0.5%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5    8  0.00 |    345.5    206.8   1107  98.8% 79.8%  1.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.5    8  0.00 |    103.0     19.7    305  99.7% 87.9%  0.7%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5    8  0.15 |    297.8    163.2    921  99.0% 79.5%  1.3%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.5    8  0.15 |     19.3     14.1    240  99.8% 87.1%  0.0%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5    8  0.25 |    220.6    113.3    797  99.2% 78.9%  1.1%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.5    8  0.25 |     15.3     10.5    197  99.8% 86.3%  0.0%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5   10  0.00 |    340.5    196.9   1007  98.8% 76.3%  1.5%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.5   10  0.00 |    121.1     26.2    279  99.7% 84.2%  1.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5   10  0.15 |    311.0    176.0    840  99.1% 75.0%  1.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.5   10  0.15 |     35.1     17.5    219  99.8% 83.1%  0.5%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.5   10  0.25 |    237.2    119.3    748  99.2% 74.7%  1.3%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.5   10  0.25 |     34.3     16.0    185  99.8% 82.2%  0.5%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    6  0.00 |    481.0    161.8   1139  98.7% 85.1%  1.8%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.7    6  0.00 |     51.9     25.4    330  99.7% 90.6%  2.1%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    6  0.15 |    352.0     54.8    934  99.0% 83.7%  2.0%    3/3    3/3   0.015 | 🟢 PASS
    20  fixed   50.0p   0.7    6  0.15 |     19.3     13.6    256  99.8% 90.2%  1.2%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    6  0.25 |    339.9     39.5    799  99.2% 83.2%  1.8%    3/3    3/3   0.010 | 🟢 PASS
    20  fixed   50.0p   0.7    6  0.25 |     16.0     10.0    213  99.8% 90.6%  1.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    8  0.00 |    380.5     80.8   1005  98.8% 79.8%  2.7%    3/3    2/3   0.000 | 3/2 p=0.00
    20  fixed   50.0p   0.7    8  0.00 |     59.9     28.4    287  99.7% 87.1%  2.1%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    8  0.15 |    331.1     49.5    853  99.0% 80.0%  2.7%    3/3    2/3   0.070 | 3/2 p=0.07
    20  fixed   50.0p   0.7    8  0.15 |     20.2     14.5    229  99.8% 86.5%  0.9%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7    8  0.25 |    317.1     24.1    746  99.2% 79.6%  2.3%    3/3    2/3   0.030 | 3/2 p=0.03
    20  fixed   50.0p   0.7    8  0.25 |     17.2     12.3    191  99.8% 85.9%  1.0%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7   10  0.00 |    415.0    117.2    937  98.8% 76.7%  2.9%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.7   10  0.00 |     62.3     29.9    262  99.7% 83.2%  1.9%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7   10  0.15 |    370.7     79.3    781  99.1% 75.8%  2.8%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.7   10  0.15 |     29.7     17.9    207  99.8% 82.1%  1.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   0.7   10  0.25 |    358.1     82.7    704  99.2% 75.4%  2.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   0.7   10  0.25 |     28.2     16.6    176  99.8% 81.2%  1.7%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0    6  0.00 |    195.3    116.3    994  98.8% 83.9%  2.8%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0    6  0.00 |    172.8     21.6    307  99.7% 90.6%  2.9%    2/3    3/3   0.000 | 2/3 p=0.00
    20  fixed   30.0p   1.0    6  0.15 |    214.8    133.7    820  99.0% 83.0%  3.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0    6  0.15 |    153.1     10.5    242  99.8% 90.1%  1.7%    2/3    3/3   0.000 | 2/3 p=0.00
    20  fixed   30.0p   1.0    6  0.25 |    194.9    106.6    712  99.2% 82.4%  3.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0    6  0.25 |    151.6      9.1    199  99.8% 89.9%  2.0%    2/3    3/3   0.000 | 2/3 p=0.00
    20  fixed   30.0p   1.0    8  0.00 |    218.9    146.4    861  98.8% 79.0%  4.2%    2/3    3/3   0.000 | 2/3 p=0.00
    20  fixed   50.0p   1.0    8  0.00 |    207.1     32.4    261  99.7% 86.6%  3.4%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0    8  0.15 |    247.8    166.0    762  99.1% 79.7%  4.1%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0    8  0.15 |    187.5     13.0    211  99.8% 85.8%  1.9%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0    8  0.25 |    218.5    137.7    665  99.2% 79.4%  3.8%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0    8  0.25 |    185.3     11.3    174  99.8% 84.5%  2.3%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0   10  0.00 |    222.4    149.8    802  98.9% 76.4%  4.2%    2/3    3/3   0.000 | 2/3 p=0.00
    20  fixed   50.0p   1.0   10  0.00 |    222.0     44.8    240  99.7% 83.3%  4.2%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0   10  0.15 |    259.9    172.3    677  99.1% 75.6%  4.9%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0   10  0.15 |    229.9     47.9    189  99.8% 81.0%  3.7%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   30.0p   1.0   10  0.25 |    222.7    139.1    613  99.2% 75.7%  4.6%    3/3    3/3   0.000 | 🟢 PASS
    20  fixed   50.0p   1.0   10  0.25 |    215.6     39.6    161  99.8% 79.5%  4.3%    3/3    3/3   0.000 | 🟢 PASS
