pair,reg_N,zw_mode,zw_val,atr_mult,tgt_frac,ta,wick_thresh,ppd,p5,p_pos,nc,skip_pct,l1_pct,l5p_pct,is_wf,oos_wf,perm_p,gate_pass
EUR_USD,20,fixed,30.0,0.0,0.5,6.0,0.0,293.2,152.2,1.0,1246,98.7,85.0,1.0,3,3,0.0,True
EUR_USD,20,fixed,50.0,0.0,0.5,6.0,0.0,127.2,25.9,1.0,351,99.7,91.2,0.9,3,3,0.0,True
EUR_USD,20,fixed,30.0,0.0,0.5,6.0,0.15,275.2,144.0,1.0,1016,99.0,84.2,1.0,3,3,0.0,True
EUR_USD,20,fixed,50.0,0.0,0.5,6.0,0.15,25.5,12.1,1.0,269,99.8,90.7,0.4,3,3,0.0,True
EUR_USD,20,fixed,30.0,0.0,0.5,10.0,0.0,340.5,193.6,1.0,1007,98.8,76.3,1.5,3,3,0.0,True
EUR_USD,20,fixed,50.0,0.0,0.5,10.0,0.0,121.1,26.3,1.0,279,99.7,84.2,1.4,3,3,0.0,True
EUR_USD,20,fixed,30.0,0.0,0.5,10.0,0.15,311.0,175.0,1.0,840,99.1,75.0,1.4,3,3,0.0,True
EUR_USD,20,fixed,50.0,0.0,0.5,10.0,0.15,35.1,17.1,1.0,219,99.8,83.1,0.5,3,3,0.0,True
EUR_USD,20,fixed,30.0,0.0,0.7,6.0,0.0,481.0,191.5,1.0,1139,98.7,85.1,1.8,3,3,0.0,True
EUR_USD,20,fixed,50.0,0.0,0.7,6.0,0.0,51.9,25.7,1.0,330,99.7,90.6,2.1,3,3,0.0,True
EUR_USD,20,fixed,30.0,0.0,0.7,6.0,0.15,352.0,60.2,0.99,934,99.0,83.7,2.0,3,3,0.015,True
EUR_USD,20,fixed,50.0,0.0,0.7,6.0,0.15,19.3,13.0,1.0,256,99.8,90.2,1.2,3,3,0.0,True
EUR_USD,20,fixed,30.0,0.0,0.7,10.0,0.0,415.0,131.8,1.0,937,98.8,76.7,2.9,3,3,0.0,True
EUR_USD,20,fixed,50.0,0.0,0.7,10.0,0.0,62.3,30.3,1.0,262,99.7,83.2,1.9,3,3,0.0,True
EUR_USD,20,fixed,30.0,0.0,0.7,10.0,0.15,370.7,74.7,0.99,781,99.1,75.8,2.8,3,3,0.0,True
EUR_USD,20,fixed,50.0,0.0,0.7,10.0,0.15,29.7,17.9,1.0,207,99.8,82.1,1.4,3,3,0.0,True
EUR_USD,20,fixed,30.0,0.0,1.0,6.0,0.0,195.3,109.8,1.0,994,98.8,83.9,2.8,3,3,0.0,True
EUR_USD,20,fixed,50.0,0.0,1.0,6.0,0.0,172.8,21.9,1.0,307,99.7,90.6,2.9,2,3,0.0,False
EUR_USD,20,fixed,30.0,0.0,1.0,6.0,0.15,214.8,136.2,1.0,820,99.0,83.0,3.4,3,3,0.0,True
EUR_USD,20,fixed,50.0,0.0,1.0,6.0,0.15,153.1,10.3,1.0,242,99.8,90.1,1.7,2,3,0.0,False
EUR_USD,20,fixed,30.0,0.0,1.0,10.0,0.0,222.4,144.2,1.0,802,98.9,76.4,4.2,2,3,0.0,False
EUR_USD,20,fixed,50.0,0.0,1.0,10.0,0.0,222.0,41.7,1.0,240,99.7,83.3,4.2,3,3,0.0,True
EUR_USD,20,fixed,30.0,0.0,1.0,10.0,0.15,259.9,166.0,1.0,677,99.1,75.6,4.9,3,3,0.0,True
EUR_USD,20,fixed,50.0,0.0,1.0,10.0,0.15,229.9,38.9,1.0,189,99.8,81.0,3.7,3,3,0.0,True
EUR_USD,20,atr,0.0,2.0,0.5,6.0,0.0,2.2392296219343508e+18,-7.184383758895092e+17,0.764,10592,58.7,66.8,3.8,3,1,0.385,False
EUR_USD,20,atr,0.0,3.0,0.5,6.0,0.0,8.970988309672937e+17,6.4843430643623064e+16,1.0,2526,83.4,72.6,2.4,2,2,0.005,False
EUR_USD,20,atr,0.0,4.0,0.5,6.0,0.0,4.239982242551525e+16,-3.715564704546664e+17,0.608,3107,94.1,72.3,2.8,3,1,0.395,False
