pair,zw,tgt_frac,tgt,pf,body_thresh,ta,td,ppd,p5,p_pos,nc,skip_pct,l1_pct,l5p_pct,cum_l5,growth_r,risk_adj_p5,is_wf,oos_wf,perm_p,gate_pass
EUR_USD,30.0,0.7,21.0,1.25,0.0,10.0,1.0,1608.1,868.2,1.0,1862,0.0,74.7,3.1,202,3.269,4.298,3,3,0.0,True
EUR_USD,30.0,0.7,21.0,1.25,0.5,10.0,1.0,71.4,-1952.9,0.574,1864,39.5,76.2,3.1,202,3.269,-9.6676,2,2,0.55,False
EUR_USD,30.0,0.7,21.0,1.1,0.0,10.0,1.0,599.2,270.3,0.998,1898,0.0,75.3,3.2,107,2.877,2.5263,3,3,0.0,True
EUR_USD,30.0,0.7,21.0,1.1,0.5,10.0,1.0,31.4,-859.3,0.558,1862,39.6,76.5,3.7,107,2.877,-8.0309,2,2,0.48,False
EUR_USD,30.0,0.7,21.0,1.05,0.0,10.0,1.0,399.8,187.3,0.998,1898,0.0,75.3,3.5,100,2.746,1.8734,3,3,0.0,True
EUR_USD,30.0,0.7,21.0,1.05,0.5,10.0,1.0,88.9,-502.5,0.684,1862,39.6,76.5,3.8,100,2.746,-5.0246,2,2,0.51,False
EUR_USD,30.0,0.8,24.0,1.25,0.0,10.0,1.0,817.3,530.5,1.0,1777,0.0,75.7,3.3,161,3.0,3.2952,2,3,0.0,False
EUR_USD,30.0,0.8,24.0,1.25,0.5,10.0,1.0,662.2,385.3,1.0,1764,39.6,76.1,3.1,161,3.0,2.3931,2,3,0.0,False
EUR_USD,30.0,0.8,24.0,1.1,0.0,10.0,1.0,313.7,208.9,1.0,1779,0.0,76.0,3.8,92,2.64,2.271,2,3,0.0,False
EUR_USD,30.0,0.8,24.0,1.1,0.5,10.0,1.0,308.1,196.3,1.0,1756,39.5,76.1,3.9,92,2.64,2.1341,2,3,0.0,False
EUR_USD,30.0,0.8,24.0,1.05,0.0,10.0,1.0,238.5,157.8,1.0,1779,0.0,76.0,4.0,75,2.52,2.1037,3,3,0.0,True
EUR_USD,30.0,0.8,24.0,1.05,0.5,10.0,1.0,245.8,155.9,1.0,1756,39.5,76.1,4.2,75,2.52,2.0793,2,3,0.0,False
EUR_USD,30.0,0.9,27.0,1.25,0.0,10.0,1.0,1265.1,-238.1,0.884,1531,0.0,74.7,4.8,99,2.794,-2.4056,3,3,0.305,False
EUR_USD,30.0,0.9,27.0,1.25,0.5,10.0,1.0,-831.1,-2788.1,0.266,1608,40.3,76.0,3.9,99,2.794,-28.1624,1,2,0.61,False
EUR_USD,30.0,0.9,27.0,1.1,0.0,10.0,1.0,95.1,-83.1,0.83,1581,0.0,75.5,5.0,70,2.459,-1.1876,2,2,0.24,False
EUR_USD,30.0,0.9,27.0,1.1,0.5,10.0,1.0,-522.5,-1434.6,0.154,1626,40.4,76.3,4.6,70,2.459,-20.4948,1,1,0.81,False
EUR_USD,30.0,0.9,27.0,1.05,0.0,10.0,1.0,95.8,-60.3,0.866,1591,0.0,75.6,5.1,68,2.347,-0.8864,2,2,0.15,False
EUR_USD,30.0,0.9,27.0,1.05,0.5,10.0,1.0,-426.3,-1162.8,0.128,1626,40.4,76.3,4.7,68,2.347,-17.1,2,1,0.78,False
