atr_s,thresh,frac,cap,ppd,is_wf,oos_wf,p5,nc,d1,d5p,delta_ppd
atr3,1.5,0.33,5.0,1565.9062221607767,3,3,645.4340863619414,608,74,3,-1.3582538579178163
atr3,1.5,0.33,10.0,1565.580799110589,3,3,650.1572026137226,608,74,3,-1.6836769081055536
atr3,1.5,0.33,20.0,1565.5132868069604,3,3,568.2160632837806,608,74,3,-1.7511892117340722
atr3,1.5,0.5,5.0,1565.3259246493076,3,3,572.0964671208365,608,74,3,-1.9385513693869143
atr3,1.5,0.5,10.0,1565.547913805431,3,3,602.8436648966501,612,74,3,-1.716562213263387
atr3,1.5,0.5,20.0,1565.307680245025,3,3,565.4845906854174,612,74,3,-1.9567957736694552
atr3,1.5,0.75,5.0,1564.7280300295379,3,3,610.2837601003293,607,74,3,-2.5364459891566185
atr3,1.5,0.75,10.0,1565.4319210346816,3,3,621.6886244960925,614,74,3,-1.8325549840128588
atr3,1.5,0.75,20.0,1564.9429456419384,3,3,537.0532174059025,614,74,3,-2.3215303767560727
atr3,2.0,0.33,5.0,1566.6327351595255,3,3,564.9417449187166,608,74,3,-0.6317408591689855
atr3,2.0,0.33,10.0,1566.3992748508922,3,3,614.0094039205503,608,74,3,-0.8652011678022973
atr3,2.0,0.33,20.0,1566.3337644936005,3,3,636.6784709580638,608,74,3,-0.9307115250940114
atr3,2.0,0.5,5.0,1566.4820486587612,3,3,513.0973268455926,608,74,3,-0.7824273599333083
atr3,2.0,0.5,10.0,1566.948052829482,3,3,550.2262223829258,612,74,3,-0.31642318921240076
atr3,2.0,0.5,20.0,1566.7457450302331,3,3,540.522835423526,612,74,3,-0.5187309884613569
atr3,2.0,0.75,5.0,1566.4031386073223,3,3,579.4526427360415,608,74,3,-0.861337411372233
atr3,2.0,0.75,10.0,1566.0250777147876,3,3,609.804681996455,610,74,3,-1.2393983039069099
atr3,2.0,0.75,20.0,1565.6769058810605,3,3,572.4892314195101,610,74,3,-1.5875701376339748
atr3,2.5,0.33,5.0,1566.9089370224478,3,3,603.5764063951168,608,74,3,-0.35553899624665064
atr3,2.5,0.33,10.0,1566.763549006321,3,3,574.1015716391397,608,74,3,-0.500927012373495
atr3,2.5,0.33,20.0,1566.7149884613466,3,3,594.892567440794,608,74,3,-0.5494875573479021
atr3,2.5,0.5,5.0,1566.8410643684788,3,3,585.4865759490236,608,74,3,-0.42341165021571214
atr3,2.5,0.5,10.0,1566.5748055056954,3,3,579.8188438760633,608,74,3,-0.6896705129991005
atr3,2.5,0.5,20.0,1566.4485716672416,3,3,579.7345343528904,608,74,3,-0.8159043514529003
