pair,zw,tgt,ta,td,ppd,is_wf,oos_wf,p5,prob,nc,oos_days,med_sp,atr20,passed
EUR_JPY,20,6.0,4,1.0,3.749795847640438e+18,1,2,,,5529,149.8,2.3,6.7,False
EUR_JPY,20,10.0,4,1.0,1.158702172472346e+18,0,1,,,4481,149.8,2.3,6.7,False
EUR_JPY,20,10.0,6,1.0,1.3273594143279434e+18,0,3,,,3234,149.8,2.3,6.7,False
EUR_JPY,20,10.0,8,1.0,-7.375493973949044e+18,1,0,,,2631,149.8,2.3,6.7,False
EUR_JPY,20,14.0,4,1.0,-1.2636884984743788e+18,0,1,,,3708,149.8,2.3,6.7,False
EUR_JPY,20,14.0,6,1.0,-1.240421738885625e+18,0,1,,,2693,149.8,2.3,6.7,False
EUR_JPY,20,14.0,8,1.0,1.7379823596399713e+18,2,2,,,2195,149.8,2.3,6.7,False
EUR_JPY,20,14.0,10,1.0,1.723474797786415e+18,1,2,,,1888,149.8,2.3,6.7,False
EUR_JPY,30,9.0,4,1.0,6.37270536796049e+18,2,1,,,3783,149.8,2.3,6.7,False
EUR_JPY,30,9.0,6,1.0,3.245847308430164e+17,2,1,,,2675,149.8,2.3,6.7,False
EUR_JPY,30,9.0,8,1.0,-3.890867240270079e+17,3,1,,,2159,149.8,2.3,6.7,False
EUR_JPY,30,15.0,4,1.0,6293287257898.7,2,3,,,3271,149.8,2.3,6.7,False
EUR_JPY,30,15.0,6,1.0,6207824846808.1,2,3,,,2227,149.8,2.3,6.7,False
EUR_JPY,30,15.0,8,1.0,14031008700808.0,2,3,,,1759,149.8,2.3,6.7,False
EUR_JPY,30,15.0,10,1.0,4702835455081.5,2,3,,,1309,149.8,2.3,6.7,False
EUR_JPY,30,21.0,4,1.0,3655.5,3,2,,,211,149.8,2.3,6.7,False
EUR_JPY,30,21.0,6,1.0,3628.3,1,3,,,107,149.8,2.3,6.7,False
EUR_JPY,30,21.0,8,1.0,1017.5,3,3,21.6,1.0,99,149.8,2.3,6.7,True
EUR_JPY,30,21.0,10,1.0,1552.4,3,3,27.0,1.0,89,149.8,2.3,6.7,True
EUR_JPY,40,12.0,4,1.0,-3.514442262217802e+18,2,1,,,2983,149.8,2.3,6.7,False
EUR_JPY,40,12.0,6,1.0,-1.3222436046769518e+18,3,1,,,2087,149.8,2.3,6.7,False
EUR_JPY,40,12.0,8,1.0,3.8186532402527693e+18,3,3,1.7986075503667766e+17,0.956,1574,149.8,2.3,6.7,True
EUR_JPY,40,12.0,10,1.0,1.3823166026647076e+18,2,2,,,1220,149.8,2.3,6.7,False
