pair,dir,mode,n_fallback,override_thresh,is_ppd,oos_ppd,wf,n_cycles,sig_pct,rnd_pct,n_overrides
CHF_JPY,ALT,pure_pnf,999999,0,75.5,1145.8,3,1946,100.0,0.0,0
CHF_JPY,ALT,hybrid,1,0,653.3,-19054.4,3,7127,4.2,95.8,0
CHF_JPY,ALT,hybrid,5,0,71.2,-17988.7,3,5568,14.8,85.2,0
CHF_JPY,ALT,hybrid,12,0,101.1,47.2,3,4332,28.2,71.8,0
CHF_JPY,ALT,hybrid,24,0,147.4,1223.7,3,3456,43.4,56.6,0
CHF_JPY,ALT,hybrid,48,0,81.1,1163.0,3,2650,66.3,33.8,0
CHF_JPY,COL,pure_pnf,999999,0,51.3,44.3,3,1867,100.0,0.0,0
CHF_JPY,COL,hybrid,1,-5,704.4,310.7,3,7365,4.7,95.3,70
CHF_JPY,COL,hybrid,1,-2,696.6,312.8,3,7315,4.3,95.7,41
CHF_JPY,COL,hybrid,1,0,706.2,465.9,3,7263,4.0,96.0,23
CHF_JPY,COL,hybrid,5,-5,84.4,427.0,3,5765,14.5,85.6,47
CHF_JPY,COL,hybrid,5,-2,107.0,429.0,3,5755,14.2,85.8,21
CHF_JPY,COL,hybrid,5,0,107.2,449.0,3,5731,14.0,86.0,14
CHF_JPY,COL,hybrid,12,-5,100.2,-44.7,3,4342,28.2,71.8,30
CHF_JPY,COL,hybrid,12,-2,111.2,-43.9,3,4302,27.9,72.1,9
CHF_JPY,COL,hybrid,12,0,110.9,-44.0,3,4296,27.9,72.2,5
CHF_JPY,COL,hybrid,24,-5,224.4,92.2,3,3375,43.3,56.7,18
CHF_JPY,COL,hybrid,24,-2,218.9,90.2,3,3373,43.2,56.9,7
CHF_JPY,COL,hybrid,24,0,219.0,90.6,3,3381,43.2,56.9,2
CHF_JPY,COL,hybrid,48,-5,61.6,75.3,3,2619,65.1,34.9,6
CHF_JPY,COL,hybrid,48,-2,61.8,75.6,3,2603,65.0,35.0,3
CHF_JPY,COL,hybrid,48,0,62.4,70.4,3,2605,65.0,35.0,3
NZD_JPY,ALT,pure_pnf,999999,0,43.9,1206.7,3,1559,100.0,0.0,0
NZD_JPY,ALT,hybrid,1,0,317.5,163.4,3,3483,5.7,94.3,0
NZD_JPY,ALT,hybrid,5,0,-8184.5,245.3,2,3013,18.2,81.8,0
NZD_JPY,ALT,hybrid,12,0,39.3,69.5,1,2690,33.5,66.5,0
NZD_JPY,ALT,hybrid,24,0,47.1,131.3,3,2235,50.7,49.3,0
NZD_JPY,ALT,hybrid,48,0,45.8,436.9,2,1919,69.8,30.2,0
NZD_JPY,COL,pure_pnf,999999,0,21.6,1134.0,3,1455,100.0,0.0,0
NZD_JPY,COL,hybrid,1,-5,41.5,74.7,2,3527,7.5,92.5,90
NZD_JPY,COL,hybrid,1,-2,53.8,74.7,2,3493,6.2,93.9,33
NZD_JPY,COL,hybrid,1,0,174.0,75.3,2,3515,5.7,94.3,17
NZD_JPY,COL,hybrid,5,-5,-8213.9,142.3,2,2977,19.1,81.0,51
NZD_JPY,COL,hybrid,5,-2,-8236.1,238.0,1,2973,18.2,81.8,17
NZD_JPY,COL,hybrid,5,0,-8235.1,229.2,1,2939,18.0,82.0,4
NZD_JPY,COL,hybrid,12,-5,38.6,137.2,2,2612,33.2,66.8,44
NZD_JPY,COL,hybrid,12,-2,34.0,135.3,2,2530,32.6,67.4,12
NZD_JPY,COL,hybrid,12,0,34.4,133.6,2,2528,32.2,67.8,3
NZD_JPY,COL,hybrid,24,-5,49.8,1157.1,3,2137,48.2,51.8,24
NZD_JPY,COL,hybrid,24,-2,47.5,1157.6,3,2133,47.8,52.2,7
NZD_JPY,COL,hybrid,24,0,48.1,1157.8,3,2129,47.8,52.2,2
NZD_JPY,COL,hybrid,48,-5,32.5,365.3,3,1823,69.0,31.0,11
NZD_JPY,COL,hybrid,48,-2,46.4,365.4,3,1819,69.0,31.0,7
NZD_JPY,COL,hybrid,48,0,46.5,365.5,3,1823,68.8,31.2,2
AUD_JPY,ALT,pure_pnf,999999,0,23.8,54.3,3,1028,100.1,0.0,0
AUD_JPY,ALT,hybrid,1,0,273.7,476.9,3,3947,3.5,96.5,0
AUD_JPY,ALT,hybrid,5,0,86.7,108.6,3,3540,10.0,90.0,0
AUD_JPY,ALT,hybrid,12,0,696.4,507.3,3,2715,19.5,80.5,0
AUD_JPY,ALT,hybrid,24,0,100.2,116.6,3,2226,31.6,68.4,0
AUD_JPY,ALT,hybrid,48,0,43.9,89.1,3,1668,49.6,50.4,0
AUD_JPY,COL,pure_pnf,999999,0,65.2,1469.5,3,1011,100.1,0.0,0
AUD_JPY,COL,hybrid,1,-5,280.5,466.9,3,3927,3.9,96.2,37
AUD_JPY,COL,hybrid,1,-2,275.0,467.2,3,3907,3.6,96.5,22
AUD_JPY,COL,hybrid,1,0,277.4,467.0,3,3907,3.4,96.6,14
AUD_JPY,COL,hybrid,5,-5,79.1,108.2,3,3452,10.9,89.1,28
AUD_JPY,COL,hybrid,5,-2,82.3,107.9,3,3402,10.6,89.4,13
AUD_JPY,COL,hybrid,5,0,70.5,108.4,3,3400,10.5,89.5,9
AUD_JPY,COL,hybrid,12,-5,77.5,63.3,3,2849,19.2,80.8,15
AUD_JPY,COL,hybrid,12,-2,694.0,63.4,3,2825,18.9,81.1,5
AUD_JPY,COL,hybrid,12,0,696.5,63.4,3,2825,18.9,81.2,3
AUD_JPY,COL,hybrid,24,-5,107.9,108.0,3,2259,29.6,70.5,11
AUD_JPY,COL,hybrid,24,-2,108.6,108.3,3,2235,29.4,70.6,4
AUD_JPY,COL,hybrid,24,0,108.4,108.3,3,2233,29.3,70.7,2
AUD_JPY,COL,hybrid,48,-5,80.6,1481.1,3,1679,48.2,51.8,6
AUD_JPY,COL,hybrid,48,-2,80.4,1480.6,3,1687,47.9,52.2,2
AUD_JPY,COL,hybrid,48,0,81.2,1480.5,3,1691,47.8,52.2,0
EUR_JPY,ALT,pure_pnf,999999,0,-593.1,559.4,3,5239,100.0,0.0,0
EUR_JPY,ALT,hybrid,1,0,158.8,-1904.8,3,6103,27.3,72.7,0
EUR_JPY,ALT,hybrid,5,0,-439.7,152.0,3,5463,77.5,22.6,0
EUR_JPY,ALT,hybrid,12,0,-584.4,549.7,3,5279,92.8,7.2,0
EUR_JPY,ALT,hybrid,24,0,35.4,573.8,3,5143,98.3,1.7,0
EUR_JPY,ALT,hybrid,48,0,-593.2,560.6,3,5253,99.8,0.2,0
EUR_JPY,COL,pure_pnf,999999,0,261.9,555.2,3,5246,100.0,0.0,0
EUR_JPY,COL,hybrid,1,-5,202.6,253.7,3,5915,30.0,70.0,259
EUR_JPY,COL,hybrid,1,-2,224.7,235.3,3,6089,28.1,71.9,150
EUR_JPY,COL,hybrid,1,0,224.3,334.2,3,6053,27.4,72.6,101
EUR_JPY,COL,hybrid,5,-5,425.1,651.9,3,5563,77.4,22.7,82
EUR_JPY,COL,hybrid,5,-2,420.7,262.5,3,5483,77.1,22.9,33
EUR_JPY,COL,hybrid,5,0,420.2,262.5,3,5419,77.3,22.8,16
EUR_JPY,COL,hybrid,12,-5,254.3,577.2,3,5310,92.8,7.2,27
EUR_JPY,COL,hybrid,12,-2,253.9,578.1,3,5304,92.8,7.2,9
EUR_JPY,COL,hybrid,12,0,254.0,578.3,3,5286,93.0,7.1,4
EUR_JPY,COL,hybrid,24,-5,259.7,581.4,3,5310,98.2,1.9,10
EUR_JPY,COL,hybrid,24,-2,257.5,581.4,3,5280,98.2,1.9,4
EUR_JPY,COL,hybrid,24,0,257.5,581.4,3,5274,98.2,1.9,1
EUR_JPY,COL,hybrid,48,-5,262.1,554.9,3,5277,99.8,0.2,2
EUR_JPY,COL,hybrid,48,-2,262.1,554.9,3,5277,99.8,0.2,1
EUR_JPY,COL,hybrid,48,0,262.1,548.3,3,5271,99.8,0.2,0
