pair,ta,td,zw,tgt,sp_med,gate,ppd,cday,ppc,is_wf,oos_wf,boot_p5,prob_pos
AUD_USD,3,1,30.0,15.0,1.3,1.5,-159.6,10.1,-15.75,3,2,,
AUD_USD,4,1,30.0,15.0,1.3,1.5,169.2,7.1,23.91,3,3,72.3,1.0
AUD_USD,4,2,30.0,15.0,1.3,1.5,156.2,7.4,20.97,3,3,59.9,1.0
AUD_USD,5,1,30.0,15.0,1.3,1.5,153.9,6.5,23.78,3,3,61.1,1.0
AUD_USD,5,2,30.0,15.0,1.3,1.5,149.6,6.6,22.82,3,3,57.1,1.0
AUD_USD,5,3,30.0,15.0,1.3,1.5,132.0,6.8,19.43,3,3,47.6,1.0
AUD_USD,6,1,30.0,15.0,1.3,1.5,172.7,5.4,32.02,3,3,60.4,1.0
AUD_USD,6,2,30.0,15.0,1.3,1.5,173.0,5.1,33.93,2,3,,
AUD_USD,6,3,30.0,15.0,1.3,1.5,160.0,5.8,27.75,2,3,,
AUD_USD,7,1,30.0,15.0,1.3,1.5,90.4,4.8,18.65,2,3,,
AUD_USD,7,2,30.0,15.0,1.3,1.5,83.3,4.8,17.43,2,3,,
AUD_USD,7,3,30.0,15.0,1.3,1.5,-153.8,4.5,-34.19,3,2,,
AUD_USD,7,5,30.0,15.0,1.3,1.5,80.7,4.5,18.04,3,3,54.3,1.0
AUD_USD,8,1,30.0,15.0,1.3,1.5,142.4,4.1,34.99,2,3,,
AUD_USD,8,2,30.0,15.0,1.3,1.5,138.6,4.1,34.15,2,3,,
AUD_USD,8,3,30.0,15.0,1.3,1.5,131.6,4.0,32.63,2,3,,
AUD_USD,8,5,30.0,15.0,1.3,1.5,104.8,3.8,27.27,3,2,,
AUD_USD,10,1,30.0,15.0,1.3,1.5,-3.4,3.4,-1.01,3,2,,
AUD_USD,10,2,30.0,15.0,1.3,1.5,-4.2,3.4,-1.25,3,2,,
AUD_USD,10,3,30.0,15.0,1.3,1.5,55.5,3.4,16.25,3,3,42.8,1.0
AUD_USD,10,5,30.0,15.0,1.3,1.5,194.3,3.6,53.7,3,2,,
AUD_USD,10,7,30.0,15.0,1.3,1.5,-14.2,3.4,-4.23,2,2,,
AUD_USD,14,1,30.0,15.0,1.3,1.5,53.8,2.5,21.11,2,3,,
AUD_USD,14,2,30.0,15.0,1.3,1.5,47.5,2.7,17.78,3,3,28.3,1.0
AUD_USD,14,3,30.0,15.0,1.3,1.5,37.3,2.5,14.78,3,3,22.6,1.0
AUD_USD,14,5,30.0,15.0,1.3,1.5,49.1,2.5,19.46,3,3,28.4,1.0
AUD_USD,14,7,30.0,15.0,1.3,1.5,29.2,2.4,12.03,2,2,,
AUD_USD,20,1,30.0,15.0,1.3,1.5,28.6,2.4,12.13,2,2,,
AUD_USD,20,2,30.0,15.0,1.3,1.5,28.4,2.4,12.05,2,2,,
AUD_USD,20,3,30.0,15.0,1.3,1.5,28.2,2.4,11.96,2,2,,
AUD_USD,20,5,30.0,15.0,1.3,1.5,27.8,2.4,11.8,2,2,,
AUD_USD,20,7,30.0,15.0,1.3,1.5,27.4,2.4,11.64,2,2,,
AUD_USD,30,1,30.0,15.0,1.3,1.5,57.1,2.3,24.65,2,3,,
AUD_USD,30,2,30.0,15.0,1.3,1.5,57.0,2.3,24.63,2,3,,
AUD_USD,30,3,30.0,15.0,1.3,1.5,57.0,2.3,24.62,2,3,,
AUD_USD,30,5,30.0,15.0,1.3,1.5,56.9,2.3,24.59,2,3,,
AUD_USD,30,7,30.0,15.0,1.3,1.5,56.9,2.3,24.56,2,3,,
NZD_USD,3,1,25.0,12.5,1.5,1.7,-172.9,7.5,-22.9,2,2,,
NZD_USD,4,1,25.0,12.5,1.5,1.7,2.7,5.9,0.46,3,2,,
NZD_USD,4,2,25.0,12.5,1.5,1.7,-147.7,5.7,-25.81,3,2,,
NZD_USD,5,1,25.0,12.5,1.5,1.7,46.6,4.9,9.42,3,3,-62.6,0.766
NZD_USD,5,2,25.0,12.5,1.5,1.7,25.1,5.3,4.77,3,2,,
NZD_USD,5,3,25.0,12.5,1.5,1.7,-150.7,4.7,-32.2,2,1,,
NZD_USD,6,1,25.0,12.5,1.5,1.7,45.2,4.1,11.05,2,3,,
NZD_USD,6,2,25.0,12.5,1.5,1.7,-3.5,4.1,-0.84,2,2,,
NZD_USD,6,3,25.0,12.5,1.5,1.7,22.2,3.8,5.85,3,2,,
NZD_USD,7,1,25.0,12.5,1.5,1.7,-128.6,3.5,-36.62,3,2,,
NZD_USD,7,2,25.0,12.5,1.5,1.7,-173.1,3.6,-48.55,3,2,,
NZD_USD,7,3,25.0,12.5,1.5,1.7,-158.2,3.3,-48.36,3,2,,
NZD_USD,7,5,25.0,12.5,1.5,1.7,-94.1,3.3,-28.76,2,1,,
NZD_USD,8,1,25.0,12.5,1.5,1.7,-164.1,3.3,-50.28,3,2,,
NZD_USD,8,2,25.0,12.5,1.5,1.7,36.8,3.4,10.74,3,2,,
NZD_USD,8,3,25.0,12.5,1.5,1.7,38.9,3.3,11.96,3,2,,
NZD_USD,8,5,25.0,12.5,1.5,1.7,-59.3,3.1,-19.37,3,2,,
NZD_USD,10,1,25.0,12.5,1.5,1.7,145.5,2.8,52.16,3,2,,
NZD_USD,10,2,25.0,12.5,1.5,1.7,121.1,2.6,46.74,3,2,,
NZD_USD,10,3,25.0,12.5,1.5,1.7,-67.1,2.3,-28.64,3,3,-365.5,0.386
