f,mode,ppd,nc,is_wf,oos_wf,p5,p_pos,l1,l2,l3p,avg_legs,avg_ph,passed
0.0,-,-18706.3,3232,3,2,,,80.9,12.1,6.9,1.31,0.0,False
0.25,A,0.2,23,2,3,,,100.0,0.0,0.0,1.0,19.65,False
0.25,B,0.1,4,2,2,,,100.0,0.0,0.0,1.0,0.0,False
0.25,C,0.3,16,2,3,,,100.0,0.0,0.0,1.0,3.69,False
0.33,A,0.1,25,2,3,,,100.0,0.0,0.0,1.0,11.0,False
0.33,B,0.1,4,2,2,,,100.0,0.0,0.0,1.0,0.0,False
0.33,C,0.5,23,2,3,,,100.0,0.0,0.0,1.0,2.13,False
0.5,A,0.4,30,2,3,,,100.0,0.0,0.0,1.0,10.73,False
0.5,B,0.1,4,2,2,,,100.0,0.0,0.0,1.0,0.0,False
0.5,C,0.3,53,2,3,,,100.0,0.0,0.0,1.0,0.74,False
0.67,A,1.2,80,2,3,,,100.0,0.0,0.0,1.0,5.21,False
0.67,B,0.1,4,2,2,,,100.0,0.0,0.0,1.0,0.0,False
0.67,C,0.5,41,2,3,,,100.0,0.0,0.0,1.0,0.95,False
0.75,A,0.9,61,2,3,,,100.0,0.0,0.0,1.0,4.38,False
0.75,B,0.1,4,2,2,,,100.0,0.0,0.0,1.0,0.0,False
0.75,C,0.4,51,2,3,,,100.0,0.0,0.0,1.0,0.39,False
