pair,N,zw,tf,tgt,is_ppd,is_cpd,oos_ppd,oos_cpd,oos_ppc,avgl,wf,pip_usd,oos_usd_ppd
EUR_USD,3,30.0,0.25,7.5,239.86827132695691,4.752549268199992,-15.421375693649775,5.2105842718679485,-2.9596250418422554,1.232340140609307,1,0.0001,-0.0015421375693649775
AUD_USD,1,30.0,0.5,15.0,186.94613714310208,2.1032405629716306,30.30502038633353,1.511899003051586,20.044341801381243,1.533487297921478,3,0.0001,0.0030305020386333535
GBP_USD,6,30.0,0.5,15.0,304.34223430194226,3.444115445802394,240.11616557629796,2.9265348711230574,82.04794275495969,1.5175909361955873,3,0.0001,0.024011616557629796
NZD_USD,3,25.0,0.5,12.5,201.8928576625273,2.513693689573672,37.32198999859157,1.7426311168884083,21.41703406813522,1.506012024048096,3,0.0001,0.003732198999859157
EUR_GBP,3,40.0,0.5,20.0,353.7669416931081,0.5285325445077169,27.578583965956547,0.38375300261286377,71.86545454545477,1.45,3,0.000126,0.003474901579710525
EUR_JPY,1,50.0,0.5,25.0,344.98170744999646,2.38684605872844,218.4257649405861,2.595389704537499,84.15913978494794,1.5053763440860215,2,6.4e-05,0.01397924895619751
CHF_JPY,1,40.0,0.5,20.0,614.7799916698884,3.09920866305706,357.5017996687182,4.070519322600513,87.82707348514016,1.4447786850021487,3,0.000107,0.03825269256455285
NZD_JPY,1,40.0,0.5,20.0,403.60149072655247,1.8456851938084702,136.62318457882586,1.9308934718726307,70.75645889792415,1.4878048780487805,3,6.1e-05,0.008334014259308378
AUD_JPY,3,50.0,0.5,25.0,569.4842987707486,1.3677086429512926,50.878851991536635,1.7045834160417144,29.848261758690917,1.4550102249488752,3,6.7e-05,0.0034088830834329547
CAD_JPY,2,50.0,0.25,12.5,420.4276469043748,3.0533578074561682,24.110664682960557,3.233651670635291,7.456172506738711,1.2345013477088949,2,6.9e-05,0.0016636358631242783
USD_JPY,1,40.0,0.5,20.0,397.45328004021354,2.9806080434594135,296.1443543736025,4.257950101995824,69.55092175335523,1.4567800081933633,3,6.4e-05,0.01895323867991056
GBP_JPY,1,50.0,1.0,50.0,281.1943573114724,1.4396638045085477,-104.42813562275946,1.6194543711322236,-64.48353067814419,2.023681377825619,2,9.1e-05,-0.009502960341671111
