f,mode,ppd,nc,is_wf,oos_wf,p5,p_pos,l1,l2,l3p,avg_legs,avg_ph,passed
0.0,-,7180.2,3753,3,3,1644.9,1.0,83.8,8.1,8.1,1.32,0.0,True
0.25,A,-11751.4,3133,3,1,,,76.6,11.7,11.7,1.46,2.77,False
0.25,B,3294.3,2385,2,2,,,58.9,18.7,22.4,1.88,0.43,False
0.25,C,-11818.8,3113,1,1,,,74.9,13.3,11.8,1.48,0.76,False
0.33,A,1534.1,3243,2,2,,,77.6,11.5,10.9,1.44,2.54,False
0.33,B,4329.5,2527,1,2,,,62.8,17.3,19.9,1.78,0.39,False
0.33,C,-1990.3,3177,2,1,,,76.0,12.1,11.8,1.48,0.53,False
0.5,A,2314.4,3489,1,3,,,81.0,9.7,9.3,1.38,1.91,False
0.5,B,-1107.3,2923,1,2,,,72.0,14.0,14.1,1.56,0.3,False
0.5,C,2252.9,3511,3,3,1189.3,1.0,80.9,9.9,9.2,1.37,0.35,True
0.67,A,2635.1,3601,3,3,1294.3,1.0,82.3,9.0,8.7,1.35,1.3,True
0.67,B,1587.3,3275,1,2,,,78.0,10.8,11.2,1.45,0.23,False
0.67,C,1662.7,3275,1,3,,,78.0,11.1,10.9,1.44,0.23,False
0.75,A,2676.5,3715,3,3,1267.3,1.0,83.2,8.5,8.3,1.34,0.96,True
0.75,B,-2107.4,3485,1,2,,,80.4,9.8,9.8,1.39,0.2,False
0.75,C,453.9,3485,1,2,,,80.4,9.9,9.7,1.39,0.2,False
