pair,box_pips,reversal,direction,obs_ppd,n_cycles,perm_null_median,perm_null_p95,p_value,boot_p5,boot_p25,boot_median,boot_p75,boot_p95,sharpe,prob_pos,gate_perm,gate_p5,gate_prob,gates
USD_JPY,5,2.0,alt,1335.3,3391,69.8,483.6,0.006,-62.0,390.0,1187.0,2020.0,3513.0,1.18,0.928,1,0,0,1
NZD_JPY,5,4.0,alt,1206.6,1549,45.0,310.3,0.0,43.0,153.0,1175.0,2186.0,3343.0,1.11,1.0,1,1,1,3
CHF_JPY,10,3.0,alt,1113.4,1934,59.6,418.5,0.0305,-16.0,50.0,1103.0,2125.0,3286.0,1.03,0.921,1,0,0,1
NZD_JPY,10,3.0,alt,1119.5,875,21.0,114.9,0.0005,19.0,44.0,1116.0,2177.0,3280.0,1.03,1.0,1,1,1,3
EUR_JPY,5,4.0,alt,511.2,3115,100.0,465.0,0.015,96.0,139.0,499.0,862.0,1265.0,1.33,1.0,1,1,1,3
AUD_JPY,5,2.0,alt,494.9,2970,78.7,483.1,0.046,80.0,126.0,484.0,846.0,1264.0,1.3,1.0,1,1,1,3
AUD_JPY,5,3.0,alt,426.2,2464,63.9,463.1,0.1155,29.0,50.0,422.0,783.0,1188.0,1.11,0.999,0,1,1,2
AUD_JPY,15,2.0,col,1469.7,1010,24.6,406.4,0.0095,18.0,30.0,1467.0,2903.0,4357.0,1.04,1.0,1,1,1,3
AUD_JPY,10,3.0,col,1466.5,1126,27.9,408.7,0.0175,19.0,26.0,1465.0,2904.0,4351.0,0.98,1.0,1,1,1,3
NZD_JPY,5,4.0,col,1133.9,1452,45.9,307.7,0.0035,31.0,57.0,1125.0,2188.0,3289.0,1.04,1.0,1,1,1,3
NZD_JPY,10,3.0,col,1107.5,848,21.2,159.0,0.0015,20.0,31.0,1104.0,2178.0,3265.0,1.03,1.0,1,1,1,3
NZD_JPY,10,4.0,col,1089.2,574,12.8,93.8,0.003,8.0,11.0,1089.0,2167.0,3248.0,1.06,1.0,1,1,1,3
CHF_JPY,5,3.0,col,679.9,4300,166.9,1177.6,0.076,249.0,453.0,638.0,875.0,1238.0,2.18,1.0,0,1,1,2
CHF_JPY,5,2.0,col,652.2,5319,209.2,1216.5,0.095,236.0,419.0,607.0,822.0,1228.0,2.11,1.0,0,1,1,2
EUR_JPY,5,4.0,col,533.7,3054,103.8,468.6,0.019,106.0,169.0,514.0,874.0,1300.0,1.37,1.0,1,1,1,3
GBP_USD,5,2.0,col,264.2,2105,62.6,251.0,0.044,60.0,84.0,258.0,434.0,640.0,1.42,1.0,1,1,1,3
CHF_JPY,15,1.5,alt,1163.3,2477,80.4,455.1,0.0195,-10.0,112.0,1119.0,2076.0,3302.0,1.05,0.936,1,0,0,1
NZD_JPY,15,2.5,alt,1087.2,614,13.7,90.4,0.0025,5.0,9.0,1087.0,2164.0,3247.0,1.0,0.998,1,1,1,3
EUR_JPY,5,1.5,alt,557.2,5232,168.8,576.7,0.065,129.0,184.0,533.0,879.0,1322.0,1.43,1.0,0,1,1,2
EUR_JPY,5,1.5,col,553.0,5161,169.3,587.0,0.074,136.0,185.0,542.0,899.0,1317.0,1.46,1.0,0,1,1,2
CHF_JPY,5,1.5,col,674.0,5872,257.7,1257.5,0.1055,254.0,427.0,629.0,856.0,1265.0,2.13,1.0,0,1,1,2
AUD_JPY,5,2.0,col,490.8,2939,81.0,495.3,0.052,77.0,120.0,482.0,840.0,1254.0,1.3,1.0,0,1,1,2
AUD_JPY,5,2.5,col,481.7,2793,75.3,487.8,0.0525,70.0,110.0,471.0,834.0,1242.0,1.28,1.0,0,1,1,2
AUD_JPY,5,1.5,alt,481.0,3127,90.6,501.6,0.0605,82.0,105.0,474.0,840.0,1242.0,1.23,1.0,0,1,1,2
AUD_JPY,10,1.0,col,473.9,2709,77.8,546.1,0.0645,58.0,100.0,458.0,798.0,1222.0,1.23,1.0,0,1,1,2
AUD_JPY,5,1.5,col,470.9,3180,88.2,496.2,0.0805,74.0,96.0,466.0,842.0,1235.0,1.24,1.0,0,1,1,2
