pair,box_pips,reversal,direction,is_ppd,oos_ppd,wf,n_cycles,vs_random,random_base_ppd
CHF_JPY,5,1.0,alt,190.4,-18284.7,2,6402,-18642.2,357.5
CHF_JPY,5,1.0,col,286.3,343.0,3,6352,-14.5,357.5
CHF_JPY,5,1.5,alt,276.5,-17917.5,3,5954,-18275.0,357.5
CHF_JPY,5,1.5,col,201.8,648.5,3,5872,291.0,357.5
CHF_JPY,5,2.0,alt,103.6,436.6,3,5418,79.1,357.5
CHF_JPY,5,2.0,col,249.0,652.2,3,5319,294.7,357.5
CHF_JPY,5,2.5,alt,131.3,279.0,3,5009,-78.5,357.5
CHF_JPY,5,2.5,col,142.4,212.3,3,4980,-145.2,357.5
CHF_JPY,5,3.0,alt,225.1,308.7,3,4489,-48.8,357.5
CHF_JPY,5,3.0,col,228.4,679.9,3,4300,322.4,357.5
CHF_JPY,10,1.0,alt,64.9,-18258.6,3,5031,-18616.1,357.5
CHF_JPY,10,1.0,col,141.5,349.1,3,4940,-8.4,357.5
CHF_JPY,10,1.5,alt,149.9,141.3,2,3973,-216.2,357.5
CHF_JPY,10,1.5,col,212.6,506.3,2,3918,148.8,357.5
CHF_JPY,10,2.0,alt,90.7,49.1,2,3119,-308.4,357.5
CHF_JPY,10,2.0,col,92.9,-8.0,2,2990,-365.5,357.5
CHF_JPY,10,2.5,alt,83.0,206.0,3,2429,-151.5,357.5
CHF_JPY,10,2.5,col,63.4,136.2,3,2343,-221.3,357.5
CHF_JPY,10,3.0,alt,78.0,1113.4,3,1934,755.9,357.5
CHF_JPY,10,3.0,col,51.1,44.3,3,1863,-313.2,357.5
CHF_JPY,15,1.0,alt,192.8,245.7,2,3606,-111.8,357.5
CHF_JPY,15,1.0,col,236.7,171.5,3,3491,-186.0,357.5
CHF_JPY,15,1.5,alt,102.6,1163.3,3,2477,805.8,357.5
CHF_JPY,15,1.5,col,70.4,66.8,2,2345,-290.7,357.5
CHF_JPY,15,2.0,alt,77.8,60.1,3,1830,-297.4,357.5
CHF_JPY,15,2.0,col,43.3,40.4,3,1749,-317.1,357.5
CHF_JPY,15,2.5,alt,13.5,85.2,2,1328,-272.3,357.5
CHF_JPY,15,2.5,col,-18.3,337.5,1,1263,-20.0,357.5
CHF_JPY,15,3.0,alt,-12.0,343.2,3,1009,-14.3,357.5
CHF_JPY,15,3.0,col,54.2,359.7,3,942,2.2,357.5
USD_JPY,5,1.0,alt,-24.8,292.5,2,3881,-3.6,296.1
USD_JPY,5,1.0,col,-11.1,54.3,3,3822,-241.8,296.1
USD_JPY,5,1.5,alt,63.0,39.3,2,3663,-256.8,296.1
USD_JPY,5,1.5,col,38.0,37.0,1,3617,-259.1,296.1
USD_JPY,5,2.0,alt,109.8,1335.3,3,3391,1039.2,296.1
USD_JPY,5,2.0,col,60.2,1305.1,2,3359,1009.0,296.1
USD_JPY,5,2.5,alt,121.2,-1641.6,2,3261,-1937.7,296.1
USD_JPY,5,2.5,col,64.7,-1636.3,2,3171,-1932.4,296.1
USD_JPY,5,3.0,alt,1.1,367.2,2,2983,71.1,296.1
USD_JPY,5,3.0,col,-30.7,360.2,2,2941,64.1,296.1
USD_JPY,10,1.0,alt,442.2,1532.7,2,3285,1236.6,296.1
USD_JPY,10,1.0,col,11.8,1451.7,2,3233,1155.6,296.1
USD_JPY,10,1.5,alt,18.5,102.7,3,2817,-193.4,296.1
USD_JPY,10,1.5,col,-14.1,74.4,3,2735,-221.7,296.1
USD_JPY,10,2.0,alt,125.0,-1798.4,3,2353,-2094.5,296.1
USD_JPY,10,2.0,col,106.0,-1697.0,3,2227,-1993.1,296.1
USD_JPY,10,2.5,alt,51.4,144.4,3,1949,-151.7,296.1
USD_JPY,10,2.5,col,56.8,169.4,3,1883,-126.7,296.1
USD_JPY,10,3.0,alt,54.2,142.9,2,1621,-153.2,296.1
USD_JPY,10,3.0,col,-1.6,157.5,3,1587,-138.6,296.1
USD_JPY,15,1.0,alt,11.0,147.9,3,2539,-148.2,296.1
USD_JPY,15,1.0,col,55.5,138.2,3,2492,-157.9,296.1
USD_JPY,15,1.5,alt,25.9,57.2,3,1918,-238.9,296.1
USD_JPY,15,1.5,col,7.2,53.2,3,1871,-242.9,296.1
USD_JPY,15,2.0,alt,28.5,75.0,2,1536,-221.1,296.1
USD_JPY,15,2.0,col,23.6,129.8,2,1402,-166.3,296.1
USD_JPY,15,2.5,alt,28.1,122.7,3,1194,-173.4,296.1
