pair,box_pips,reversal,direction,is_ppd,oos_ppd,wf,n_cycles,trail_pct,avg_legs,vs_random,random_base_ppd
CHF_JPY,5,2,alternating,103.6,436.6,3,5418,89.1,1.17,79.1,357.5
CHF_JPY,5,2,column,249.0,652.2,3,5319,88.7,1.17,294.7,357.5
CHF_JPY,5,3,alternating,225.1,308.7,3,4489,89.6,1.15,-48.8,357.5
CHF_JPY,5,3,column,228.4,679.9,3,4300,88.8,1.16,322.4,357.5
CHF_JPY,5,4,alternating,-7717.2,335.7,2,3513,88.9,1.17,-21.8,357.5
CHF_JPY,5,4,column,9.5,427.0,2,3442,89.2,1.16,69.5,357.5
CHF_JPY,10,2,alternating,90.7,49.1,2,3119,89.4,1.16,-308.4,357.5
CHF_JPY,10,2,column,92.9,-8.0,2,2990,88.9,1.17,-365.5,357.5
CHF_JPY,10,3,alternating,78.0,1113.4,3,1934,89.2,1.17,755.9,357.5
CHF_JPY,10,3,column,51.1,44.3,3,1863,88.4,1.18,-313.2,357.5
CHF_JPY,10,4,alternating,-28.1,66.5,3,1340,88.1,1.16,-291.0,357.5
CHF_JPY,10,4,column,9.2,311.4,2,1234,87.5,1.19,-46.1,357.5
CHF_JPY,15,2,alternating,77.8,60.1,3,1830,89.1,1.16,-297.4,357.5
CHF_JPY,15,2,column,43.3,40.4,3,1749,88.5,1.17,-317.1,357.5
CHF_JPY,15,3,alternating,-12.0,343.2,3,1009,88.3,1.18,-14.3,357.5
CHF_JPY,15,3,column,54.2,359.7,3,942,85.9,1.25,2.2,357.5
CHF_JPY,15,4,alternating,9.6,11.7,3,599,89.0,1.17,-345.8,357.5
CHF_JPY,15,4,column,16.4,38.3,3,580,88.1,1.19,-319.2,357.5
CHF_JPY,20,2,alternating,10.5,34.9,2,1127,88.5,1.17,-322.6,357.5
CHF_JPY,20,2,column,56.5,312.7,3,1055,88.2,1.19,-44.8,357.5
CHF_JPY,20,3,alternating,40.1,36.3,3,563,89.9,1.14,-321.2,357.5
CHF_JPY,20,3,column,8.3,36.0,3,553,88.4,1.19,-321.5,357.5
CHF_JPY,20,4,alternating,44.1,8.3,3,362,89.0,1.16,-349.2,357.5
CHF_JPY,20,4,column,7.3,-28.1,3,361,88.9,1.19,-385.6,357.5
USD_JPY,5,2,alternating,109.8,1335.3,3,3391,79.0,1.3,1039.2,296.1
USD_JPY,5,2,column,60.2,1305.1,2,3359,78.8,1.3,1009.0,296.1
USD_JPY,5,3,alternating,1.1,367.2,2,2983,79.1,1.3,71.1,296.1
USD_JPY,5,3,column,-30.7,360.2,2,2941,78.4,1.3,64.1,296.1
USD_JPY,5,4,alternating,53.4,72.0,2,2507,78.5,1.31,-224.1,296.1
USD_JPY,5,4,column,79.9,70.2,2,2450,77.8,1.32,-225.9,296.1
USD_JPY,10,2,alternating,125.0,-1798.4,3,2353,79.1,1.29,-2094.5,296.1
USD_JPY,10,2,column,106.0,-1697.0,3,2227,77.5,1.33,-1993.1,296.1
USD_JPY,10,3,alternating,54.2,142.9,2,1621,78.2,1.32,-153.2,296.1
USD_JPY,10,3,column,-1.6,157.5,3,1587,78.9,1.31,-138.6,296.1
USD_JPY,10,4,alternating,5.3,26.9,3,1220,81.7,1.26,-269.2,296.1
USD_JPY,10,4,column,2.5,106.8,2,1103,78.2,1.31,-189.3,296.1
USD_JPY,15,2,alternating,28.5,75.0,2,1536,79.8,1.28,-221.1,296.1
USD_JPY,15,2,column,23.6,129.8,2,1402,76.7,1.33,-166.3,296.1
USD_JPY,15,3,alternating,10.2,30.8,3,924,79.9,1.28,-265.3,296.1
USD_JPY,15,3,column,6.7,25.9,2,873,81.6,1.26,-270.2,296.1
USD_JPY,15,4,alternating,24.6,20.0,3,650,80.5,1.26,-276.1,296.1
USD_JPY,15,4,column,-3.8,58.4,2,604,79.5,1.31,-237.7,296.1
USD_JPY,20,2,alternating,32.1,41.9,3,1062,80.7,1.25,-254.2,296.1
USD_JPY,20,2,column,4.1,99.8,2,956,80.4,1.28,-196.3,296.1
USD_JPY,20,3,alternating,18.4,41.0,3,590,76.8,1.31,-255.1,296.1
USD_JPY,20,3,column,8.7,40.3,2,574,81.0,1.29,-255.8,296.1
USD_JPY,20,4,alternating,-5.4,21.1,2,390,81.0,1.28,-275.0,296.1
USD_JPY,20,4,column,-20.2,5.8,2,385,84.4,1.22,-290.3,296.1
GBP_USD,5,2,alternating,-453.4,72.9,3,2099,66.0,1.4,-167.2,240.1
GBP_USD,5,2,column,-587.8,264.2,3,2105,65.8,1.39,24.1,240.1
GBP_USD,5,3,alternating,256.0,77.3,3,1805,67.8,1.35,-162.8,240.1
GBP_USD,5,3,column,-236.4,82.1,2,1754,67.0,1.37,-158.0,240.1
GBP_USD,5,4,alternating,351.3,77.4,3,1452,67.1,1.37,-162.7,240.1
GBP_USD,5,4,column,225.6,38.3,3,1455,67.6,1.36,-201.8,240.1
GBP_USD,10,2,alternating,187.9,81.2,3,1383,67.8,1.35,-158.9,240.1
GBP_USD,10,2,column,178.1,51.0,3,1341,68.2,1.36,-189.1,240.1
GBP_USD,10,3,alternating,129.3,131.3,2,958,68.0,1.34,-108.8,240.1
GBP_USD,10,3,column,70.4,218.9,3,920,69.6,1.31,-21.2,240.1
GBP_USD,10,4,alternating,-24.1,-82.3,2,678,66.1,1.36,-322.4,240.1
GBP_USD,10,4,column,38.7,9.2,3,632,66.8,1.37,-230.9,240.1
GBP_USD,15,2,alternating,45.1,0.5,2,858,68.4,1.33,-239.6,240.1
GBP_USD,15,2,column,52.7,14.9,3,818,69.3,1.31,-225.2,240.1
GBP_USD,15,3,alternating,22.0,6.6,2,519,67.6,1.37,-233.5,240.1
GBP_USD,15,3,column,26.6,13.3,3,488,68.2,1.37,-226.8,240.1
GBP_USD,15,4,alternating,16.3,11.6,3,336,69.3,1.31,-228.5,240.1
GBP_USD,15,4,column,6.1,3.7,2,333,68.8,1.37,-236.4,240.1
GBP_USD,20,2,alternating,-10.6,-64.2,2,575,69.4,1.35,-304.3,240.1
GBP_USD,20,2,column,37.2,20.1,3,527,68.1,1.35,-220.0,240.1
GBP_USD,20,3,alternating,0.1,2.6,3,303,68.3,1.38,-237.5,240.1
GBP_USD,20,3,column,-1.4,8.2,2,307,69.4,1.38,-231.9,240.1
GBP_USD,20,4,alternating,-20.1,5.9,1,185,67.0,1.37,-234.2,240.1
GBP_USD,20,4,column,-1.4,0.6,2,182,66.5,1.4,-239.5,240.1
EUR_JPY,5,2,alternating,939.2,258.4,2,4720,90.8,1.13,40.0,218.4
EUR_JPY,5,2,column,940.7,161.6,3,4650,90.7,1.13,-56.8,218.4
EUR_JPY,5,3,alternating,41.4,138.4,3,3909,91.1,1.13,-80.0,218.4
EUR_JPY,5,3,column,137.9,202.0,3,3905,91.2,1.13,-16.4,218.4
EUR_JPY,5,4,alternating,51.4,511.2,3,3115,91.1,1.13,292.8,218.4
EUR_JPY,5,4,column,76.8,533.7,3,3054,91.3,1.13,315.3,218.4
EUR_JPY,10,2,alternating,-196.8,143.7,2,2803,90.9,1.14,-74.7,218.4
EUR_JPY,10,2,column,-172.0,156.9,2,2673,90.3,1.15,-61.5,218.4
EUR_JPY,10,3,alternating,-170.4,42.5,3,1908,90.8,1.13,-175.9,218.4
EUR_JPY,10,3,column,-180.8,44.8,1,1831,90.4,1.13,-173.6,218.4
EUR_JPY,10,4,alternating,42.4,15.8,3,1333,91.1,1.11,-202.6,218.4
EUR_JPY,10,4,column,-30.5,37.4,2,1261,90.1,1.14,-181.0,218.4
EUR_JPY,15,2,alternating,-169.2,18.1,3,1743,90.6,1.13,-200.3,218.4
EUR_JPY,15,2,column,-177.5,41.1,2,1682,89.9,1.14,-177.3,218.4
EUR_JPY,15,3,alternating,15.1,40.9,2,1021,90.5,1.14,-177.5,218.4
EUR_JPY,15,3,column,25.5,135.0,3,979,90.4,1.15,-83.4,218.4
EUR_JPY,15,4,alternating,22.9,56.3,3,631,91.0,1.14,-162.1,218.4
EUR_JPY,15,4,column,15.6,149.0,3,611,91.0,1.14,-69.4,218.4
EUR_JPY,20,2,alternating,8.6,24.5,2,1122,90.0,1.14,-193.9,218.4
EUR_JPY,20,2,column,44.0,139.8,3,1064,89.1,1.17,-78.6,218.4
EUR_JPY,20,3,alternating,-45.7,59.6,2,577,90.3,1.17,-158.8,218.4
EUR_JPY,20,3,column,16.1,115.4,3,577,91.0,1.13,-103.0,218.4
EUR_JPY,20,4,alternating,3.5,19.1,2,383,90.9,1.15,-199.3,218.4
EUR_JPY,20,4,column,-9755.1,18.8,3,383,90.9,1.14,-199.6,218.4
NZD_JPY,5,2,alternating,200.0,131.5,3,2609,88.2,1.16,-5.1,136.6
NZD_JPY,5,2,column,217.6,75.3,3,2533,88.3,1.16,-61.3,136.6
NZD_JPY,5,3,alternating,46.0,217.2,3,1865,86.0,1.21,80.6,136.6
NZD_JPY,5,3,column,67.7,162.3,3,1875,86.8,1.19,25.7,136.6
NZD_JPY,5,4,alternating,43.7,1206.6,3,1549,88.0,1.18,1070.0,136.6
NZD_JPY,5,4,column,19.9,1133.9,3,1452,86.8,1.2,997.3,136.6
NZD_JPY,10,2,alternating,36.2,47.1,3,1375,89.1,1.16,-89.5,136.6
NZD_JPY,10,2,column,22.7,54.1,3,1285,87.3,1.19,-82.5,136.6
NZD_JPY,10,3,alternating,20.3,1119.5,3,875,87.8,1.19,982.9,136.6
NZD_JPY,10,3,column,16.3,1107.5,3,848,88.7,1.18,970.9,136.6
NZD_JPY,10,4,alternating,42.1,82.5,3,587,85.9,1.21,-54.1,136.6
NZD_JPY,10,4,column,9.0,1089.2,3,574,90.2,1.14,952.6,136.6
NZD_JPY,15,2,alternating,-81.9,129.5,3,821,87.6,1.18,-7.1,136.6
NZD_JPY,15,2,column,23.8,20.8,3,779,89.7,1.15,-115.8,136.6
NZD_JPY,15,3,alternating,4.3,7.5,3,484,88.8,1.14,-129.1,136.6
NZD_JPY,15,3,column,14.3,8.7,3,449,86.0,1.17,-127.9,136.6
NZD_JPY,15,4,alternating,11.0,6.9,3,298,87.9,1.17,-129.7,136.6
NZD_JPY,15,4,column,7.5,1085.4,2,287,88.5,1.21,948.8,136.6
NZD_JPY,20,2,alternating,593.6,80.4,3,538,89.2,1.15,-56.2,136.6
NZD_JPY,20,2,column,3.3,15.1,3,498,89.4,1.15,-121.5,136.6
NZD_JPY,20,3,alternating,7.8,1089.7,3,268,89.6,1.2,953.1,136.6
NZD_JPY,20,3,column,5.3,1090.2,2,271,92.6,1.14,953.6,136.6
NZD_JPY,20,4,alternating,6.3,2.0,3,182,89.0,1.14,-134.6,136.6
NZD_JPY,20,4,column,4.5,-1.8,3,181,87.8,1.15,-138.4,136.6
AUD_JPY,5,2,alternating,71.9,494.9,3,2970,90.3,1.14,444.0,50.9
AUD_JPY,5,2,column,74.0,490.8,3,2939,89.9,1.14,439.9,50.9
AUD_JPY,5,3,alternating,67.7,426.2,3,2464,90.6,1.13,375.3,50.9
AUD_JPY,5,3,column,69.1,447.5,3,2496,90.6,1.13,396.6,50.9
AUD_JPY,5,4,alternating,38.7,52.1,3,2022,90.1,1.14,1.2,50.9
AUD_JPY,5,4,column,43.4,59.5,3,1913,89.3,1.15,8.6,50.9
AUD_JPY,10,2,alternating,34.9,52.6,3,1776,89.7,1.15,1.7,50.9
AUD_JPY,10,2,column,35.1,53.0,3,1710,89.1,1.16,2.1,50.9
AUD_JPY,10,3,alternating,25.7,37.0,3,1139,89.1,1.16,-13.9,50.9
AUD_JPY,10,3,column,70.0,1466.5,3,1126,89.3,1.15,1415.6,50.9
AUD_JPY,10,4,alternating,14.1,50.2,3,799,89.2,1.16,-0.7,50.9
AUD_JPY,10,4,column,28.1,22.0,3,779,89.9,1.14,-28.9,50.9
AUD_JPY,15,2,alternating,24.2,54.3,3,1024,89.0,1.16,3.4,50.9
AUD_JPY,15,2,column,65.0,1469.7,3,1010,88.4,1.16,1418.8,50.9
AUD_JPY,15,3,alternating,23.4,16.4,3,610,90.5,1.14,-34.5,50.9
AUD_JPY,15,3,column,9.1,18.9,3,605,91.4,1.11,-32.0,50.9
