pair,ta,td,zw,tgt,sp_med,gate,skip_pct,ppd,cday,ppc,trail_pct,wf,boot_p5,prob_pos
AUD_USD,3,1,30.0,15.0,1.3,1.5,17.7,-159.6,10.1,-15.75,91.4,3,-629.4,0.358
AUD_USD,4,1,30.0,15.0,1.3,1.5,16.7,169.2,7.1,23.91,88.2,3,70.8,1.0
AUD_USD,4,2,30.0,15.0,1.3,1.5,15.6,156.2,7.4,20.97,88.8,3,59.0,1.0
AUD_USD,5,1,30.0,15.0,1.3,1.5,21.3,153.9,6.5,23.78,87.1,3,60.4,1.0
AUD_USD,5,2,30.0,15.0,1.3,1.5,21.0,149.6,6.6,22.82,87.3,3,56.0,1.0
AUD_USD,5,3,30.0,15.0,1.3,1.5,22.8,132.0,6.8,19.43,88.0,3,46.6,1.0
AUD_USD,6,1,30.0,15.0,1.3,1.5,20.3,172.7,5.4,32.02,84.8,3,61.2,1.0
AUD_USD,6,2,30.0,15.0,1.3,1.5,22.4,173.0,5.1,33.93,83.9,2,,
AUD_USD,6,3,30.0,15.0,1.3,1.5,21.4,160.0,5.8,27.75,85.6,2,,
AUD_USD,7,1,30.0,15.0,1.3,1.5,21.7,90.4,4.8,18.65,82.5,2,,
AUD_USD,7,2,30.0,15.0,1.3,1.5,20.4,83.3,4.8,17.43,82.4,2,,
AUD_USD,7,3,30.0,15.0,1.3,1.5,20.0,-153.8,4.5,-34.19,81.8,3,-623.0,0.368
AUD_USD,7,5,30.0,15.0,1.3,1.5,23.3,80.7,4.5,18.04,79.3,3,53.3,1.0
AUD_USD,8,1,30.0,15.0,1.3,1.5,22.9,142.4,4.1,34.99,79.2,2,,
AUD_USD,8,2,30.0,15.0,1.3,1.5,22.9,138.6,4.1,34.15,78.9,2,,
AUD_USD,8,3,30.0,15.0,1.3,1.5,23.2,131.6,4.0,32.63,79.5,2,,
AUD_USD,8,5,30.0,15.0,1.3,1.5,23.5,104.8,3.8,27.27,73.8,3,-6.9,0.922
AUD_USD,10,1,30.0,15.0,1.3,1.5,24.1,-3.4,3.4,-1.01,76.2,3,-131.8,0.467
AUD_USD,10,2,30.0,15.0,1.3,1.5,22.8,-4.2,3.4,-1.25,75.8,3,-132.1,0.454
AUD_USD,10,3,30.0,15.0,1.3,1.5,25.8,55.5,3.4,16.25,76.2,3,42.8,1.0
AUD_USD,10,5,30.0,15.0,1.3,1.5,25.1,194.3,3.6,53.7,71.2,3,34.6,1.0
AUD_USD,10,7,30.0,15.0,1.3,1.5,26.7,-14.2,3.4,-4.23,59.6,2,,
AUD_USD,14,1,30.0,15.0,1.3,1.5,25.1,53.8,2.5,21.11,70.4,2,,
AUD_USD,14,2,30.0,15.0,1.3,1.5,23.8,47.5,2.7,17.78,70.8,3,29.2,1.0
AUD_USD,14,3,30.0,15.0,1.3,1.5,25.3,37.3,2.5,14.78,66.9,3,22.9,1.0
AUD_USD,14,5,30.0,15.0,1.3,1.5,21.4,49.1,2.5,19.46,51.3,3,27.2,1.0
AUD_USD,14,7,30.0,15.0,1.3,1.5,32.6,29.2,2.4,12.03,38.7,2,,
AUD_USD,20,1,30.0,15.0,1.3,1.5,20.9,28.6,2.4,12.13,8.2,2,,
AUD_USD,20,2,30.0,15.0,1.3,1.5,20.9,28.4,2.4,12.05,8.2,2,,
AUD_USD,20,3,30.0,15.0,1.3,1.5,20.9,28.2,2.4,11.96,8.2,2,,
AUD_USD,20,5,30.0,15.0,1.3,1.5,20.9,27.8,2.4,11.8,8.2,2,,
AUD_USD,20,7,30.0,15.0,1.3,1.5,20.9,27.4,2.4,11.64,7.9,2,,
AUD_USD,30,1,30.0,15.0,1.3,1.5,23.9,57.1,2.3,24.65,1.4,2,,
AUD_USD,30,2,30.0,15.0,1.3,1.5,23.9,57.0,2.3,24.63,1.4,2,,
AUD_USD,30,3,30.0,15.0,1.3,1.5,23.9,57.0,2.3,24.62,1.4,2,,
