pair,window,N,ZW,tgt_f,tgt,ta,td,ppd,ref_ppd,delta,n_cycles
CHF_JPY,1,12,35,0.5,17.5,30,3,6094.1,294.9,5799.3,384
CHF_JPY,2,3,55,0.5,27.5,30,3,9866.1,254.5,9611.6,219
CHF_JPY,3,2,40,0.25,10.0,7,5,173725.8,3628.4,170097.4,1402
CHF_JPY,4,6,60,0.25,15.0,10,5,10992.6,236.5,10756.2,322
CHF_JPY,5,2,45,0.5,22.5,14,7,4629.5,156.8,4472.7,327
CHF_JPY,6,2,25,0.5,12.5,14,10,3525.8,1911.2,1614.6,890
GBP_USD,1,1,50,0.25,12.5,10,5,1224.4,-75.1,1299.5,353
GBP_USD,2,3,20,0.25,5.0,30,3,15937.4,4319.9,11617.5,1199
GBP_USD,3,2,40,0.5,20.0,14,5,6607.6,140.5,6467.1,366
GBP_USD,4,1,50,1.0,50.0,7,3,719.3,51.2,668.1,150
GBP_USD,5,1,40,0.25,10.0,5,3,4250.8,91.2,4159.6,669
GBP_USD,6,3,20,0.5,10.0,30,3,1894.8,343.5,1551.3,714
USD_JPY,1,3,40,0.5,20.0,20,10,6627.0,1871.9,4755.1,483
USD_JPY,2,12,45,0.5,22.5,20,10,7692.4,81.6,7610.8,276
USD_JPY,3,2,30,0.5,15.0,7,3,4535.5,221.5,4314.0,1560
USD_JPY,4,12,35,0.5,17.5,20,3,5737.5,573.6,5163.9,257
USD_JPY,5,1,50,0.25,12.5,14,3,1275.9,254.3,1021.6,409
USD_JPY,6,6,30,0.5,15.0,14,10,2423.4,533.3,1890.1,463
