pair,signal,ppd,ppc,entry_rate,trail_pct,zr_pct,avg_legs,wf,n_cycles
CHF_JPY,no_signal,0.0,1.3,0.0,100.0,0.0,1.0,3,1
CHF_JPY,h1_sma5_filter,30.2,4.7,2.5,99.2,0.6,1.01,3,2653
CHF_JPY,h1_sma5_only,329.5,15.7,100.0,91.1,8.7,1.14,3,8574
CHF_JPY,h1_sma10_filter,19.3,4.6,1.5,99.4,0.3,1.0,3,1711
CHF_JPY,h1_sma10_only,410.9,20.3,100.0,90.5,9.3,1.15,3,8254
CHF_JPY,h1_sma20_filter,13.9,5.0,1.0,99.8,0.0,1.0,3,1135
CHF_JPY,h1_sma20_only,341.4,17.2,100.0,90.1,9.6,1.15,3,8123
CHF_JPY,m5_sma5_filter,-15439.7,-1102.6,22.3,88.6,11.1,1.17,2,5718
CHF_JPY,m5_sma5_only,-18807.7,-1030.2,99.9,88.6,11.0,1.17,2,7455
CHF_JPY,m5_sma10_filter,1291.6,105.9,13.5,89.3,10.2,1.16,3,4982
CHF_JPY,m5_sma10_only,243.2,13.1,100.0,88.9,10.8,1.17,3,7575
CHF_JPY,m5_sma20_filter,-15579.6,-1550.9,8.2,89.0,10.5,1.16,2,4102
CHF_JPY,m5_sma20_only,396.7,21.5,100.0,88.9,10.8,1.17,3,7543
CHF_JPY,m5_atr1.0_filter,268.5,19.7,17.7,88.6,10.9,1.17,3,5566
CHF_JPY,m5_atr1.0_only,394.4,24.8,47.1,87.5,12.0,1.19,3,6495
CHF_JPY,m5_atr1.5_filter,15.5,2.1,4.4,87.7,11.6,1.19,2,2957
CHF_JPY,m5_atr1.5_only,112.7,10.2,9.8,88.0,11.5,1.18,3,4505
CHF_JPY,m5_atr2.0_filter,24.8,8.0,1.3,86.9,12.1,1.19,3,1262
CHF_JPY,m5_atr2.0_only,11.2,2.1,2.7,87.7,11.6,1.18,2,2214
CHF_JPY,m5_atr2.5_filter,12.2,9.4,0.5,85.8,13.0,1.22,2,530
CHF_JPY,m5_atr2.5_only,-96.3,-40.6,1.0,86.4,12.8,1.2,1,968
CHF_JPY,m5_atr3.0_filter,-118.5,-192.7,0.2,86.1,12.7,1.26,1,251
CHF_JPY,m5_atr3.0_only,-109.8,-93.8,0.4,87.7,11.7,1.2,1,478
CHF_JPY,h110_m55_filter,18.9,4.6,1.5,99.1,0.6,1.01,3,1683
CHF_JPY,h110_m55_only,692.4,35.8,83.6,90.2,9.5,1.15,3,7894
CHF_JPY,h120_m55_filter,13.3,4.8,1.0,99.5,0.2,1.0,3,1129
CHF_JPY,h120_m55_only,622.5,33.0,81.1,89.7,10.0,1.16,3,7705
CHF_JPY,h110_m510_filter,20.6,5.1,1.5,98.4,1.3,1.02,3,1657
CHF_JPY,h110_m510_only,399.6,20.6,86.7,90.2,9.6,1.15,3,7903
CHF_JPY,h120_m510_filter,15.3,5.5,1.0,99.2,0.4,1.01,3,1129
CHF_JPY,h120_m510_only,319.5,16.9,82.3,89.7,10.0,1.16,3,7728
GBP_USD,no_signal,0.0,8.0,0.0,0.0,100.0,2.0,3,1
GBP_USD,h1_sma5_filter,24.2,5.8,15.3,74.0,9.5,1.14,2,1693
GBP_USD,h1_sma5_only,85.0,13.6,99.8,70.1,20.2,1.3,3,2556
GBP_USD,h1_sma10_filter,27.9,9.5,8.8,72.3,8.3,1.12,3,1199
GBP_USD,h1_sma10_only,70.3,11.9,100.0,69.4,21.5,1.32,3,2418
GBP_USD,h1_sma20_filter,22.8,10.7,5.6,74.5,9.9,1.16,3,869
GBP_USD,h1_sma20_only,73.1,12.5,99.9,69.3,21.9,1.32,3,2398
GBP_USD,m5_sma5_filter,86.7,18.8,49.5,64.2,25.0,1.39,3,1887
GBP_USD,m5_sma5_only,109.9,19.4,99.8,66.2,23.6,1.36,3,2320
GBP_USD,m5_sma10_filter,82.4,17.8,43.2,65.3,23.5,1.36,3,1899
GBP_USD,m5_sma10_only,3.6,0.6,100.0,66.6,24.0,1.35,2,2308
