pair,ta,td,zw,tgt,ppd_const,ppd_tod,ppd_gate,delta_tod,delta_gate,neg_pct_tod,neg_pct_gate,skip_pct
CHF_JPY,5,1,40.0,20.0,1118.4,969.6,1122.0,-148.8,3.6,0.42,0.47,22.6
CHF_JPY,3,1,40.0,20.0,247.8,220.1,286.7,-27.8,38.8,2.4,1.75,18.4
CHF_JPY,6,5,40.0,20.0,1659.1,1725.4,1797.5,66.2,138.4,15.19,15.05,25.4
AUD_JPY,4,1,50.0,25.0,1599.0,1675.1,1670.1,76.0,71.1,0.31,0.24,21.5
EUR_JPY,3,1,50.0,25.0,767.3,714.1,941.0,-53.2,173.8,2.55,1.83,17.1
EUR_JPY,30,3,50.0,25.0,2363.9,1738.8,731.0,-625.1,-1632.9,1.8,1.96,35.4
NZD_JPY,2,1,40.0,20.0,752.4,716.9,120.4,-35.5,-632.0,21.94,21.29,19.5
USD_JPY,7,1,40.0,20.0,372.6,345.0,262.6,-27.6,-110.0,1.01,1.02,20.5
GBP_USD,5,1,30.0,15.0,239.5,189.5,176.9,-50.0,-62.6,0.94,0.98,21.7
CAD_JPY,2,1,50.0,12.5,295.3,286.0,292.0,-9.2,-3.3,20.29,19.57,17.1
