pair,ta,td,ppd,cday,ppc,trail_pct,wf,boot_p5,prob_pos
NZD_JPY,2,1,752.4,19.4,38.8,94.7,3,170.3,1.0
NZD_JPY,3,1,347.2,15.0,23.08,93.2,3,164.2,1.0
NZD_JPY,3,2,288.1,15.1,19.08,93.3,3,126.7,1.0
NZD_JPY,4,1,122.2,10.9,11.18,90.7,3,76.0,1.0
NZD_JPY,4,2,113.6,11.0,10.31,90.7,3,68.7,1.0
NZD_JPY,4,3,113.2,11.0,10.26,90.7,2,,
NZD_JPY,5,1,84.8,9.8,8.64,89.9,3,15.2,0.976
NZD_JPY,5,2,76.5,9.9,7.71,90.0,3,9.3,0.966
NZD_JPY,5,3,72.0,9.9,7.25,89.7,3,0.7,0.953
NZD_JPY,6,1,382.0,7.8,48.81,87.1,3,50.0,0.992
NZD_JPY,6,2,405.8,7.7,52.51,86.8,3,94.9,1.0
NZD_JPY,6,3,411.1,7.9,51.85,87.2,2,,
NZD_JPY,6,5,577.5,7.7,74.95,86.6,2,,
NZD_JPY,7,1,185.5,7.0,26.49,85.5,3,86.2,1.0
NZD_JPY,7,2,180.9,7.1,25.45,85.7,3,79.4,1.0
NZD_JPY,7,3,163.5,7.1,23.04,85.7,3,73.0,1.0
NZD_JPY,7,5,196.9,7.2,27.53,86.0,3,85.3,1.0
NZD_JPY,8,1,221.6,6.2,35.66,84.6,3,61.1,0.997
NZD_JPY,8,2,241.1,6.2,38.74,84.6,3,86.8,1.0
NZD_JPY,8,3,241.6,6.2,38.74,84.3,3,86.2,1.0
NZD_JPY,8,5,261.3,6.4,41.04,84.3,3,101.9,1.0
NZD_JPY,8,7,274.6,6.1,45.1,82.0,3,109.6,1.0
NZD_JPY,10,1,188.4,5.1,36.66,81.0,2,,
NZD_JPY,10,2,184.8,5.2,35.82,81.0,2,,
NZD_JPY,10,3,203.2,5.1,39.61,80.9,2,,
NZD_JPY,10,5,248.8,5.0,49.69,80.2,3,85.4,1.0
NZD_JPY,10,7,505.0,4.8,104.61,76.9,2,,
NZD_JPY,14,1,279.8,3.6,77.25,73.6,2,,
NZD_JPY,14,2,277.3,3.6,76.26,73.8,2,,
NZD_JPY,14,3,275.1,3.6,76.28,73.4,3,111.9,1.0
NZD_JPY,14,5,217.2,3.6,59.57,73.0,2,,
NZD_JPY,14,7,522.5,3.6,145.06,67.5,2,,
NZD_JPY,20,1,194.1,2.7,72.6,64.1,3,86.2,1.0
NZD_JPY,20,2,192.9,2.7,71.89,64.1,3,86.7,1.0
NZD_JPY,20,3,191.4,2.6,73.17,61.9,3,83.9,1.0
NZD_JPY,20,5,151.6,2.6,57.23,54.5,3,67.3,1.0
NZD_JPY,20,7,148.7,2.7,55.73,40.3,3,64.1,1.0
NZD_JPY,30,1,191.5,2.7,70.19,4.1,3,75.1,1.0
NZD_JPY,30,2,191.3,2.7,70.15,4.1,3,79.4,1.0
NZD_JPY,30,3,191.2,2.7,70.11,4.1,3,76.6,1.0
NZD_JPY,30,5,190.9,2.7,70.0,3.9,3,77.0,1.0
NZD_JPY,30,7,190.7,2.7,69.92,3.9,3,76.6,1.0
AUD_JPY,2,1,262.6,22.1,11.88,95.7,3,130.0,1.0
AUD_JPY,3,1,227.7,15.7,14.51,94.1,3,105.0,1.0
AUD_JPY,3,2,211.6,15.9,13.27,94.2,3,89.3,1.0
AUD_JPY,4,1,1599.0,12.0,133.3,91.9,3,122.7,1.0
AUD_JPY,4,2,1588.2,12.1,131.44,91.9,3,109.1,1.0
AUD_JPY,4,3,239.8,12.0,19.92,91.9,3,105.2,1.0
AUD_JPY,5,1,498.3,10.3,48.57,90.2,3,81.2,1.0
AUD_JPY,5,2,489.1,10.3,47.57,90.2,3,69.6,1.0
AUD_JPY,5,3,486.1,10.4,46.56,90.3,3,66.3,1.0
AUD_JPY,6,1,241.3,9.2,26.15,89.5,3,109.7,1.0
AUD_JPY,6,2,232.9,9.1,25.5,89.4,3,99.0,1.0
AUD_JPY,6,3,225.3,9.2,24.38,89.4,3,93.6,1.0
AUD_JPY,6,5,219.9,8.8,25.06,88.9,3,89.2,1.0
AUD_JPY,7,1,218.0,7.5,29.1,86.7,3,94.0,1.0
AUD_JPY,7,2,210.8,7.5,27.93,86.7,3,85.2,1.0
AUD_JPY,7,3,209.4,7.5,28.04,86.6,3,88.5,1.0
AUD_JPY,7,5,195.9,7.6,25.85,86.9,3,74.5,1.0
AUD_JPY,8,1,1568.5,7.0,225.54,86.2,3,99.1,1.0
AUD_JPY,8,2,1562.5,7.0,224.68,86.2,3,96.9,1.0
AUD_JPY,8,3,128.3,7.1,18.07,86.2,3,94.8,1.0
AUD_JPY,8,5,514.6,6.6,77.42,85.5,3,94.7,1.0
AUD_JPY,8,7,480.8,6.6,72.55,85.2,3,79.2,1.0
AUD_JPY,10,1,133.5,5.5,24.27,81.9,3,110.3,1.0
AUD_JPY,10,2,129.0,5.5,23.46,81.9,3,105.0,1.0
AUD_JPY,10,3,253.4,5.5,46.44,81.6,3,121.4,1.0
AUD_JPY,10,5,520.7,5.6,93.26,82.3,3,105.2,1.0
AUD_JPY,10,7,504.8,5.4,93.79,82.2,3,86.8,1.0
AUD_JPY,14,1,1558.9,4.1,380.27,77.6,3,102.7,1.0
AUD_JPY,14,2,1555.5,4.1,381.27,77.5,3,100.4,1.0
AUD_JPY,14,3,1551.4,4.0,383.93,77.2,3,94.8,1.0
AUD_JPY,14,5,1545.8,4.3,358.73,79.2,3,90.9,1.0
AUD_JPY,14,7,92.6,4.2,22.29,76.4,3,75.6,1.0
AUD_JPY,20,1,471.6,3.0,154.87,70.6,3,67.5,1.0
AUD_JPY,20,2,469.5,3.0,154.17,70.6,3,65.5,1.0
AUD_JPY,20,3,467.9,3.1,152.93,70.7,3,63.2,1.0
AUD_JPY,20,5,96.0,3.0,32.21,69.0,3,64.6,1.0
AUD_JPY,20,7,494.8,2.8,174.65,63.6,3,89.7,1.0
AUD_JPY,30,1,443.4,2.5,177.96,19.0,3,1.0,0.952
AUD_JPY,30,2,442.9,2.5,177.77,19.0,3,3.1,0.952
AUD_JPY,30,3,442.1,2.5,177.47,18.7,3,1.5,0.952
AUD_JPY,30,5,441.2,2.5,177.09,18.7,3,5.5,0.956
AUD_JPY,30,7,440.3,2.5,176.72,18.7,3,5.6,0.956
EUR_JPY,2,1,666.0,35.5,18.75,96.3,2,,
EUR_JPY,3,1,767.3,26.8,28.61,94.9,3,273.4,1.0
EUR_JPY,3,2,741.7,26.8,27.66,94.9,3,242.6,1.0
EUR_JPY,4,1,236.1,20.0,11.78,92.9,2,,
EUR_JPY,4,2,217.2,20.0,10.84,92.9,2,,
EUR_JPY,4,3,218.3,20.0,10.91,92.9,2,,
EUR_JPY,5,1,275.2,17.2,15.96,91.8,3,195.8,1.0
EUR_JPY,5,2,258.9,17.3,14.97,91.8,3,178.4,1.0
EUR_JPY,5,3,252.6,17.3,14.59,91.8,3,175.0,1.0
EUR_JPY,6,1,431.2,14.1,30.67,89.9,3,265.6,1.0
EUR_JPY,6,2,416.2,14.0,29.67,89.9,3,247.7,1.0
EUR_JPY,6,3,400.7,13.9,28.82,89.7,3,235.3,1.0
EUR_JPY,6,5,208.6,14.1,14.76,89.8,3,144.0,1.0
EUR_JPY,7,1,532.9,11.8,45.03,88.1,3,300.6,1.0
EUR_JPY,7,2,522.5,11.8,44.15,88.1,3,292.1,1.0
EUR_JPY,7,3,412.9,11.9,34.74,88.2,3,245.3,1.0
EUR_JPY,7,5,312.5,12.1,25.79,88.4,3,164.4,1.0
EUR_JPY,8,1,382.5,10.6,36.04,86.4,2,,
EUR_JPY,8,2,371.6,10.7,34.82,86.4,2,,
EUR_JPY,8,3,362.2,10.7,33.98,86.3,2,,
EUR_JPY,8,5,468.4,10.5,44.47,86.2,3,245.6,1.0
EUR_JPY,8,7,647.5,10.3,62.82,86.0,3,145.7,0.998
EUR_JPY,10,1,-205.0,8.9,-22.92,84.4,3,-1330.6,0.395
EUR_JPY,10,2,-214.0,8.9,-23.97,84.4,3,-1288.9,0.402
EUR_JPY,10,3,-220.6,8.9,-24.69,84.4,3,-1358.7,0.39
EUR_JPY,10,5,-260.0,8.9,-29.28,84.0,3,-1395.3,0.404
