ta,td,ppd,cday,ppc,trail_pct,zr_pct,avgl,wf,boot_p5,prob_pos
2,1,682.0,43.3,15.74,95.5,4.5,1.069,2,,
3,1,247.8,31.7,7.82,93.6,6.4,1.096,3,166.6,1.0
3,2,211.1,31.5,6.7,93.6,6.4,1.096,3,130.4,1.0
4,1,593.3,25.2,23.58,91.7,8.3,1.124,3,207.6,1.0
4,2,570.3,25.1,22.75,91.7,8.3,1.125,3,190.6,1.0
4,3,548.5,25.0,21.91,91.7,8.3,1.125,3,165.7,1.0
5,1,1118.4,20.2,55.33,89.9,10.1,1.155,3,463.7,1.0
5,2,1100.2,20.1,54.76,89.8,10.2,1.157,3,379.6,1.0
5,3,1080.2,20.1,53.71,89.8,10.2,1.156,3,289.8,1.0
6,1,1396.5,17.0,82.27,87.5,12.5,1.187,3,250.9,1.0
6,2,1380.3,17.0,81.05,87.5,12.5,1.186,3,225.2,1.0
6,3,1372.8,17.0,80.52,87.6,12.4,1.185,3,224.1,1.0
6,5,1659.1,16.8,98.97,87.3,12.7,1.19,3,255.3,1.0
7,1,-18092.4,15.1,-1198.34,86.1,13.8,1.209,2,,
7,2,-18105.0,15.1,-1198.02,86.2,13.8,1.209,2,,
7,3,-18139.2,15.3,-1188.34,86.3,13.7,1.207,2,,
7,5,-18172.9,15.1,-1206.81,86.0,14.0,1.207,2,,
8,1,292.5,13.6,21.46,84.4,15.6,1.228,2,,
8,2,281.2,13.7,20.52,84.5,15.5,1.226,2,,
8,3,250.8,13.9,18.03,84.7,15.3,1.222,2,,
8,5,186.5,13.7,13.66,84.4,15.6,1.224,2,,
8,7,-19463.9,13.3,-1462.61,83.7,16.3,1.235,2,,
10,1,355.4,10.9,32.56,81.0,19.0,1.279,3,186.7,1.0
10,2,345.3,10.9,31.67,81.0,19.0,1.279,3,175.1,1.0
10,3,334.2,10.9,30.79,80.8,19.2,1.279,3,167.6,1.0
10,5,262.7,10.7,24.61,80.6,19.4,1.288,3,138.6,1.0
10,7,-19344.4,10.9,-1775.06,80.6,19.4,1.274,3,-58524.4,0.36
14,1,382.8,8.2,46.51,76.5,23.5,1.337,3,214.3,1.0
14,2,376.5,8.2,45.74,76.5,23.5,1.337,3,216.0,1.0
14,3,469.3,8.2,57.25,76.5,23.5,1.34,3,266.8,1.0
14,5,211.0,8.3,25.58,76.1,23.9,1.332,3,159.6,1.0
14,7,414.6,8.3,49.66,74.8,25.2,1.325,3,214.6,1.0
14,10,203.6,8.0,25.57,65.8,34.2,1.359,3,-47.9,0.905
20,1,-17924.0,5.7,-3121.12,65.9,34.1,1.478,3,-54539.8,0.363
20,2,-17927.8,5.7,-3121.78,65.8,34.1,1.478,3,-54547.2,0.382
20,3,-17931.2,5.7,-3119.72,65.7,34.2,1.475,3,-54529.5,0.349
20,5,-17939.1,5.8,-3092.1,63.3,36.7,1.466,3,-54532.6,0.372
20,7,-18030.6,5.8,-3084.44,55.2,44.7,1.469,2,,
20,10,-17717.8,5.8,-3053.96,42.8,57.2,1.463,2,,
30,1,597.9,5.6,106.67,6.1,93.9,1.475,3,226.6,1.0
30,2,597.6,5.6,106.61,6.1,93.9,1.475,3,220.9,1.0
30,3,597.3,5.6,106.55,6.1,93.9,1.475,3,220.5,1.0
30,5,596.5,5.6,106.59,6.1,93.9,1.477,3,223.4,1.0
30,7,595.8,5.6,106.47,6.1,93.9,1.477,3,213.8,1.0
30,10,594.8,5.6,106.29,6.1,93.9,1.477,3,219.5,1.0
