min_lock,trail_base,trail_max_pnl,ppd,nc,is_wf,oos_wf,p5,p_pos,passed
0.5,3.0,30.0,1524.27,4014,3,3,279.03,1.0,True
0.5,3.0,50.0,1511.32,3932,3,3,276.29,1.0,True
0.5,15.0,20.0,1459.28,3853,3,3,203.82,0.996,True
2.0,3.0,30.0,1387.82,3142,3,3,158.19,0.994,True
0.5,10.0,30.0,1377.22,3685,3,3,150.97,0.9945,True
2.0,5.0,10.0,1387.2,3165,3,3,149.9,0.9945,True
2.0,3.0,10.0,1375.27,3167,3,3,141.22,0.9935,True
2.0,3.0,20.0,1384.15,3170,3,3,131.59,0.9945,True
0.5,5.0,30.0,1370.54,4048,3,3,130.58,0.9995,True
0.5,15.0,50.0,254.19,3639,3,3,128.69,1.0,True
2.0,3.0,50.0,1372.16,3090,3,3,122.53,0.9905,True
0.5,20.0,10.0,1361.54,3939,3,3,122.46,0.9885,True
5.0,10.0,50.0,1022.56,2269,3,3,117.79,1.0,True
2.0,15.0,30.0,1060.23,3067,3,3,110.64,0.9995,True
1.5,20.0,30.0,1026.48,3192,3,3,95.86,1.0,True
0.5,10.0,20.0,1316.8,3965,3,3,93.57,0.988,True
2.0,20.0,30.0,1037.28,3001,3,3,91.58,1.0,True
1.0,10.0,20.0,1334.72,3563,3,3,86.39,0.977,True
0.5,20.0,50.0,162.07,3447,3,3,74.43,1.0,True
1.0,15.0,20.0,1325.45,3610,3,3,70.7,0.9785,True
0.5,20.0,20.0,529.6,3891,3,3,57.17,0.976,True
1.0,20.0,20.0,1020.44,3550,3,3,42.76,0.9765,True
1.5,15.0,50.0,149.27,3114,3,3,39.53,0.9895,True
1.0,7.0,50.0,1022.74,3521,3,3,30.83,0.9705,True
0.5,15.0,30.0,196.17,3725,3,3,27.82,0.9665,True
1.0,10.0,30.0,999.32,3435,3,3,17.15,0.9645,True
0.5,3.0,10.0,1460.74,4130,2,3,,,False
0.5,3.0,20.0,612.46,3960,2,3,,,False
0.5,5.0,10.0,1509.65,4037,2,3,,,False
0.5,5.0,20.0,1351.62,4007,2,3,,,False
0.5,5.0,50.0,-4195.5,3980,3,2,,,False
0.5,7.0,10.0,1468.76,4005,2,3,,,False
0.5,7.0,20.0,-3882.68,3957,3,2,,,False
0.5,7.0,30.0,-3938.48,3940,3,2,,,False
0.5,7.0,50.0,-4242.83,3843,3,2,,,False
0.5,10.0,10.0,1469.36,4029,2,3,,,False
0.5,10.0,50.0,-2146.36,3603,3,2,,,False
0.5,15.0,10.0,1359.46,3931,2,3,,,False
0.5,20.0,30.0,-2033.19,3673,3,2,,,False
1.0,3.0,10.0,-5247.81,3836,2,2,,,False
1.0,3.0,20.0,-4399.38,3705,2,2,,,False
1.0,3.0,30.0,-4436.17,3736,3,2,,,False
1.0,3.0,50.0,-4480.42,3704,3,2,,,False
1.0,5.0,10.0,-4469.18,3711,2,2,,,False
1.0,5.0,20.0,-4165.05,3670,3,2,,,False
1.0,5.0,30.0,-3950.03,3628,3,2,,,False
1.0,5.0,50.0,-3943.14,3676,2,2,,,False
1.0,7.0,10.0,-4440.42,3691,2,2,,,False
1.0,7.0,20.0,-3937.87,3650,3,2,,,False
1.0,7.0,30.0,-3933.53,3537,3,2,,,False
1.0,10.0,10.0,-4465.55,3707,2,2,,,False
1.0,10.0,50.0,1041.32,3501,2,3,,,False
1.0,15.0,10.0,1829.86,3757,2,3,,,False
1.0,15.0,30.0,1044.87,3445,2,3,,,False
1.0,15.0,50.0,-2037.37,3408,3,2,,,False
1.0,20.0,10.0,985.25,3701,2,3,,,False
1.0,20.0,30.0,-1204.79,3336,2,2,,,False
1.0,20.0,50.0,-2042.77,3244,1,2,,,False
1.5,3.0,10.0,-4534.49,3476,2,2,,,False
1.5,3.0,20.0,945.02,3476,3,2,,,False
1.5,3.0,30.0,1245.87,3448,3,2,,,False
1.5,3.0,50.0,1276.84,3424,3,2,,,False
1.5,5.0,10.0,908.93,3437,2,2,,,False
1.5,5.0,20.0,1237.65,3436,3,2,,,False
1.5,5.0,30.0,1243.27,3406,3,2,,,False
1.5,5.0,50.0,948.63,3421,3,2,,,False
1.5,7.0,10.0,913.95,3429,3,2,,,False
1.5,7.0,20.0,899.07,3490,3,2,,,False
1.5,7.0,30.0,919.63,3369,3,2,,,False
1.5,7.0,50.0,-4335.94,3357,2,2,,,False
1.5,10.0,10.0,900.75,3399,3,2,,,False
1.5,10.0,20.0,942.89,3415,3,2,,,False
1.5,10.0,30.0,928.26,3345,2,2,,,False
1.5,10.0,50.0,-1254.84,3277,3,2,,,False
1.5,15.0,10.0,895.25,3449,3,2,,,False
1.5,15.0,20.0,1276.31,3422,3,2,,,False
1.5,15.0,30.0,935.52,3301,2,2,,,False
1.5,20.0,10.0,901.47,3453,3,2,,,False
1.5,20.0,20.0,1002.54,3401,3,2,,,False
1.5,20.0,50.0,142.98,2904,3,2,,,False
2.0,5.0,20.0,-904.56,3116,3,2,,,False
2.0,5.0,30.0,-930.67,3138,3,2,,,False
2.0,5.0,50.0,-6153.18,3109,3,2,,,False
2.0,7.0,10.0,-938.86,3161,3,2,,,False
2.0,7.0,20.0,-939.67,3133,3,2,,,False
2.0,7.0,30.0,1330.91,3189,3,2,,,False
2.0,7.0,50.0,943.87,3045,2,2,,,False
2.0,10.0,10.0,-920.66,3137,3,2,,,False
2.0,10.0,20.0,-944.79,3153,3,2,,,False
2.0,10.0,30.0,1016.82,3075,2,2,,,False
2.0,10.0,50.0,-1224.11,3017,2,2,,,False
2.0,15.0,10.0,1352.47,3159,3,2,,,False
2.0,15.0,20.0,1305.85,3187,3,2,,,False
2.0,15.0,50.0,-2078.22,2943,2,2,,,False
2.0,20.0,10.0,1341.75,3181,3,2,,,False
2.0,20.0,20.0,969.17,3183,3,2,,,False
2.0,20.0,50.0,-2133.94,2853,1,2,,,False
3.0,3.0,10.0,1120.53,2743,2,3,,,False
3.0,3.0,20.0,1120.53,2743,2,3,,,False
3.0,3.0,30.0,1120.53,2743,2,3,,,False
3.0,3.0,50.0,1120.53,2743,2,3,,,False
3.0,5.0,10.0,1107.07,2791,2,3,,,False
3.0,5.0,20.0,1113.48,2769,1,3,,,False
3.0,5.0,30.0,1089.45,2807,1,3,,,False
3.0,5.0,50.0,-3925.61,2813,2,2,,,False
3.0,7.0,10.0,1120.45,2787,2,3,,,False
3.0,7.0,20.0,1081.17,2841,1,3,,,False
3.0,7.0,30.0,-3869.18,2911,1,2,,,False
3.0,7.0,50.0,-3598.55,2871,1,2,,,False
3.0,10.0,10.0,1069.36,2799,2,3,,,False
3.0,10.0,20.0,1026.86,2885,1,3,,,False
3.0,10.0,30.0,-3584.73,2769,2,2,,,False
3.0,10.0,50.0,-3611.13,2732,2,2,,,False
3.0,15.0,10.0,1045.05,2799,2,3,,,False
3.0,15.0,20.0,1069.47,2803,1,3,,,False
3.0,15.0,30.0,-3577.66,2712,2,1,,,False
3.0,15.0,50.0,-4774.71,2697,2,2,,,False
3.0,20.0,10.0,1028.2,2793,2,3,,,False
3.0,20.0,20.0,1064.51,2747,1,3,,,False
3.0,20.0,30.0,-3594.64,2664,1,2,,,False
3.0,20.0,50.0,-5322.69,2591,2,2,,,False
5.0,3.0,10.0,-3619.89,2349,1,2,,,False
5.0,3.0,20.0,-3605.73,2375,1,2,,,False
5.0,3.0,30.0,-3598.28,2389,1,2,,,False
5.0,3.0,50.0,-3634.47,2375,1,2,,,False
5.0,5.0,10.0,-3619.89,2349,1,2,,,False
5.0,5.0,20.0,-3619.89,2349,1,2,,,False
5.0,5.0,30.0,-3619.89,2349,1,2,,,False
5.0,5.0,50.0,-3619.89,2349,1,2,,,False
5.0,7.0,10.0,-3619.89,2349,1,2,,,False
5.0,7.0,20.0,-3589.0,2319,1,2,,,False
5.0,7.0,30.0,1369.53,2327,1,3,,,False
5.0,7.0,50.0,964.81,2313,1,3,,,False
5.0,10.0,10.0,-3619.89,2349,1,2,,,False
5.0,10.0,20.0,1388.83,2335,1,3,,,False
5.0,10.0,30.0,1313.88,2295,1,3,,,False
5.0,15.0,10.0,-3619.89,2349,1,2,,,False
5.0,15.0,20.0,1385.46,2323,1,3,,,False
5.0,15.0,30.0,446.22,2285,2,3,,,False
5.0,15.0,50.0,-4061.27,2221,1,2,,,False
5.0,20.0,10.0,-3619.89,2349,1,2,,,False
5.0,20.0,20.0,1384.77,2357,1,3,,,False
5.0,20.0,30.0,497.17,2249,2,3,,,False
5.0,20.0,50.0,966.66,2101,1,3,,,False
