min_lock,trail_base,trail_max_pnl,ppd,nc,is_wf,oos_wf,p5,p_pos,passed
2.0,3.0,30.0,1387.82,3142,3,3,162.65,0.9965,True
2.0,3.0,10.0,1375.27,3167,3,3,140.76,0.993,True
2.0,3.0,20.0,1384.15,3170,3,3,137.14,0.9945,True
2.0,3.0,50.0,1372.16,3090,3,3,136.01,0.9945,True
2.0,5.0,10.0,1387.2,3165,3,3,130.76,0.9935,True
5.0,10.0,50.0,1022.56,2269,3,3,118.07,1.0,True
2.0,15.0,30.0,1060.23,3067,3,3,110.06,0.9995,True
2.0,20.0,30.0,1037.28,3001,3,3,94.54,1.0,True
2.0,5.0,20.0,-904.56,3116,3,2,,,False
2.0,5.0,30.0,-930.67,3138,3,2,,,False
2.0,5.0,50.0,-6153.18,3109,3,2,,,False
2.0,7.0,10.0,-938.86,3161,3,2,,,False
2.0,7.0,20.0,-939.67,3133,3,2,,,False
2.0,7.0,30.0,1330.91,3189,3,2,,,False
2.0,7.0,50.0,943.87,3045,2,2,,,False
2.0,10.0,10.0,-920.66,3137,3,2,,,False
2.0,10.0,20.0,-944.79,3153,3,2,,,False
2.0,10.0,30.0,1016.82,3075,2,2,,,False
2.0,10.0,50.0,-1224.11,3017,2,2,,,False
2.0,15.0,10.0,1352.47,3159,3,2,,,False
2.0,15.0,20.0,1305.85,3187,3,2,,,False
2.0,15.0,50.0,-2078.22,2943,2,2,,,False
2.0,20.0,10.0,1341.75,3181,3,2,,,False
2.0,20.0,20.0,969.17,3183,3,2,,,False
2.0,20.0,50.0,-2133.94,2853,1,2,,,False
3.0,3.0,10.0,1120.53,2743,2,3,,,False
3.0,3.0,20.0,1120.53,2743,2,3,,,False
3.0,3.0,30.0,1120.53,2743,2,3,,,False
3.0,3.0,50.0,1120.53,2743,2,3,,,False
3.0,5.0,10.0,1107.07,2791,2,3,,,False
3.0,5.0,20.0,1113.48,2769,1,3,,,False
3.0,5.0,30.0,1089.45,2807,1,3,,,False
3.0,5.0,50.0,-3925.61,2813,2,2,,,False
3.0,7.0,10.0,1120.45,2787,2,3,,,False
3.0,7.0,20.0,1081.17,2841,1,3,,,False
3.0,7.0,30.0,-3869.18,2911,1,2,,,False
3.0,7.0,50.0,-3598.55,2871,1,2,,,False
3.0,10.0,10.0,1069.36,2799,2,3,,,False
3.0,10.0,20.0,1026.86,2885,1,3,,,False
3.0,10.0,30.0,-3584.73,2769,2,2,,,False
3.0,10.0,50.0,-3611.13,2732,2,2,,,False
3.0,15.0,10.0,1045.05,2799,2,3,,,False
3.0,15.0,20.0,1069.47,2803,1,3,,,False
3.0,15.0,30.0,-3577.66,2712,2,1,,,False
3.0,15.0,50.0,-4774.71,2697,2,2,,,False
3.0,20.0,10.0,1028.2,2793,2,3,,,False
3.0,20.0,20.0,1064.51,2747,1,3,,,False
3.0,20.0,30.0,-3594.64,2664,1,2,,,False
3.0,20.0,50.0,-5322.69,2591,2,2,,,False
5.0,3.0,10.0,-3619.89,2349,1,2,,,False
5.0,3.0,20.0,-3605.73,2375,1,2,,,False
5.0,3.0,30.0,-3598.28,2389,1,2,,,False
5.0,3.0,50.0,-3634.47,2375,1,2,,,False
5.0,5.0,10.0,-3619.89,2349,1,2,,,False
5.0,5.0,20.0,-3619.89,2349,1,2,,,False
5.0,5.0,30.0,-3619.89,2349,1,2,,,False
5.0,5.0,50.0,-3619.89,2349,1,2,,,False
5.0,7.0,10.0,-3619.89,2349,1,2,,,False
5.0,7.0,20.0,-3589.0,2319,1,2,,,False
5.0,7.0,30.0,1369.53,2327,1,3,,,False
5.0,7.0,50.0,964.81,2313,1,3,,,False
5.0,10.0,10.0,-3619.89,2349,1,2,,,False
5.0,10.0,20.0,1388.83,2335,1,3,,,False
5.0,10.0,30.0,1313.88,2295,1,3,,,False
5.0,15.0,10.0,-3619.89,2349,1,2,,,False
5.0,15.0,20.0,1385.46,2323,1,3,,,False
5.0,15.0,30.0,446.22,2285,2,3,,,False
5.0,15.0,50.0,-4061.27,2221,1,2,,,False
5.0,20.0,10.0,-3619.89,2349,1,2,,,False
5.0,20.0,20.0,1384.77,2357,1,3,,,False
5.0,20.0,30.0,497.17,2249,2,3,,,False
5.0,20.0,50.0,966.66,2101,1,3,,,False
7.0,3.0,10.0,229.87,1953,2,3,,,False
7.0,3.0,20.0,202.24,1975,2,3,,,False
7.0,3.0,30.0,305.31,1989,1,3,,,False
7.0,3.0,50.0,377.47,1985,1,3,,,False
7.0,5.0,10.0,229.87,1953,2,3,,,False
7.0,5.0,20.0,217.82,1955,2,3,,,False
7.0,5.0,30.0,207.46,1999,2,3,,,False
7.0,5.0,50.0,355.17,2003,1,3,,,False
7.0,7.0,10.0,229.87,1953,2,3,,,False
7.0,7.0,20.0,229.87,1953,2,3,,,False
7.0,7.0,30.0,229.87,1953,2,3,,,False
7.0,7.0,50.0,229.87,1953,2,3,,,False
7.0,10.0,10.0,229.87,1953,2,3,,,False
7.0,10.0,20.0,218.31,1965,2,3,,,False
7.0,10.0,30.0,200.06,1939,2,3,,,False
7.0,10.0,50.0,114.44,1933,2,3,,,False
7.0,15.0,10.0,229.87,1953,2,3,,,False
7.0,15.0,20.0,167.52,1985,2,3,,,False
7.0,15.0,30.0,213.73,1937,2,3,,,False
7.0,15.0,50.0,640.39,1819,2,3,,,False
7.0,20.0,10.0,229.87,1953,2,3,,,False
7.0,20.0,20.0,161.22,1975,2,3,,,False
7.0,20.0,30.0,716.49,1851,2,3,,,False
7.0,20.0,50.0,705.26,1803,2,3,,,False
10.0,3.0,10.0,195.69,1527,2,3,,,False
10.0,3.0,20.0,195.69,1527,2,3,,,False
10.0,3.0,30.0,173.72,1585,2,3,,,False
10.0,3.0,50.0,173.46,1641,2,3,,,False
10.0,5.0,10.0,195.69,1527,2,3,,,False
10.0,5.0,20.0,195.69,1527,2,3,,,False
10.0,5.0,30.0,434.25,1555,2,3,,,False
10.0,5.0,50.0,187.4,1627,2,3,,,False
10.0,7.0,10.0,195.69,1527,2,3,,,False
10.0,7.0,20.0,195.69,1527,2,3,,,False
10.0,7.0,30.0,455.24,1551,2,3,,,False
10.0,7.0,50.0,189.19,1619,2,3,,,False
10.0,10.0,10.0,195.69,1527,2,3,,,False
10.0,10.0,20.0,195.69,1527,2,3,,,False
10.0,10.0,30.0,195.69,1527,2,3,,,False
10.0,10.0,50.0,195.69,1527,2,3,,,False
10.0,15.0,10.0,195.69,1527,2,3,,,False
10.0,15.0,20.0,195.69,1527,2,3,,,False
10.0,15.0,30.0,186.89,1525,2,3,,,False
10.0,15.0,50.0,524.06,1457,2,3,,,False
10.0,20.0,10.0,195.69,1527,2,3,,,False
10.0,20.0,20.0,195.69,1527,2,3,,,False
10.0,20.0,30.0,539.36,1511,2,3,,,False
10.0,20.0,50.0,541.06,1459,1,3,,,False
15.0,3.0,10.0,678.19,1162,2,3,,,False
15.0,3.0,20.0,678.19,1162,2,3,,,False
15.0,3.0,30.0,678.19,1162,2,3,,,False
15.0,3.0,50.0,2005.02,1187,2,3,,,False
15.0,5.0,10.0,678.19,1162,2,3,,,False
15.0,5.0,20.0,678.19,1162,2,3,,,False
15.0,5.0,30.0,678.19,1162,2,3,,,False
15.0,5.0,50.0,1794.0,1185,2,3,,,False
15.0,7.0,10.0,678.19,1162,2,3,,,False
15.0,7.0,20.0,678.19,1162,2,3,,,False
15.0,7.0,30.0,678.19,1162,2,3,,,False
15.0,7.0,50.0,1847.41,1189,2,3,,,False
15.0,10.0,10.0,678.19,1162,2,3,,,False
15.0,10.0,20.0,678.19,1162,2,3,,,False
15.0,10.0,30.0,678.19,1162,2,3,,,False
15.0,10.0,50.0,546.94,1170,2,3,,,False
15.0,15.0,10.0,678.19,1162,2,3,,,False
15.0,15.0,20.0,678.19,1162,2,3,,,False
15.0,15.0,30.0,678.19,1162,2,3,,,False
15.0,15.0,50.0,678.19,1162,2,3,,,False
15.0,20.0,10.0,678.19,1162,2,3,,,False
15.0,20.0,20.0,678.19,1162,2,3,,,False
15.0,20.0,30.0,678.19,1162,2,3,,,False
15.0,20.0,50.0,719.49,1152,2,3,,,False
20.0,3.0,10.0,458.93,936,1,3,,,False
20.0,3.0,20.0,458.93,936,1,3,,,False
20.0,3.0,30.0,458.93,936,1,3,,,False
20.0,3.0,50.0,-2346.33,972,2,2,,,False
20.0,5.0,10.0,458.93,936,1,3,,,False
20.0,5.0,20.0,458.93,936,1,3,,,False
20.0,5.0,30.0,458.93,936,1,3,,,False
20.0,5.0,50.0,-2350.68,959,2,2,,,False
20.0,7.0,10.0,458.93,936,1,3,,,False
20.0,7.0,20.0,458.93,936,1,3,,,False
20.0,7.0,30.0,458.93,936,1,3,,,False
20.0,7.0,50.0,-2155.53,965,2,2,,,False
20.0,10.0,10.0,458.93,936,1,3,,,False
20.0,10.0,20.0,458.93,936,1,3,,,False
20.0,10.0,30.0,458.93,936,1,3,,,False
20.0,10.0,50.0,-2145.44,955,2,2,,,False
20.0,15.0,10.0,458.93,936,1,3,,,False
20.0,15.0,20.0,458.93,936,1,3,,,False
20.0,15.0,30.0,458.93,936,1,3,,,False
