pair,ta,td,ppd,ppc,avg_legs,trail_pct,zr_pct,wf
CHF_JPY,BASE,BASE,500.5,87.8,1.44,0.0,100.0,3
CHF_JPY,5,3,1080.2,53.7,1.16,89.8,9.9,3
CHF_JPY,7,3,-18139.2,-1188.3,1.21,86.3,13.3,2
CHF_JPY,7,5,-18172.9,-1206.8,1.21,86.0,13.5,2
CHF_JPY,10,3,334.2,30.8,1.28,80.8,18.3,3
CHF_JPY,10,5,262.7,24.6,1.29,80.6,18.5,3
CHF_JPY,10,7,-19344.4,-1775.1,1.27,80.6,18.0,2
CHF_JPY,14,3,469.3,57.3,1.34,76.5,22.2,3
CHF_JPY,14,5,211.0,25.6,1.33,76.1,22.3,3
CHF_JPY,14,7,414.6,49.7,1.33,74.8,21.9,3
CHF_JPY,14,10,203.6,25.6,1.36,65.8,23.2,3
CHF_JPY,20,3,-17931.2,-3119.7,1.48,65.7,31.1,2
CHF_JPY,20,5,-17939.1,-3092.1,1.47,63.3,30.5,2
CHF_JPY,20,7,-18030.6,-3084.4,1.47,55.2,30.8,2
CHF_JPY,20,10,-17717.8,-3054.0,1.46,42.8,30.2,2
CHF_JPY,30,3,597.3,106.5,1.47,6.1,31.6,3
CHF_JPY,30,5,596.5,106.6,1.48,6.1,31.7,3
CHF_JPY,30,7,595.8,106.5,1.48,6.1,31.7,3
CHF_JPY,30,10,594.8,106.3,1.48,6.1,31.7,3
GBP_USD,BASE,BASE,336.2,82.0,1.52,0.0,100.0,3
GBP_USD,5,3,119.8,12.9,1.22,85.3,14.0,3
GBP_USD,7,3,83.5,10.9,1.27,80.7,18.6,3
GBP_USD,7,5,-16087.2,-2146.9,1.27,80.4,17.9,2
GBP_USD,10,3,150.4,26.3,1.37,74.8,23.8,3
GBP_USD,10,5,118.7,20.5,1.35,73.0,23.4,3
GBP_USD,10,7,811.9,143.2,1.37,64.8,23.8,3
GBP_USD,14,3,138.3,30.8,1.47,66.7,31.0,3
GBP_USD,14,5,333.8,74.4,1.47,59.1,30.6,3
GBP_USD,14,7,350.8,78.2,1.47,45.5,30.0,3
GBP_USD,14,10,328.3,75.3,1.48,28.4,31.3,3
GBP_USD,20,3,365.6,90.3,1.54,11.6,33.7,3
GBP_USD,20,5,364.7,90.1,1.54,11.6,33.7,3
GBP_USD,20,7,363.7,89.9,1.54,11.4,33.7,3
GBP_USD,20,10,362.1,89.2,1.53,10.2,33.8,3
GBP_USD,30,3,352.3,86.0,1.53,1.8,32.9,3
GBP_USD,30,5,352.1,85.9,1.53,1.8,32.9,3
GBP_USD,30,7,352.0,85.9,1.53,1.8,32.9,3
GBP_USD,30,10,351.8,85.9,1.53,1.8,32.9,3
USD_JPY,BASE,BASE,414.6,69.6,1.46,0.0,100.0,3
USD_JPY,5,3,552.8,27.5,1.16,89.0,10.5,3
USD_JPY,7,3,347.8,23.2,1.22,85.3,14.0,3
USD_JPY,7,5,396.3,26.7,1.22,85.1,14.1,2
USD_JPY,10,3,528.8,47.8,1.28,80.3,18.9,3
USD_JPY,10,5,590.8,54.0,1.29,79.9,19.2,3
USD_JPY,10,7,-24677.3,-2262.7,1.29,79.3,18.9,2
USD_JPY,14,3,23.4,2.9,1.38,73.3,25.3,2
USD_JPY,14,5,167.0,20.7,1.37,73.5,24.9,3
USD_JPY,14,7,511.6,63.9,1.37,71.9,24.7,3
USD_JPY,14,10,-24944.0,-3107.5,1.37,64.0,24.7,2
USD_JPY,20,3,-38841.0,-6428.8,1.49,64.9,31.4,1
USD_JPY,20,5,-38849.8,-6435.5,1.49,61.5,31.3,1
USD_JPY,20,7,-13672.0,-2234.9,1.47,55.5,30.6,1
USD_JPY,20,10,-13693.1,-2250.1,1.47,40.2,31.1,1
USD_JPY,30,3,124.6,20.8,1.46,7.7,30.4,2
USD_JPY,30,5,123.7,20.6,1.46,7.7,30.4,2
USD_JPY,30,7,122.8,20.5,1.46,7.7,30.4,2
USD_JPY,30,10,121.4,20.2,1.46,7.7,30.4,2
